ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-30 12:00:00+00:00,1782820859984882020,10,1,42004177,M,B,0,30126750000000,1,128,12211,154796378,30126750000000,30128000000000,2,1,2,1,30126500000000,30128250000000,3,4,3,4,30126250000000,30128500000000,1,3,1,3,30126000000000,30128750000000,2,3,2,3,30125750000000,30129000000000,3,4,3,4,30125500000000,30129250000000,4,3,4,3,30125000000000,30129750000000,3,2,3,2,30124750000000,30130000000000,2,4,2,4,30124500000000,30130250000000,2,2,2,2,30124250000000,30130500000000,2,5,2,5,NQ.c.0
2026-06-30 12:01:00+00:00,1782820919989300862,10,1,42004177,A,B,0,30120500000000,1,128,13125,154851584,30120500000000,30121750000000,2,2,2,2,30120250000000,30122000000000,2,2,2,2,30120000000000,30122250000000,4,2,4,2,30119750000000,30122500000000,2,2,2,2,30119500000000,30122750000000,1,3,1,3,30119250000000,30123000000000,1,2,1,2,30119000000000,30123250000000,1,2,1,2,30118750000000,30123500000000,1,1,1,1,30118500000000,30123750000000,1,2,1,2,30118250000000,30124000000000,1,3,1,3,NQ.c.0
2026-06-30 12:02:00+00:00,1782820979998463295,10,1,42004177,A,A,2,30113500000000,1,128,14534,154900344,30112000000000,30113000000000,1,1,1,1,30111500000000,30113250000000,1,1,1,1,30111250000000,30113500000000,2,4,2,4,30111000000000,30113750000000,1,3,1,3,30110750000000,30114000000000,4,3,4,3,30110500000000,30114250000000,3,2,3,2,30110250000000,30114500000000,6,2,6,2,30110000000000,30114750000000,4,2,4,2,30109500000000,30115000000000,2,4,2,4,30109250000000,30115250000000,3,3,3,3,NQ.c.0
2026-06-30 12:03:00+00:00,1782821039772167559,10,1,42004177,A,B,1,30099750000000,1,128,12467,154959199,30100000000000,30101000000000,1,1,1,1,30099750000000,30101250000000,4,2,4,2,30099500000000,30101500000000,1,2,1,2,30099250000000,30101750000000,1,1,1,1,30099000000000,30102000000000,3,2,3,2,30098750000000,30102250000000,3,3,3,3,30098500000000,30102500000000,2,2,2,2,30098250000000,30102750000000,2,2,2,2,30098000000000,30103000000000,3,2,3,2,30097750000000,30103250000000,2,3,2,3,NQ.c.0
2026-06-30 12:04:00+00:00,1782821099840728019,10,1,42004177,M,A,2,30178500000000,1,128,12581,155021228,30101750000000,30102750000000,1,1,1,1,30101500000000,30103000000000,3,2,3,2,30101250000000,30103250000000,2,3,2,3,30101000000000,30103500000000,2,2,2,2,30100750000000,30103750000000,4,3,4,3,30100500000000,30104000000000,2,2,2,2,30100000000000,30104250000000,3,3,3,3,30099750000000,30104500000000,3,2,3,2,30099500000000,30104750000000,2,3,2,3,30099250000000,30105000000000,3,2,3,2,NQ.c.0
2026-06-30 12:05:00+00:00,1782821159943830758,10,1,42004177,C,B,3,30100500000000,1,128,15685,155085912,30101250000000,30102500000000,1,1,1,1,30101000000000,30102750000000,1,1,1,1,30100750000000,30103000000000,2,3,2,3,30100250000000,30103250000000,1,3,1,3,30100000000000,30103500000000,3,2,3,2,30099750000000,30103750000000,3,3,3,3,30099500000000,30104000000000,1,3,1,3,30098750000000,30104250000000,3,2,3,2,30098500000000,30104500000000,2,2,2,2,30098000000000,30104750000000,3,3,3,3,NQ.c.0
2026-06-30 12:06:00+00:00,1782821219962050706,10,1,42004177,C,B,0,30099250000000,1,128,10114,155131835,30099000000000,30100250000000,1,1,1,1,30098750000000,30100500000000,3,2,3,2,30098500000000,30100750000000,4,3,4,3,30098250000000,30101000000000,2,1,2,1,30098000000000,30101250000000,5,1,5,1,30097750000000,30101500000000,6,2,6,2,30097500000000,30101750000000,4,2,4,2,30097250000000,30102000000000,3,4,3,4,30097000000000,30102500000000,4,2,4,2,30096750000000,30102750000000,3,2,3,2,NQ.c.0
2026-06-30 12:07:00+00:00,1782821279925417134,10,1,42004177,M,B,1,30101750000000,1,128,13401,155171933,30102000000000,30103250000000,1,1,1,1,30101750000000,30103500000000,3,2,3,2,30101500000000,30103750000000,2,3,2,3,30101250000000,30104000000000,3,2,3,2,30101000000000,30104250000000,2,2,2,2,30100750000000,30104500000000,4,2,4,2,30100500000000,30104750000000,5,2,5,2,30100250000000,30105000000000,2,1,2,1,30100000000000,30105250000000,2,2,2,2,30099750000000,30106000000000,1,1,1,1,NQ.c.0
2026-06-30 12:08:00+00:00,1782821339931720521,10,1,42004177,C,B,0,30105250000000,1,128,11083,155207642,30105250000000,30106250000000,2,1,2,1,30105000000000,30106500000000,3,2,3,2,30104750000000,30106750000000,2,2,2,2,30104250000000,30107000000000,1,2,1,2,30104000000000,30107250000000,3,3,3,3,30103750000000,30107500000000,5,3,5,3,30103500000000,30107750000000,3,2,3,2,30103250000000,30108000000000,2,3,2,3,30102750000000,30108250000000,3,2,3,2,30102500000000,30108500000000,1,2,1,2,NQ.c.0
2026-06-30 12:09:00+00:00,1782821399943832876,10,1,42004177,C,B,1,30099500000000,1,128,13208,155249604,30099750000000,30100750000000,1,1,1,1,30099500000000,30101000000000,1,1,1,1,30099250000000,30101250000000,3,2,3,2,30099000000000,30101500000000,2,2,2,2,30098750000000,30102000000000,2,2,2,2,30098500000000,30102250000000,1,2,1,2,30098250000000,30102500000000,1,2,1,2,30098000000000,30102750000000,1,4,1,4,30097750000000,30103000000000,2,2,2,2,30097500000000,30103250000000,2,3,2,3,NQ.c.0
