ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-06 13:00:00+00:00,1770382859887194675,10,1,42002475,A,A,1,24795000000000,1,128,11075,597032795,24793750000000,24794750000000,1,1,1,1,24793500000000,24795000000000,1,2,1,2,24793250000000,24795250000000,3,4,3,4,24793000000000,24795500000000,1,6,1,6,24792750000000,24795750000000,1,2,1,2,24792500000000,24796000000000,2,4,2,4,24792250000000,24796250000000,1,2,1,2,24792000000000,24796500000000,4,5,4,5,24791750000000,24796750000000,3,8,3,4,24791500000000,24797000000000,1,10,1,6,NQ.c.0
2026-02-06 13:01:00+00:00,1770382919984083481,10,1,42002475,M,B,6,24778500000000,1,128,13363,597072269,24780000000000,24781250000000,1,2,1,2,24779750000000,24781500000000,2,3,2,3,24779500000000,24781750000000,3,4,3,4,24779250000000,24782000000000,3,5,3,5,24779000000000,24782250000000,2,3,2,3,24778750000000,24782500000000,4,3,4,3,24778500000000,24782750000000,5,3,5,3,24778250000000,24783000000000,2,2,2,2,24778000000000,24783250000000,4,3,4,3,24777750000000,24783500000000,2,4,2,4,NQ.c.0
2026-02-06 13:02:00+00:00,1770382979910400356,10,1,42002475,C,A,0,24774000000000,1,128,12428,597107228,24773000000000,24774250000000,1,1,1,1,24772750000000,24774500000000,1,1,1,1,24772500000000,24774750000000,2,2,2,2,24772250000000,24775000000000,2,7,2,4,24772000000000,24775250000000,4,3,4,3,24771750000000,24775500000000,2,4,2,4,24771500000000,24775750000000,3,2,3,2,24771250000000,24776000000000,3,4,3,4,24771000000000,24776250000000,1,5,1,5,24770750000000,24776500000000,2,5,2,5,NQ.c.0
2026-02-06 13:03:00+00:00,1770383039532324311,10,1,42002475,M,B,0,24771250000000,1,128,12471,597145969,24771250000000,24772500000000,3,1,3,1,24771000000000,24772750000000,4,5,4,5,24770750000000,24773000000000,2,4,2,4,24770500000000,24773250000000,3,2,3,2,24770250000000,24773500000000,3,3,3,3,24770000000000,24773750000000,3,3,3,3,24769750000000,24774000000000,2,23,2,6,24769500000000,24774250000000,3,4,3,4,24769250000000,24774500000000,4,4,4,4,24769000000000,24774750000000,2,5,2,5,NQ.c.0
2026-02-06 13:04:00+00:00,1770383099891934167,10,1,42002475,C,A,1,24770500000000,1,128,11340,597187974,24769250000000,24770250000000,1,1,1,1,24769000000000,24770500000000,2,1,2,1,24768750000000,24770750000000,3,1,3,1,24768500000000,24771000000000,2,4,2,3,24768250000000,24771250000000,2,2,2,2,24768000000000,24771500000000,4,3,4,3,24767750000000,24771750000000,4,2,4,2,24767500000000,24772000000000,4,1,4,1,24767250000000,24772250000000,4,1,4,1,24767000000000,24772500000000,4,3,4,3,NQ.c.0
2026-02-06 13:05:00+00:00,1770383159970190639,10,1,42002475,M,A,6,24767750000000,1,128,12363,597223388,24765250000000,24766250000000,1,1,1,1,24765000000000,24766500000000,1,2,1,2,24764750000000,24766750000000,2,3,2,3,24764500000000,24767000000000,1,2,1,2,24764250000000,24767250000000,2,2,2,2,24764000000000,24767500000000,2,4,2,4,24763750000000,24767750000000,4,3,4,3,24763500000000,24768000000000,2,3,2,3,24763250000000,24768250000000,4,2,4,2,24763000000000,24768500000000,6,4,4,4,NQ.c.0
2026-02-06 13:06:00+00:00,1770383219984043421,10,1,42002475,A,B,0,24771500000000,1,128,13089,597255592,24771500000000,24772500000000,2,2,2,2,24771250000000,24772750000000,1,3,1,3,24771000000000,24773000000000,2,4,2,2,24770750000000,24773250000000,3,3,3,3,24770500000000,24773500000000,4,2,4,2,24770250000000,24773750000000,3,5,3,5,24770000000000,24774000000000,5,4,5,4,24769750000000,24774250000000,1,5,1,5,24769500000000,24774500000000,3,4,3,4,24769250000000,24774750000000,4,5,4,5,NQ.c.0
2026-02-06 13:07:00+00:00,1770383279869156764,10,1,42002475,A,B,0,24768500000000,1,128,13433,597289710,24768500000000,24769500000000,2,1,2,1,24768250000000,24769750000000,2,2,2,2,24768000000000,24770000000000,1,4,1,4,24767750000000,24770250000000,2,4,2,4,24767500000000,24770500000000,4,4,4,4,24767250000000,24770750000000,4,4,4,4,24767000000000,24771000000000,4,2,4,2,24766750000000,24771250000000,3,2,3,2,24766500000000,24771500000000,3,3,3,3,24766250000000,24771750000000,4,5,4,5,NQ.c.0
2026-02-06 13:08:00+00:00,1770383339938513994,10,1,42002475,A,A,4,24771500000000,1,128,11420,597333204,24770000000000,24770500000000,1,2,1,2,24769750000000,24770750000000,2,3,2,3,24769500000000,24771000000000,2,3,2,3,24769250000000,24771250000000,2,3,2,3,24769000000000,24771500000000,3,4,3,4,24768750000000,24771750000000,1,4,1,4,24768500000000,24772000000000,2,5,2,5,24768250000000,24772250000000,4,5,4,5,24768000000000,24772500000000,3,9,3,6,24767750000000,24772750000000,4,4,4,4,NQ.c.0
2026-02-06 13:09:00+00:00,1770383399752359479,10,1,42002475,A,A,1,24767500000000,1,128,11295,597365182,24766250000000,24767250000000,1,1,1,1,24766000000000,24767500000000,1,5,1,5,24765750000000,24767750000000,3,4,3,4,24765500000000,24768000000000,2,4,2,4,24764750000000,24768250000000,1,2,1,2,24764500000000,24768500000000,1,2,1,2,24764250000000,24768750000000,2,3,2,3,24764000000000,24769000000000,4,3,4,3,24763750000000,24769250000000,3,4,3,4,24763500000000,24769500000000,2,3,2,3,NQ.c.0
2026-02-06 13:10:00+00:00,1770383459993101657,10,1,42002475,C,A,0,24759500000000,1,128,12473,597401956,24758750000000,24759750000000,1,3,1,3,24758500000000,24760000000000,3,2,3,2,24758250000000,24760250000000,1,4,1,4,24758000000000,24760500000000,2,10,2,6,24757750000000,24760750000000,2,6,2,6,24757500000000,24761000000000,4,3,4,3,24757250000000,24761250000000,2,2,2,2,24757000000000,24761500000000,3,1,3,1,24756750000000,24762000000000,4,4,4,4,24756500000000,24762250000000,4,3,4,3,NQ.c.0
2026-02-06 13:11:00+00:00,1770383519999035738,10,1,42002475,C,A,0,24779500000000,1,128,12694,597440341,24778750000000,24779750000000,3,1,3,1,24778500000000,24780000000000,3,3,3,3,24778250000000,24780250000000,2,5,2,5,24778000000000,24780500000000,4,5,4,5,24777750000000,24780750000000,2,4,2,4,24777500000000,24781000000000,2,5,2,5,24777250000000,24781250000000,5,7,5,7,24777000000000,24781500000000,4,5,4,5,24776750000000,24781750000000,4,15,4,6,24776500000000,24782000000000,4,5,4,5,NQ.c.0
2026-02-06 13:12:00+00:00,1770383579992684181,10,1,42002475,A,A,0,24794250000000,1,128,12776,597480739,24793250000000,24794250000000,1,2,1,2,24793000000000,24794500000000,1,2,1,2,24792750000000,24794750000000,2,3,2,3,24792500000000,24795000000000,1,2,1,2,24792250000000,24795250000000,4,2,4,2,24792000000000,24795500000000,5,3,5,3,24791750000000,24795750000000,5,3,5,3,24791500000000,24796000000000,4,2,4,2,24791250000000,24796250000000,4,3,4,3,24791000000000,24796500000000,5,4,5,4,NQ.c.0
2026-02-06 13:13:00+00:00,1770383639764799489,10,1,42002475,C,B,0,24802250000000,1,128,11612,597525850,24802000000000,24803000000000,2,1,2,1,24801750000000,24803250000000,5,1,5,1,24801500000000,24803500000000,2,1,2,1,24801250000000,24803750000000,2,2,2,2,24801000000000,24804000000000,3,1,3,1,24800750000000,24804250000000,2,3,2,3,24800500000000,24804500000000,2,4,2,4,24800250000000,24804750000000,3,3,3,3,24800000000000,24805000000000,4,3,4,3,24799750000000,24805250000000,4,5,4,5,NQ.c.0
2026-02-06 13:14:00+00:00,1770383699870112740,10,1,42002475,C,B,0,24801250000000,1,128,11295,597553331,24801000000000,24802250000000,1,2,1,2,24800750000000,24802500000000,5,1,4,1,24800500000000,24802750000000,2,4,2,4,24800250000000,24803000000000,5,3,5,3,24800000000000,24803250000000,5,2,5,2,24799750000000,24803500000000,3,2,3,2,24799500000000,24803750000000,5,2,5,2,24799250000000,24804000000000,4,2,4,2,24799000000000,24804250000000,1,1,1,1,24798750000000,24804500000000,3,2,3,2,NQ.c.0
2026-02-06 13:15:00+00:00,1770383759850714836,10,1,42002475,C,B,1,24783250000000,1,128,12416,597587598,24783500000000,24785000000000,2,3,2,3,24783250000000,24785250000000,4,3,4,3,24783000000000,24785500000000,2,3,2,3,24782750000000,24785750000000,2,2,2,2,24782500000000,24786000000000,1,2,1,2,24782250000000,24786250000000,3,2,3,2,24782000000000,24786500000000,5,4,5,4,24781750000000,24786750000000,4,3,4,3,24781500000000,24787000000000,4,2,4,2,24781250000000,24787250000000,3,4,3,4,NQ.c.0
2026-02-06 13:16:00+00:00,1770383819956468212,10,1,42002475,C,A,8,24795500000000,1,128,13168,597621721,24792250000000,24793500000000,1,1,1,1,24792000000000,24793750000000,2,3,2,3,24791750000000,24794000000000,1,3,1,3,24791500000000,24794250000000,2,2,2,2,24791250000000,24794500000000,3,4,3,4,24791000000000,24794750000000,2,4,2,4,24790750000000,24795000000000,4,1,4,1,24790500000000,24795250000000,4,1,4,1,24790250000000,24795500000000,3,6,3,6,24790000000000,24795750000000,5,2,5,2,NQ.c.0
2026-02-06 13:17:00+00:00,1770383879703842284,10,1,42002475,M,B,7,24786000000000,1,128,13546,597651461,24787750000000,24788500000000,1,1,1,1,24787500000000,24788750000000,3,1,3,1,24787250000000,24789000000000,3,4,3,4,24787000000000,24789250000000,2,2,2,2,24786750000000,24789500000000,3,4,3,4,24786500000000,24789750000000,4,5,4,5,24786250000000,24790000000000,3,5,3,5,24786000000000,24790250000000,5,4,5,4,24785750000000,24790500000000,5,4,5,4,24785500000000,24790750000000,5,2,5,2,NQ.c.0
2026-02-06 13:18:00+00:00,1770383939920235615,10,1,42002475,M,A,1,24802750000000,1,128,12949,597690450,24801500000000,24802500000000,2,2,2,2,24801250000000,24802750000000,1,3,1,3,24801000000000,24803000000000,3,4,3,4,24800750000000,24803500000000,1,16,1,4,24800500000000,24803750000000,3,4,3,4,24800250000000,24804000000000,3,5,3,5,24800000000000,24804250000000,5,3,5,3,24799750000000,24804500000000,1,5,1,5,24799500000000,24804750000000,3,4,3,4,24799250000000,24805000000000,1,22,1,3,NQ.c.0
2026-02-06 13:19:00+00:00,1770383999946435594,10,1,42002475,A,A,3,24821250000000,1,128,11651,597739524,24819500000000,24820500000000,1,2,1,2,24819250000000,24820750000000,3,1,3,1,24819000000000,24821000000000,2,2,2,2,24818750000000,24821250000000,1,2,1,2,24818500000000,24821500000000,2,3,2,3,24818250000000,24821750000000,4,2,4,2,24818000000000,24822000000000,5,2,5,2,24817750000000,24822250000000,3,1,3,1,24817500000000,24822500000000,4,2,4,2,24817250000000,24822750000000,4,2,4,2,NQ.c.0
2026-02-06 13:20:00+00:00,1770384059956969186,10,1,42002475,A,B,0,24818750000000,1,128,11542,597808732,24818750000000,24819750000000,2,1,2,1,24818500000000,24820000000000,1,1,1,1,24818250000000,24820250000000,1,3,1,3,24818000000000,24820500000000,4,1,4,1,24817750000000,24821250000000,2,3,2,3,24817500000000,24821500000000,1,4,1,4,24817250000000,24821750000000,2,3,2,3,24817000000000,24822000000000,2,3,2,3,24816750000000,24822250000000,2,1,2,1,24816500000000,24822500000000,3,2,3,2,NQ.c.0
2026-02-06 13:21:00+00:00,1770384119969516236,10,1,42002475,C,B,0,24838250000000,1,128,11418,597851573,24838000000000,24839000000000,1,1,1,1,24837750000000,24839250000000,3,2,3,2,24837500000000,24839500000000,2,2,2,2,24837250000000,24839750000000,1,2,1,2,24837000000000,24840000000000,4,6,4,3,24836750000000,24840250000000,2,2,2,2,24836500000000,24840500000000,3,2,3,2,24836250000000,24840750000000,4,1,4,1,24836000000000,24841000000000,4,1,4,1,24835750000000,24841250000000,4,2,4,2,NQ.c.0
