ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-08 12:00:00+00:00,1780920059840607863,10,1,42004058,A,B,1,29398250000000,1,128,13515,50318734,29398500000000,29399500000000,3,1,3,1,29398250000000,29399750000000,4,4,4,4,29398000000000,29400000000000,4,9,3,2,29397750000000,29400250000000,3,3,3,3,29397500000000,29400500000000,3,4,3,4,29397250000000,29400750000000,2,3,2,3,29397000000000,29401000000000,2,4,2,4,29396750000000,29401250000000,3,3,3,3,29396500000000,29401500000000,3,5,3,5,29396250000000,29401750000000,2,4,2,4,NQ.c.0
2026-06-08 12:01:00+00:00,1780920119949220623,10,1,42004058,M,A,1,29450500000000,1,128,11131,50430692,29374250000000,29375250000000,1,1,1,1,29374000000000,29375500000000,3,3,3,3,29373750000000,29375750000000,2,2,2,2,29372750000000,29376000000000,2,2,2,2,29372250000000,29376250000000,3,2,3,2,29372000000000,29376500000000,4,1,4,1,29371750000000,29376750000000,4,2,4,2,29371500000000,29377000000000,4,3,4,3,29371000000000,29377500000000,2,16,2,3,29370750000000,29377750000000,4,3,4,3,NQ.c.0
2026-06-08 12:02:00+00:00,1780920179996463764,10,1,42004058,A,A,0,29386500000000,1,128,16483,50503683,29385250000000,29386500000000,2,1,2,1,29385000000000,29386750000000,3,2,3,2,29384750000000,29387000000000,4,2,4,2,29384500000000,29387250000000,4,4,4,4,29384250000000,29387500000000,3,4,3,4,29384000000000,29387750000000,5,4,5,4,29383750000000,29388000000000,6,3,6,3,29383500000000,29388250000000,3,4,3,4,29383250000000,29388500000000,2,5,2,5,29383000000000,29388750000000,2,4,2,4,NQ.c.0
2026-06-08 12:03:00+00:00,1780920239987525129,10,1,42004058,A,B,2,29377250000000,1,128,12859,50562661,29378000000000,29379500000000,2,2,2,2,29377750000000,29379750000000,1,5,1,5,29377250000000,29380000000000,1,5,1,5,29377000000000,29380250000000,2,2,2,2,29376750000000,29380500000000,5,4,5,4,29376500000000,29380750000000,4,4,4,4,29376250000000,29381000000000,3,2,3,2,29376000000000,29381250000000,3,3,3,3,29375750000000,29381500000000,3,2,3,2,29375500000000,29381750000000,2,2,2,2,NQ.c.0
2026-06-08 12:04:00+00:00,1780920299846545974,10,1,42004058,C,B,2,29385500000000,1,128,10863,50625375,29386000000000,29387000000000,1,1,1,1,29385750000000,29387250000000,1,3,1,3,29385500000000,29387500000000,2,2,2,2,29385250000000,29387750000000,1,1,1,1,29385000000000,29388000000000,2,3,2,3,29384750000000,29388250000000,2,3,2,3,29384500000000,29388500000000,1,4,1,4,29384250000000,29388750000000,2,2,2,2,29384000000000,29389000000000,2,3,2,3,29383750000000,29389500000000,2,3,2,3,NQ.c.0
2026-06-08 12:05:00+00:00,1780920359974413490,10,1,42004058,A,B,2,29381750000000,1,128,12829,50696102,29382250000000,29383500000000,1,2,1,2,29382000000000,29383750000000,2,3,2,3,29381750000000,29384000000000,3,2,3,2,29381500000000,29384500000000,2,1,2,1,29381250000000,29385000000000,4,2,4,2,29381000000000,29385250000000,2,3,2,3,29380750000000,29385500000000,3,4,3,4,29380500000000,29385750000000,3,3,3,3,29380250000000,29386000000000,2,2,2,2,29380000000000,29386250000000,5,1,5,1,NQ.c.0
2026-06-08 12:06:00+00:00,1780920419971402028,10,1,42004058,A,A,9,29395000000000,1,128,12974,50762876,29391250000000,29392500000000,1,1,1,1,29391000000000,29392750000000,6,1,6,1,29390750000000,29393000000000,4,2,4,2,29390500000000,29393250000000,2,1,2,1,29390250000000,29393500000000,2,1,2,1,29390000000000,29393750000000,4,2,4,2,29389750000000,29394000000000,2,3,2,3,29389500000000,29394250000000,4,3,3,3,29389250000000,29394500000000,2,2,2,2,29389000000000,29395000000000,3,4,3,4,NQ.c.0
2026-06-08 12:07:00+00:00,1780920479983791771,10,1,42004058,M,B,2,29388500000000,1,128,13407,50817242,29389000000000,29390000000000,1,1,1,1,29388750000000,29390250000000,1,2,1,2,29388500000000,29390500000000,3,1,3,1,29388250000000,29390750000000,1,1,1,1,29388000000000,29391000000000,1,1,1,1,29387750000000,29391250000000,2,1,2,1,29387500000000,29391500000000,1,3,1,3,29387250000000,29391750000000,2,4,2,4,29387000000000,29392000000000,3,2,3,2,29386750000000,29392250000000,2,4,2,4,NQ.c.0
2026-06-08 12:08:00+00:00,1780920539939239922,10,1,42004058,C,A,1,29402250000000,1,128,11129,50883894,29401000000000,29402000000000,1,1,1,1,29400750000000,29402250000000,3,2,3,2,29400500000000,29402500000000,2,1,2,1,29400250000000,29402750000000,3,2,3,2,29400000000000,29403000000000,3,2,3,2,29399750000000,29403250000000,3,3,3,3,29399500000000,29403500000000,3,1,3,1,29399250000000,29403750000000,4,3,4,3,29398500000000,29404000000000,2,3,2,3,29398250000000,29404250000000,2,4,2,3,NQ.c.0
2026-06-08 12:09:00+00:00,1780920599848493685,10,1,42004058,A,A,0,29415000000000,1,128,12521,50933602,29414250000000,29415000000000,1,1,1,1,29414000000000,29415250000000,4,1,4,1,29413750000000,29415500000000,4,2,4,2,29413500000000,29415750000000,5,4,5,4,29413250000000,29416000000000,4,4,4,4,29413000000000,29416250000000,4,4,4,4,29412750000000,29416500000000,4,4,4,4,29412500000000,29416750000000,4,2,4,2,29412250000000,29417000000000,4,4,4,4,29412000000000,29417250000000,5,8,5,2,NQ.c.0
2026-06-08 12:10:00+00:00,1780920659982506921,10,1,42004058,A,B,2,29402250000000,1,128,12323,50990988,29402750000000,29403750000000,1,1,1,1,29402500000000,29404000000000,2,2,2,2,29402250000000,29404250000000,1,4,1,4,29402000000000,29405000000000,2,2,2,2,29401750000000,29405250000000,3,4,3,4,29401500000000,29405500000000,2,3,2,3,29401250000000,29405750000000,3,3,3,3,29401000000000,29406000000000,3,2,3,2,29400750000000,29406250000000,2,3,2,3,29400500000000,29406500000000,2,2,2,2,NQ.c.0
2026-06-08 12:11:00+00:00,1780920719968878414,10,1,42004058,C,B,0,29409250000000,1,128,12619,51054167,29409000000000,29410000000000,5,1,2,1,29408750000000,29410250000000,3,2,3,2,29408250000000,29410500000000,4,3,4,3,29408000000000,29410750000000,3,2,3,2,29407750000000,29411000000000,3,4,3,4,29407500000000,29411250000000,2,2,2,2,29407250000000,29411750000000,3,4,3,4,29407000000000,29412000000000,2,4,2,4,29406750000000,29412250000000,2,3,2,3,29406500000000,29412500000000,3,4,3,4,NQ.c.0
2026-06-08 12:12:00+00:00,1780920779864258052,10,1,42004058,C,B,1,29402750000000,1,128,12538,51101142,29403250000000,29404250000000,4,2,2,2,29402750000000,29404500000000,2,2,2,2,29402500000000,29404750000000,3,4,3,4,29402250000000,29405000000000,3,5,3,5,29402000000000,29405250000000,3,4,3,4,29401750000000,29405500000000,4,3,4,3,29401500000000,29405750000000,5,3,5,3,29401250000000,29406000000000,3,6,3,6,29401000000000,29406250000000,5,7,5,7,29400750000000,29406500000000,4,5,4,5,NQ.c.0
2026-06-08 12:13:00+00:00,1780920839994493487,10,1,42004058,A,A,1,29407500000000,1,128,11232,51155695,29405750000000,29407000000000,1,1,1,1,29405500000000,29407500000000,5,4,5,4,29405250000000,29407750000000,8,3,8,3,29405000000000,29408000000000,8,2,8,2,29404750000000,29408250000000,4,2,4,2,29404500000000,29408500000000,2,2,2,2,29404250000000,29408750000000,5,2,5,2,29404000000000,29409250000000,7,2,7,2,29403750000000,29409750000000,4,2,4,2,29403500000000,29410000000000,2,3,2,3,NQ.c.0
2026-06-08 12:14:00+00:00,1780920899979753809,10,1,42004058,C,A,0,29413750000000,1,128,11650,51201310,29412750000000,29414000000000,1,1,1,1,29412500000000,29414250000000,2,4,1,4,29412250000000,29414500000000,1,1,1,1,29412000000000,29414750000000,3,1,3,1,29411750000000,29415000000000,3,1,3,1,29411250000000,29415250000000,2,1,2,1,29411000000000,29415500000000,2,3,2,3,29410500000000,29415750000000,3,3,3,3,29410250000000,29416000000000,3,3,3,3,29410000000000,29416250000000,5,2,4,2,NQ.c.0
2026-06-08 12:15:00+00:00,1780920959872730427,10,1,42004058,A,B,0,29404250000000,1,128,12461,51240178,29404250000000,29405250000000,2,1,2,1,29404000000000,29405500000000,4,3,4,3,29403750000000,29406000000000,3,1,3,1,29403500000000,29407000000000,2,1,2,1,29403250000000,29407500000000,1,2,1,2,29403000000000,29407750000000,1,3,1,3,29402750000000,29408000000000,1,3,1,3,29402500000000,29408250000000,3,1,3,1,29402000000000,29408500000000,3,2,3,2,29401500000000,29408750000000,2,1,2,1,NQ.c.0
2026-06-08 12:16:00+00:00,1780921019925394523,10,1,42004058,A,A,0,29409250000000,1,128,12705,51279987,29408000000000,29409250000000,2,1,2,1,29407750000000,29409500000000,3,3,3,3,29407500000000,29409750000000,4,2,4,2,29407250000000,29410000000000,3,3,3,3,29407000000000,29410250000000,4,1,4,1,29406750000000,29410500000000,3,1,3,1,29406500000000,29410750000000,2,1,2,1,29406250000000,29411000000000,3,1,3,1,29406000000000,29411250000000,3,3,3,3,29405750000000,29411500000000,1,4,1,4,NQ.c.0
2026-06-08 12:17:00+00:00,1780921079961509580,10,1,42004058,C,A,1,29409000000000,1,128,11380,51320325,29407750000000,29408750000000,2,1,2,1,29407500000000,29409000000000,3,1,3,1,29407250000000,29409250000000,1,2,1,2,29407000000000,29409500000000,2,1,2,1,29406750000000,29409750000000,2,1,2,1,29406500000000,29410000000000,1,1,1,1,29406000000000,29410250000000,1,2,1,2,29405750000000,29410500000000,2,1,2,1,29405500000000,29411000000000,2,2,2,2,29405250000000,29411250000000,1,1,1,1,NQ.c.0
2026-06-08 12:18:00+00:00,1780921139902876436,10,1,42004058,M,A,0,29488750000000,1,128,11826,51358155,29412250000000,29413500000000,2,1,2,1,29412000000000,29413750000000,2,2,2,2,29411750000000,29414000000000,3,1,3,1,29411500000000,29414250000000,2,3,2,2,29411000000000,29414750000000,3,2,3,2,29410750000000,29415000000000,2,3,2,3,29410500000000,29415500000000,2,2,2,2,29409750000000,29415750000000,2,2,2,2,29409500000000,29416000000000,2,3,2,3,29409250000000,29416250000000,1,1,1,1,NQ.c.0
2026-06-08 12:19:00+00:00,1780921199986868146,10,1,42004058,A,B,2,29417000000000,1,128,12458,51405970,29417500000000,29418500000000,2,1,2,1,29417250000000,29418750000000,2,2,2,2,29417000000000,29419000000000,1,3,1,3,29416750000000,29419250000000,3,1,3,1,29416500000000,29419500000000,3,3,3,3,29416250000000,29419750000000,4,5,4,5,29416000000000,29420000000000,5,2,5,2,29415750000000,29420250000000,5,3,5,3,29415500000000,29420500000000,2,1,2,1,29415250000000,29420750000000,4,2,4,2,NQ.c.0
2026-06-08 12:20:00+00:00,1780921259894926027,10,1,42004058,M,A,0,29505500000000,1,128,11792,51460834,29428250000000,29429000000000,1,1,1,1,29428000000000,29429250000000,1,4,1,4,29427750000000,29429500000000,2,13,2,3,29427500000000,29429750000000,3,3,3,3,29427250000000,29430000000000,1,16,1,7,29427000000000,29430250000000,3,2,3,2,29426750000000,29430500000000,2,4,2,4,29426500000000,29430750000000,2,2,2,2,29426250000000,29431000000000,2,6,2,5,29426000000000,29431250000000,5,4,5,4,NQ.c.0
2026-06-08 12:21:00+00:00,1780921319943281047,10,1,42004058,A,A,0,29432000000000,1,128,12546,51526553,29431000000000,29432000000000,2,1,2,1,29430750000000,29432250000000,1,3,1,3,29430500000000,29432500000000,2,4,2,4,29430250000000,29432750000000,1,1,1,1,29429750000000,29433000000000,5,2,2,2,29429500000000,29433250000000,2,2,2,2,29429250000000,29433500000000,2,2,2,2,29429000000000,29433750000000,3,2,3,2,29428750000000,29434250000000,2,1,2,1,29428500000000,29434750000000,2,1,2,1,NQ.c.0
2026-06-08 12:22:00+00:00,1780921379930128569,10,1,42004058,M,A,1,29429500000000,1,128,12648,51574839,29428250000000,29429250000000,1,2,1,2,29427750000000,29429500000000,1,3,1,3,29427500000000,29429750000000,5,3,5,3,29427000000000,29430000000000,5,2,5,2,29426500000000,29430250000000,2,3,2,3,29426000000000,29430500000000,3,4,3,4,29425750000000,29430750000000,4,2,4,2,29425500000000,29431500000000,2,2,2,2,29425250000000,29431750000000,1,2,1,2,29425000000000,29432000000000,4,4,4,4,NQ.c.0
2026-06-08 12:23:00+00:00,1780921439998855284,10,1,42004058,A,B,0,29425000000000,1,128,12454,51628554,29425000000000,29425750000000,1,1,1,1,29424750000000,29426000000000,3,2,1,2,29424500000000,29426250000000,2,2,2,2,29424250000000,29426500000000,1,1,1,1,29424000000000,29426750000000,3,1,3,1,29423750000000,29427000000000,3,3,3,3,29423500000000,29427250000000,11,5,1,5,29423250000000,29427500000000,1,3,1,3,29422750000000,29427750000000,3,3,3,3,29422500000000,29428000000000,3,3,3,3,NQ.c.0
