ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-11 12:00:00+00:00,1773230459994344765,10,1,42002475,C,A,0,24960500000000,1,128,12720,331798703,24959500000000,24960750000000,1,1,1,1,24959250000000,24961250000000,2,1,2,1,24959000000000,24961500000000,2,4,2,4,24958750000000,24961750000000,2,2,2,2,24958250000000,24962000000000,3,4,3,4,24958000000000,24962250000000,3,4,3,4,24957500000000,24962500000000,3,2,3,2,24957000000000,24962750000000,2,2,2,2,24956750000000,24963000000000,2,1,2,1,24956500000000,24963750000000,2,3,2,3,NQ.c.0
2026-03-11 12:01:00+00:00,1773230519776333880,10,1,42002475,A,A,0,24964000000000,1,128,12129,331845961,24962750000000,24964000000000,1,1,1,1,24962500000000,24964250000000,1,2,1,2,24961500000000,24964500000000,1,1,1,1,24961250000000,24964750000000,4,3,4,3,24961000000000,24965000000000,5,3,5,3,24960750000000,24965250000000,3,4,3,4,24960500000000,24965500000000,3,3,3,3,24960250000000,24965750000000,1,4,1,4,24959750000000,24966000000000,2,5,2,5,24959500000000,24966250000000,3,2,3,2,NQ.c.0
2026-03-11 12:02:00+00:00,1773230579991661519,10,1,42002475,A,B,0,24968250000000,1,128,12520,331889496,24968250000000,24969750000000,2,2,2,2,24968000000000,24970000000000,3,3,3,3,24967750000000,24970250000000,3,2,3,2,24967500000000,24970500000000,2,1,2,1,24967250000000,24970750000000,3,2,3,2,24967000000000,24971000000000,2,2,2,2,24966750000000,24971250000000,3,4,3,2,24966500000000,24971750000000,2,2,2,2,24966250000000,24972000000000,2,5,2,5,24966000000000,24972250000000,2,3,2,3,NQ.c.0
2026-03-11 12:03:00+00:00,1773230639150332725,10,1,42002475,A,B,0,24960000000000,1,128,11023,331931592,24960000000000,24961250000000,1,1,1,1,24959750000000,24961500000000,3,2,3,2,24959500000000,24961750000000,2,3,2,3,24959250000000,24962000000000,1,4,1,4,24959000000000,24962250000000,1,5,1,5,24958500000000,24962500000000,2,3,2,3,24958250000000,24962750000000,3,4,3,4,24958000000000,24963250000000,2,2,2,2,24957500000000,24963500000000,3,5,3,5,24957250000000,24963750000000,3,3,3,3,NQ.c.0
2026-03-11 12:04:00+00:00,1773230699943911168,10,1,42002475,A,A,5,24952500000000,1,128,12290,331971183,24948500000000,24949750000000,2,1,2,1,24948250000000,24951500000000,2,1,2,1,24948000000000,24951750000000,3,2,3,2,24947750000000,24952000000000,2,3,2,3,24947500000000,24952250000000,2,3,2,3,24947250000000,24952500000000,3,2,3,2,24946750000000,24952750000000,2,4,2,4,24946500000000,24953000000000,4,2,4,2,24946250000000,24953250000000,3,2,3,2,24946000000000,24953500000000,2,4,2,4,NQ.c.0
2026-03-11 12:05:00+00:00,1773230759698459703,10,1,42002475,C,B,0,24950750000000,1,128,12627,332019474,24950500000000,24951750000000,2,1,2,1,24950250000000,24952000000000,1,1,1,1,24950000000000,24952250000000,2,3,2,3,24949750000000,24952500000000,2,2,2,2,24949500000000,24952750000000,1,4,1,4,24949250000000,24953000000000,3,4,3,4,24949000000000,24953250000000,4,2,3,2,24948750000000,24953500000000,2,3,2,3,24948500000000,24953750000000,2,1,2,1,24948000000000,24954000000000,3,4,3,4,NQ.c.0
2026-03-11 12:06:00+00:00,1773230819996560055,10,1,42002475,M,A,9,24954250000000,1,128,12369,332051273,24950500000000,24951750000000,3,1,3,1,24950250000000,24952000000000,3,2,3,2,24950000000000,24952250000000,2,4,2,4,24949750000000,24952500000000,2,2,2,2,24949500000000,24952750000000,4,3,4,3,24949250000000,24953000000000,2,3,2,3,24949000000000,24953250000000,5,2,4,2,24948750000000,24953500000000,2,4,2,4,24948500000000,24954000000000,2,3,2,3,24948250000000,24954250000000,1,3,1,3,NQ.c.0
2026-03-11 12:07:00+00:00,1773230879952670485,10,1,42002475,A,B,0,24953500000000,1,128,12384,332082991,24953500000000,24954750000000,1,2,1,2,24953250000000,24955000000000,1,1,1,1,24953000000000,24955250000000,1,3,1,3,24952750000000,24956000000000,2,4,2,4,24952500000000,24956250000000,2,2,2,2,24952250000000,24956500000000,1,3,1,3,24952000000000,24956750000000,2,3,2,3,24951500000000,24957000000000,2,5,2,5,24951250000000,24957250000000,3,6,3,6,24950750000000,24957500000000,3,4,3,4,NQ.c.0
2026-03-11 12:08:00+00:00,1773230939924457254,10,1,42002475,A,B,0,24943500000000,1,128,14453,332119311,24943500000000,24944500000000,1,1,1,1,24943250000000,24944750000000,3,2,2,2,24943000000000,24945000000000,2,2,1,2,24942750000000,24945250000000,5,1,2,1,24942250000000,24945500000000,3,5,3,5,24942000000000,24945750000000,2,5,2,5,24941750000000,24946000000000,2,5,2,5,24941500000000,24946250000000,5,4,5,4,24941250000000,24946500000000,2,3,1,3,24941000000000,24946750000000,1,2,1,2,NQ.c.0
2026-03-11 12:09:00+00:00,1773230999737212653,10,1,42002475,A,B,0,24942750000000,1,128,11065,332159993,24942750000000,24944000000000,3,1,3,1,24942500000000,24944250000000,2,2,2,2,24942250000000,24944500000000,2,3,2,3,24942000000000,24944750000000,1,3,1,3,24941750000000,24945000000000,2,5,2,5,24941500000000,24945250000000,1,4,1,1,24941250000000,24945500000000,3,2,3,2,24941000000000,24945750000000,3,3,3,3,24940750000000,24946000000000,1,5,1,5,24940500000000,24946250000000,2,3,2,3,NQ.c.0
2026-03-11 12:10:00+00:00,1773231059776276635,10,1,42002475,C,A,0,24948250000000,1,128,11149,332193917,24947250000000,24948500000000,1,2,1,2,24947000000000,24948750000000,2,1,2,1,24946750000000,24949000000000,1,3,1,3,24946500000000,24949250000000,2,1,2,1,24946250000000,24949750000000,3,1,3,1,24946000000000,24950000000000,2,2,2,2,24945750000000,24950250000000,2,1,2,1,24945500000000,24950500000000,2,3,2,3,24945250000000,24950750000000,2,2,2,2,24944000000000,24951000000000,2,3,2,3,NQ.c.0
2026-03-11 12:11:00+00:00,1773231119984330501,10,1,42002475,C,B,4,24953250000000,1,128,12858,332243688,24954250000000,24955500000000,1,2,1,2,24954000000000,24955750000000,4,2,4,2,24953750000000,24956000000000,2,1,2,1,24953500000000,24956250000000,2,2,2,2,24953000000000,24956500000000,3,1,3,1,24952750000000,24956750000000,3,2,3,2,24952500000000,24957750000000,3,1,3,1,24952250000000,24958000000000,3,2,3,2,24952000000000,24958250000000,2,4,2,4,24951750000000,24958500000000,3,4,3,4,NQ.c.0
2026-03-11 12:12:00+00:00,1773231179941891582,10,1,42002475,C,B,0,24957500000000,1,128,12709,332281230,24957250000000,24958500000000,1,1,1,1,24957000000000,24958750000000,1,2,1,2,24956750000000,24959000000000,4,2,4,2,24956500000000,24959250000000,4,1,4,1,24956250000000,24959500000000,3,2,3,2,24956000000000,24959750000000,3,1,3,1,24955750000000,24960000000000,3,1,3,1,24955500000000,24960250000000,5,2,5,2,24954750000000,24960500000000,3,1,3,1,24954500000000,24960750000000,3,3,3,3,NQ.c.0
2026-03-11 12:13:00+00:00,1773231239999510224,10,1,42002475,C,A,0,24961500000000,1,128,10127,332321709,24960500000000,24961750000000,1,1,1,1,24960250000000,24962000000000,3,1,3,1,24960000000000,24962250000000,4,2,4,2,24959750000000,24962500000000,2,1,2,1,24959500000000,24962750000000,2,1,2,1,24959250000000,24963500000000,2,4,2,4,24959000000000,24963750000000,3,2,3,2,24958750000000,24964000000000,3,5,3,5,24958500000000,24964250000000,2,3,2,3,24958000000000,24964500000000,2,2,2,2,NQ.c.0
2026-03-11 12:14:00+00:00,1773231299956605451,10,1,42002475,A,A,0,24955750000000,1,128,12634,332354560,24954500000000,24955750000000,2,1,2,1,24954250000000,24956000000000,3,2,3,2,24954000000000,24956250000000,2,3,2,3,24953750000000,24956500000000,3,2,3,2,24953500000000,24956750000000,2,2,2,2,24953250000000,24957000000000,2,3,2,3,24953000000000,24957250000000,2,2,2,2,24952750000000,24957500000000,4,2,4,2,24952500000000,24957750000000,2,3,2,3,24952250000000,24958000000000,2,3,2,3,NQ.c.0
