ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-18 13:00:00+00:00,1771419659987420050,10,1,42002475,C,A,0,24891750000000,1,128,13398,175619694,24891000000000,24892000000000,2,1,2,1,24890750000000,24892250000000,2,2,2,2,24890500000000,24892500000000,2,3,2,3,24890250000000,24892750000000,1,9,1,6,24890000000000,24893000000000,5,1,5,1,24889750000000,24893250000000,4,3,4,3,24889500000000,24893750000000,3,2,3,2,24889250000000,24894000000000,9,4,4,4,24889000000000,24894250000000,2,3,2,3,24888750000000,24894500000000,3,2,3,2,NQ.c.0
2026-02-18 13:01:00+00:00,1771419719988998357,10,1,42002475,A,A,2,24890500000000,1,128,13252,175641894,24889000000000,24890000000000,1,1,1,1,24888750000000,24890250000000,3,2,3,2,24888500000000,24890500000000,2,3,2,3,24888250000000,24890750000000,1,2,1,2,24888000000000,24891000000000,5,1,5,1,24887750000000,24891250000000,2,1,2,1,24887500000000,24891500000000,2,2,2,2,24887250000000,24891750000000,1,1,1,1,24887000000000,24892000000000,3,4,3,4,24886750000000,24892250000000,4,2,4,2,NQ.c.0
2026-02-18 13:02:00+00:00,1771419779937533147,10,1,42002475,C,B,0,24888000000000,1,128,16132,175665288,24888000000000,24889000000000,1,1,1,1,24887750000000,24889250000000,4,2,4,2,24887500000000,24889500000000,4,2,4,2,24887250000000,24889750000000,5,2,5,2,24887000000000,24890000000000,4,3,4,3,24886750000000,24890250000000,4,3,4,3,24886500000000,24890500000000,4,2,4,2,24886250000000,24890750000000,7,3,7,3,24886000000000,24891000000000,16,3,7,3,24885750000000,24891250000000,4,3,4,3,NQ.c.0
2026-02-18 13:03:00+00:00,1771419839996565856,10,1,42002475,C,A,5,24892500000000,1,128,16057,175691214,24890500000000,24891250000000,1,1,1,1,24890250000000,24891500000000,1,1,1,1,24890000000000,24891750000000,5,3,5,3,24889750000000,24892000000000,2,4,2,2,24889500000000,24892250000000,3,2,3,2,24889250000000,24892500000000,4,1,4,1,24889000000000,24892750000000,1,3,1,3,24888750000000,24893000000000,4,2,4,2,24888500000000,24893250000000,3,3,3,3,24888250000000,24893500000000,4,3,4,3,NQ.c.0
2026-02-18 13:04:00+00:00,1771419899996607026,10,1,42002475,C,A,9,24876500000000,1,128,12526,175719984,24873500000000,24874250000000,1,2,1,2,24873250000000,24874500000000,2,2,2,2,24873000000000,24874750000000,4,7,3,7,24872750000000,24875000000000,3,4,3,4,24872500000000,24875250000000,4,3,4,3,24872250000000,24875500000000,5,2,5,2,24872000000000,24875750000000,7,3,7,3,24871750000000,24876000000000,4,4,4,4,24871500000000,24876250000000,6,4,6,4,24871250000000,24876500000000,3,2,3,2,NQ.c.0
2026-02-18 13:05:00+00:00,1771419959999384944,10,1,42002475,A,B,4,24875250000000,1,128,11252,175752431,24876250000000,24877000000000,1,1,1,1,24876000000000,24877250000000,1,2,1,2,24875750000000,24877500000000,3,3,3,3,24875500000000,24877750000000,1,3,1,3,24875250000000,24878000000000,2,5,2,5,24875000000000,24878250000000,3,3,3,3,24874750000000,24878500000000,2,1,2,1,24874500000000,24878750000000,1,3,1,3,24874250000000,24879000000000,3,2,3,2,24874000000000,24879250000000,4,1,4,1,NQ.c.0
2026-02-18 13:06:00+00:00,1771420019806767482,10,1,42002475,C,A,0,24877750000000,1,128,11178,175778372,24877000000000,24878000000000,2,2,1,2,24876750000000,24878250000000,2,3,2,3,24876250000000,24878500000000,1,1,1,1,24876000000000,24878750000000,4,1,4,1,24875750000000,24879000000000,2,1,2,1,24875500000000,24879250000000,2,1,2,1,24875250000000,24879500000000,4,3,4,3,24875000000000,24879750000000,2,4,2,4,24874750000000,24880000000000,4,6,4,6,24874500000000,24880250000000,3,2,3,2,NQ.c.0
2026-02-18 13:07:00+00:00,1771420079847458312,10,1,42002475,A,B,2,24887250000000,1,128,13036,175808358,24887750000000,24888500000000,1,1,1,1,24887500000000,24888750000000,1,1,1,1,24887250000000,24889000000000,2,2,2,2,24887000000000,24889250000000,3,1,3,1,24886750000000,24889500000000,3,2,3,2,24886500000000,24889750000000,2,4,2,4,24886250000000,24890000000000,3,5,3,5,24886000000000,24890250000000,3,4,3,4,24885750000000,24890500000000,3,3,3,3,24885500000000,24890750000000,3,3,3,3,NQ.c.0
2026-02-18 13:08:00+00:00,1771420139896589995,10,1,42002475,A,A,5,24888250000000,1,128,12761,175827980,24886000000000,24887000000000,1,1,1,1,24885750000000,24887250000000,4,1,4,1,24885500000000,24887500000000,8,3,5,3,24885250000000,24887750000000,3,1,3,1,24885000000000,24888000000000,8,2,4,2,24884750000000,24888250000000,4,2,4,2,24884500000000,24888500000000,4,3,4,3,24884250000000,24888750000000,3,3,3,3,24884000000000,24889000000000,7,3,5,3,24883750000000,24889250000000,4,4,4,4,NQ.c.0
2026-02-18 13:09:00+00:00,1771420199843086258,10,1,42002475,A,B,6,24881500000000,1,128,12699,175847194,24883000000000,24883750000000,1,1,1,1,24882750000000,24884000000000,2,2,2,2,24882500000000,24884250000000,1,2,1,2,24882250000000,24884500000000,3,1,3,1,24882000000000,24884750000000,4,1,4,1,24881750000000,24885000000000,2,1,2,1,24881500000000,24885250000000,4,3,3,3,24881250000000,24885500000000,4,4,4,4,24881000000000,24885750000000,6,5,4,5,24880750000000,24886000000000,3,4,3,4,NQ.c.0
2026-02-18 13:10:00+00:00,1771420259921165370,10,1,42002475,M,A,4,24973250000000,1,128,14237,175879575,24896250000000,24897250000000,2,1,2,1,24896000000000,24897500000000,1,1,1,1,24895750000000,24897750000000,2,3,2,3,24895500000000,24898000000000,2,2,2,2,24895250000000,24898250000000,2,4,2,4,24895000000000,24898500000000,4,2,4,2,24894750000000,24898750000000,3,3,3,3,24894500000000,24899000000000,3,3,3,3,24894250000000,24899250000000,5,4,5,4,24894000000000,24899500000000,5,4,5,4,NQ.c.0
2026-02-18 13:11:00+00:00,1771420319996587098,10,1,42002475,C,A,5,24898750000000,1,128,13353,175908809,24896500000000,24897500000000,1,1,1,1,24896250000000,24897750000000,2,3,2,3,24896000000000,24898000000000,3,2,3,2,24895750000000,24898250000000,1,2,1,2,24895500000000,24898500000000,4,5,4,5,24895250000000,24898750000000,3,2,3,2,24895000000000,24899000000000,3,5,3,5,24894750000000,24899250000000,3,4,3,4,24894500000000,24899500000000,3,5,3,5,24894250000000,24899750000000,3,4,3,4,NQ.c.0
2026-02-18 13:12:00+00:00,1771420379598390821,10,1,42002475,C,A,0,24891750000000,1,128,12703,175929608,24891000000000,24892000000000,1,1,1,1,24890750000000,24892250000000,2,3,2,3,24890500000000,24892500000000,3,4,3,4,24890250000000,24892750000000,4,5,4,5,24890000000000,24893000000000,4,4,4,4,24889750000000,24893250000000,4,5,4,5,24889500000000,24893500000000,3,1,3,1,24889250000000,24893750000000,3,3,3,3,24889000000000,24894000000000,4,3,4,3,24888750000000,24894250000000,3,3,3,3,NQ.c.0
2026-02-18 13:13:00+00:00,1771420438850272848,10,1,42002475,A,A,0,24895500000000,1,128,13126,175949140,24894750000000,24895500000000,1,1,1,1,24894500000000,24895750000000,1,2,1,2,24894250000000,24896000000000,3,4,3,4,24894000000000,24896250000000,5,2,5,2,24893750000000,24896500000000,2,3,2,3,24893500000000,24896750000000,3,4,3,4,24893250000000,24897000000000,2,4,2,4,24893000000000,24897250000000,4,5,4,5,24892750000000,24897500000000,3,4,3,4,24892500000000,24897750000000,3,5,3,5,NQ.c.0
2026-02-18 13:14:00+00:00,1771420499994244038,10,1,42002475,M,B,3,24813250000000,1,128,13025,175973122,24889250000000,24890250000000,2,1,2,1,24889000000000,24890500000000,2,3,2,3,24888750000000,24890750000000,3,2,3,2,24888500000000,24891000000000,3,2,3,2,24888250000000,24891250000000,7,3,3,3,24888000000000,24891500000000,7,3,7,3,24887750000000,24891750000000,3,3,3,3,24887500000000,24892000000000,3,5,3,5,24887250000000,24892250000000,3,5,3,5,24887000000000,24892500000000,3,4,3,4,NQ.c.0
2026-02-18 13:15:00+00:00,1771420559903344950,10,1,42002475,A,A,2,24891000000000,1,128,13323,176002160,24889750000000,24890500000000,1,1,1,1,24889500000000,24890750000000,2,1,2,1,24889250000000,24891000000000,4,4,4,4,24889000000000,24891250000000,3,3,3,3,24888750000000,24891500000000,3,3,3,3,24888500000000,24891750000000,4,3,4,3,24888250000000,24892000000000,6,4,2,4,24888000000000,24892250000000,6,5,6,5,24887750000000,24892500000000,3,5,3,5,24887500000000,24892750000000,3,4,3,4,NQ.c.0
