ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-08 12:00:00+00:00,1778241659910788654,10,1,42004058,C,B,0,28893000000000,1,128,12477,383276747,28893000000000,28894000000000,1,2,1,2,28892750000000,28894250000000,4,3,4,3,28892500000000,28894500000000,2,3,2,3,28892250000000,28894750000000,2,3,2,3,28892000000000,28895000000000,3,3,3,3,28891750000000,28895250000000,3,3,3,3,28891500000000,28895750000000,2,2,2,2,28891250000000,28896000000000,2,3,2,3,28891000000000,28896250000000,2,3,2,3,28890750000000,28896500000000,2,4,2,4,NQ.c.0
2026-05-08 12:01:00+00:00,1778241719979959723,10,1,42004058,C,B,0,28897750000000,1,128,10838,383299702,28897750000000,28898500000000,1,1,1,1,28897500000000,28898750000000,3,4,3,4,28897250000000,28899000000000,3,4,3,4,28897000000000,28899250000000,5,2,4,2,28896750000000,28899500000000,3,2,3,2,28896500000000,28899750000000,2,4,2,4,28896250000000,28900000000000,3,3,3,3,28896000000000,28900250000000,4,2,4,2,28895500000000,28900500000000,4,4,4,4,28895250000000,28900750000000,3,1,3,1,NQ.c.0
2026-05-08 12:02:00+00:00,1778241779940364345,10,1,42004058,A,A,0,28898500000000,1,128,13542,383315338,28897500000000,28898500000000,1,2,1,2,28897250000000,28898750000000,2,3,2,3,28897000000000,28899000000000,3,3,3,3,28896750000000,28899250000000,1,1,1,1,28896500000000,28899500000000,1,1,1,1,28896250000000,28899750000000,3,1,3,1,28896000000000,28900000000000,4,3,4,3,28895500000000,28900250000000,4,3,4,3,28895250000000,28900500000000,3,5,3,5,28895000000000,28900750000000,3,5,3,5,NQ.c.0
2026-05-08 12:03:00+00:00,1778241839993175563,10,1,42004058,A,B,0,28900750000000,1,128,11782,383338942,28900750000000,28901750000000,2,1,2,1,28900500000000,28902000000000,3,3,3,3,28900250000000,28902250000000,3,2,3,2,28900000000000,28902750000000,2,3,2,3,28899750000000,28903000000000,2,3,2,3,28899500000000,28903250000000,3,3,3,3,28899250000000,28903500000000,2,2,2,2,28899000000000,28903750000000,3,4,3,4,28898750000000,28904000000000,4,2,4,2,28898500000000,28904250000000,3,5,3,4,NQ.c.0
2026-05-08 12:04:00+00:00,1778241899052426203,10,1,42004058,C,A,1,28894000000000,1,128,12559,383358393,28893000000000,28893750000000,2,1,2,1,28892750000000,28894000000000,3,5,3,5,28892500000000,28894250000000,3,5,3,5,28892250000000,28894500000000,3,3,3,3,28892000000000,28894750000000,7,3,7,3,28891750000000,28895000000000,1,3,1,3,28891500000000,28895250000000,2,4,2,4,28891250000000,28895500000000,3,3,3,3,28891000000000,28896000000000,3,3,3,3,28890750000000,28896250000000,2,2,2,2,NQ.c.0
2026-05-08 12:05:00+00:00,1778241959911110432,10,1,42004058,A,A,2,28893000000000,1,128,13149,383376537,28891750000000,28892500000000,1,3,1,3,28891500000000,28892750000000,3,3,3,3,28891250000000,28893000000000,3,3,3,3,28891000000000,28893250000000,2,2,2,2,28890750000000,28893500000000,3,2,3,2,28890500000000,28893750000000,3,3,3,3,28890250000000,28894000000000,4,5,4,4,28890000000000,28894250000000,4,3,4,3,28889750000000,28894500000000,3,3,3,3,28889500000000,28894750000000,6,2,6,2,NQ.c.0
2026-05-08 12:06:00+00:00,1778242019935017247,10,1,42004058,C,A,1,28895500000000,1,128,10972,383399040,28894500000000,28895250000000,1,1,1,1,28894250000000,28895500000000,3,2,3,2,28894000000000,28895750000000,2,2,2,2,28893750000000,28896000000000,4,3,4,3,28893500000000,28896250000000,2,3,2,3,28893250000000,28896500000000,2,1,2,1,28893000000000,28896750000000,4,4,4,4,28892750000000,28897250000000,5,2,5,2,28892500000000,28897500000000,4,2,4,2,28892250000000,28897750000000,3,3,3,3,NQ.c.0
2026-05-08 12:07:00+00:00,1778242079935090902,10,1,42004058,A,A,0,28898750000000,1,128,12476,383416690,28897750000000,28898750000000,1,3,1,3,28897500000000,28899000000000,1,4,1,4,28897250000000,28899250000000,5,5,4,3,28897000000000,28899500000000,2,2,2,2,28896750000000,28899750000000,4,4,4,4,28896500000000,28900000000000,3,3,3,3,28896250000000,28900250000000,4,3,4,3,28896000000000,28900500000000,7,3,7,3,28895750000000,28900750000000,2,2,2,2,28895500000000,28901000000000,3,3,3,3,NQ.c.0
2026-05-08 12:08:00+00:00,1778242139911196748,10,1,42004058,C,A,0,28895000000000,1,128,11238,383432720,28894500000000,28895250000000,1,1,1,1,28894250000000,28895500000000,3,2,3,2,28894000000000,28895750000000,3,2,3,2,28893750000000,28896000000000,3,3,3,3,28893500000000,28896250000000,4,3,4,3,28893250000000,28896500000000,4,2,4,2,28893000000000,28896750000000,2,2,2,2,28892750000000,28897250000000,4,4,4,4,28892500000000,28897500000000,4,5,4,5,28892250000000,28897750000000,3,3,3,3,NQ.c.0
2026-05-08 12:09:00+00:00,1778242199661324641,10,1,42004058,M,A,4,28972750000000,1,128,12283,383448163,28895750000000,28896500000000,1,1,1,1,28895500000000,28896750000000,4,3,4,3,28895250000000,28897000000000,4,3,4,3,28895000000000,28897250000000,4,1,4,1,28894750000000,28897500000000,3,2,3,2,28894500000000,28897750000000,4,3,4,3,28894250000000,28898000000000,2,4,2,4,28894000000000,28898250000000,3,3,3,3,28893750000000,28898500000000,4,4,4,4,28893500000000,28898750000000,4,3,4,3,NQ.c.0
