ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-02 12:00:00+00:00,1780401659973811675,10,1,42004058,M,B,2,30456500000000,1,128,12694,106640260,30532750000000,30533750000000,1,2,1,2,30532500000000,30534000000000,3,3,3,3,30532250000000,30534250000000,4,3,4,3,30532000000000,30534500000000,4,1,4,1,30531750000000,30534750000000,2,3,2,3,30531500000000,30535000000000,2,3,2,3,30531250000000,30535250000000,3,4,3,4,30531000000000,30535500000000,3,4,3,4,30530750000000,30535750000000,3,3,3,3,30530500000000,30536000000000,2,4,2,4,NQ.c.0
2026-06-02 12:01:00+00:00,1780401719931705215,10,1,42004058,M,A,1,30533250000000,1,128,13056,106665644,30532000000000,30533000000000,1,3,1,3,30531750000000,30533250000000,1,6,1,6,30531500000000,30533500000000,2,2,2,2,30531250000000,30534000000000,2,10,2,1,30531000000000,30534250000000,2,1,2,1,30530750000000,30534500000000,4,1,4,1,30530500000000,30534750000000,4,3,4,3,30530250000000,30535000000000,3,4,3,4,30530000000000,30535250000000,8,3,4,3,30529750000000,30535500000000,6,4,5,4,NQ.c.0
2026-06-02 12:02:00+00:00,1780401779957195404,10,1,42004058,C,A,0,30531500000000,1,128,15870,106686081,30530750000000,30531500000000,3,2,2,2,30530500000000,30531750000000,3,2,3,2,30530250000000,30532000000000,3,2,3,2,30530000000000,30532250000000,9,1,5,1,30529750000000,30532500000000,4,1,4,1,30529500000000,30532750000000,25,3,2,3,30529250000000,30533000000000,3,1,3,1,30529000000000,30533250000000,3,2,3,2,30528750000000,30533500000000,2,5,2,5,30528500000000,30533750000000,4,6,4,6,NQ.c.0
2026-06-02 12:03:00+00:00,1780401839986598403,10,1,42004058,C,B,0,30537500000000,1,128,11431,106705370,30537500000000,30538250000000,2,1,2,1,30537250000000,30538500000000,3,1,3,1,30537000000000,30538750000000,2,3,2,3,30536500000000,30539000000000,4,3,4,2,30536250000000,30539500000000,2,2,2,2,30536000000000,30539750000000,4,6,4,6,30535750000000,30540000000000,3,8,3,7,30535500000000,30540250000000,2,2,2,2,30535250000000,30540500000000,3,5,3,5,30535000000000,30540750000000,2,3,2,3,NQ.c.0
2026-06-02 12:04:00+00:00,1780401899777108681,10,1,42004058,A,B,5,30538250000000,1,128,11322,106721354,30539500000000,30540250000000,1,2,1,2,30539250000000,30540500000000,2,2,2,2,30539000000000,30540750000000,3,3,3,3,30538750000000,30541000000000,2,1,2,1,30538500000000,30541250000000,3,2,3,2,30538250000000,30541500000000,2,1,2,1,30538000000000,30541750000000,2,3,2,3,30537750000000,30542000000000,1,7,1,5,30537500000000,30542250000000,1,4,1,4,30537250000000,30542500000000,3,3,3,3,NQ.c.0
2026-06-02 12:05:00+00:00,1780401959998931481,10,1,42004058,A,A,0,30535000000000,1,128,11250,106749463,30534250000000,30535000000000,1,1,1,1,30534000000000,30535250000000,4,2,3,2,30533750000000,30535500000000,5,3,4,3,30533500000000,30535750000000,2,1,2,1,30533000000000,30536000000000,5,4,5,4,30532750000000,30536250000000,3,4,3,4,30532500000000,30536750000000,4,2,4,2,30532250000000,30537000000000,5,1,5,1,30532000000000,30537250000000,5,3,5,3,30531750000000,30537500000000,2,1,2,1,NQ.c.0
2026-06-02 12:06:00+00:00,1780402019969307999,10,1,42004058,C,A,0,30534750000000,1,128,12854,106781138,30534000000000,30534750000000,1,1,1,1,30533750000000,30535000000000,2,3,2,3,30533500000000,30535250000000,2,2,2,2,30533250000000,30535500000000,1,4,1,4,30533000000000,30535750000000,2,4,2,4,30532750000000,30536000000000,2,5,2,5,30532500000000,30536250000000,2,4,2,4,30532250000000,30536500000000,3,4,3,4,30532000000000,30536750000000,5,5,5,5,30531750000000,30537000000000,4,5,4,5,NQ.c.0
2026-06-02 12:07:00+00:00,1780402077357844596,10,1,42004058,C,A,1,30534000000000,1,128,13823,106799602,30533000000000,30533750000000,1,1,1,1,30532750000000,30534000000000,4,1,4,1,30532500000000,30534500000000,3,1,3,1,30532250000000,30534750000000,4,3,4,3,30532000000000,30535000000000,8,1,8,1,30531750000000,30535250000000,8,3,8,3,30531500000000,30535500000000,6,1,6,1,30531250000000,30535750000000,4,2,4,2,30530750000000,30536000000000,4,4,4,4,30530500000000,30536250000000,3,4,3,4,NQ.c.0
2026-06-02 12:08:00+00:00,1780402139835041159,10,1,42004058,A,B,0,30540250000000,1,128,12849,106820163,30540250000000,30541000000000,2,1,2,1,30540000000000,30541500000000,3,3,3,3,30539750000000,30541750000000,5,3,5,3,30539500000000,30542000000000,2,2,2,2,30539250000000,30542250000000,3,2,3,2,30539000000000,30542500000000,4,4,4,4,30538500000000,30542750000000,3,3,3,3,30538250000000,30543000000000,3,4,3,4,30538000000000,30543250000000,3,2,3,2,30537750000000,30543500000000,1,3,1,3,NQ.c.0
2026-06-02 12:09:00+00:00,1780402199584280915,10,1,42004058,C,B,0,30540500000000,1,128,12635,106841222,30540250000000,30541250000000,3,1,3,1,30540000000000,30541500000000,4,2,4,2,30539750000000,30541750000000,2,3,2,3,30539250000000,30542000000000,2,2,2,2,30539000000000,30542250000000,3,2,3,2,30538500000000,30542500000000,1,1,1,1,30538250000000,30542750000000,2,3,2,3,30538000000000,30543000000000,4,3,4,3,30537500000000,30543250000000,2,2,2,2,30537250000000,30543500000000,2,3,2,3,NQ.c.0
2026-06-02 12:10:00+00:00,1780402259990398869,10,1,42004058,A,B,1,30538500000000,1,128,12665,106860597,30538750000000,30539750000000,3,2,3,2,30538500000000,30540000000000,3,3,3,3,30538250000000,30540250000000,2,3,2,3,30538000000000,30540500000000,3,3,3,3,30537500000000,30540750000000,3,2,3,2,30537250000000,30541000000000,3,3,3,3,30537000000000,30541250000000,2,3,2,3,30536500000000,30541750000000,3,2,3,2,30536250000000,30542250000000,4,3,4,3,30536000000000,30542500000000,7,2,7,2,NQ.c.0
2026-06-02 12:11:00+00:00,1780402319931493918,10,1,42004058,M,B,2,30456250000000,1,128,12572,106883662,30532250000000,30533000000000,1,1,1,1,30532000000000,30533250000000,2,2,2,2,30531750000000,30533500000000,3,2,3,2,30531500000000,30533750000000,3,2,3,2,30531250000000,30534250000000,4,1,4,1,30531000000000,30534500000000,3,3,3,3,30530750000000,30534750000000,1,2,1,2,30530500000000,30535000000000,4,3,4,3,30530250000000,30535250000000,4,4,4,4,30530000000000,30535500000000,5,2,5,2,NQ.c.0
