ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-16 12:00:00+00:00,1776340859746557430,10,1,42004058,A,B,1,26416750000000,1,128,14282,209492588,26417000000000,26417750000000,1,1,1,1,26416750000000,26418000000000,2,3,2,3,26416500000000,26418250000000,4,2,4,2,26416250000000,26418500000000,1,4,1,3,26416000000000,26418750000000,5,5,5,4,26415750000000,26419000000000,4,5,3,4,26415500000000,26419250000000,4,2,3,2,26415250000000,26419500000000,3,5,2,4,26415000000000,26419750000000,7,4,6,4,26414750000000,26420000000000,2,7,2,6,NQ.c.0
2026-04-16 12:01:00+00:00,1776340919860839919,10,1,42004058,A,A,4,26427500000000,1,128,13585,209514293,26425750000000,26426500000000,2,1,2,1,26425500000000,26426750000000,5,2,4,2,26425250000000,26427000000000,3,4,3,4,26425000000000,26427250000000,4,3,3,3,26424750000000,26427500000000,4,4,3,4,26424500000000,26427750000000,5,6,5,6,26424250000000,26428000000000,4,5,3,4,26424000000000,26428250000000,5,3,4,2,26423750000000,26428500000000,6,4,5,3,26423500000000,26428750000000,3,4,3,3,NQ.c.0
2026-04-16 12:02:00+00:00,1776340979961066539,10,1,42004058,M,B,0,26426000000000,1,128,12897,209541028,26426000000000,26426750000000,3,1,3,1,26425750000000,26427000000000,4,1,3,1,26425500000000,26427250000000,4,2,3,2,26425250000000,26427500000000,4,3,3,3,26425000000000,26427750000000,7,2,6,2,26424750000000,26428000000000,4,6,3,5,26424500000000,26428250000000,3,8,2,7,26424250000000,26428500000000,2,4,2,3,26424000000000,26428750000000,4,4,3,4,26423750000000,26429000000000,6,3,5,2,NQ.c.0
2026-04-16 12:03:00+00:00,1776341039806095511,10,1,42004058,A,B,0,26425000000000,1,128,13298,209564514,26425000000000,26425750000000,1,2,1,2,26424750000000,26426000000000,3,4,3,4,26424500000000,26426250000000,3,5,3,4,26424250000000,26426500000000,3,5,2,4,26424000000000,26426750000000,5,3,4,3,26423750000000,26427000000000,5,1,5,1,26423500000000,26427250000000,5,5,4,5,26423250000000,26427500000000,4,2,3,2,26423000000000,26427750000000,3,4,3,3,26422750000000,26428000000000,3,5,2,4,NQ.c.0
2026-04-16 12:04:00+00:00,1776341099803816835,10,1,42004058,M,B,1,26423750000000,1,128,12487,209586915,26424000000000,26424750000000,2,2,2,2,26423750000000,26425000000000,6,3,3,3,26423500000000,26425250000000,1,3,1,3,26423250000000,26425500000000,2,4,2,4,26423000000000,26425750000000,6,3,5,3,26422750000000,26426000000000,3,4,2,4,26422500000000,26426250000000,6,4,5,4,26422250000000,26426500000000,6,5,5,5,26422000000000,26426750000000,4,6,4,5,26421750000000,26427000000000,5,5,4,4,NQ.c.0
2026-04-16 12:05:00+00:00,1776341159922692107,10,1,42004058,A,B,2,26424000000000,1,128,12284,209602026,26424500000000,26425250000000,1,1,1,1,26424250000000,26425500000000,2,2,2,2,26424000000000,26425750000000,5,1,5,1,26423750000000,26426000000000,4,5,4,4,26423500000000,26426250000000,3,6,2,5,26423250000000,26426500000000,4,3,3,2,26423000000000,26426750000000,5,3,4,2,26422750000000,26427000000000,4,4,3,3,26422500000000,26427250000000,6,3,5,3,26422250000000,26427500000000,6,4,5,3,NQ.c.0
2026-04-16 12:06:00+00:00,1776341219514516286,10,1,42004058,C,A,2,26418750000000,1,128,15136,209630593,26417500000000,26418250000000,1,1,1,1,26417250000000,26418500000000,3,2,3,2,26417000000000,26418750000000,4,2,3,2,26416750000000,26419000000000,6,2,5,2,26416500000000,26419250000000,4,3,3,3,26416250000000,26419500000000,4,3,3,3,26416000000000,26419750000000,8,4,7,4,26415750000000,26420000000000,6,5,5,5,26415500000000,26420250000000,2,4,2,3,26415250000000,26420500000000,2,4,2,3,NQ.c.0
2026-04-16 12:07:00+00:00,1776341279761795450,10,1,42004058,A,B,0,26408000000000,1,128,11139,209676899,26408000000000,26408750000000,2,1,2,1,26407750000000,26409000000000,1,3,1,3,26407500000000,26409250000000,5,1,4,1,26407250000000,26409500000000,4,1,3,1,26407000000000,26409750000000,4,3,3,3,26406750000000,26410000000000,5,1,4,1,26406500000000,26410250000000,4,4,3,4,26406250000000,26410500000000,4,5,3,4,26406000000000,26410750000000,5,4,4,3,26405750000000,26411250000000,1,5,1,4,NQ.c.0
2026-04-16 12:08:00+00:00,1776341339756272281,10,1,42004058,C,A,0,26418000000000,1,128,11198,209707033,26417250000000,26418000000000,2,1,1,1,26416750000000,26418250000000,2,2,2,2,26416500000000,26418500000000,2,4,2,3,26416250000000,26418750000000,1,3,1,2,26416000000000,26419000000000,5,5,4,4,26415750000000,26419250000000,4,5,4,4,26415500000000,26419500000000,4,4,4,3,26415250000000,26419750000000,3,1,3,1,26415000000000,26420000000000,4,5,4,5,26414750000000,26420500000000,7,8,7,5,NQ.c.0
2026-04-16 12:09:00+00:00,1776341399564301276,10,1,42004058,A,B,0,26420000000000,1,128,13726,209724291,26420000000000,26420750000000,2,3,2,2,26419750000000,26421000000000,2,1,2,1,26419500000000,26421250000000,3,2,3,2,26419250000000,26421500000000,2,3,2,2,26419000000000,26421750000000,2,4,2,3,26418750000000,26422000000000,3,12,3,7,26418500000000,26422250000000,4,5,3,4,26418250000000,26422500000000,3,2,3,2,26418000000000,26422750000000,4,2,4,2,26417750000000,26423000000000,4,1,3,1,NQ.c.0
