ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-14 12:00:00+00:00,1778760059382345881,10,1,42004058,C,A,0,29546750000000,1,128,11717,303229480,29545750000000,29546750000000,2,1,2,1,29545500000000,29547000000000,3,1,3,1,29545250000000,29547250000000,3,3,3,3,29545000000000,29547500000000,4,3,4,3,29544750000000,29547750000000,2,3,2,3,29544500000000,29548000000000,4,4,4,4,29544250000000,29548250000000,1,4,1,4,29544000000000,29548500000000,3,3,3,3,29543750000000,29548750000000,3,3,3,3,29543500000000,29549000000000,3,5,3,5,NQ.c.0
2026-05-14 12:01:00+00:00,1778760119964521431,10,1,42004058,A,A,3,29551000000000,1,128,12929,303266121,29549500000000,29550250000000,1,2,1,2,29549250000000,29550500000000,2,2,2,2,29549000000000,29550750000000,2,3,2,3,29548750000000,29551000000000,2,2,2,2,29548500000000,29551250000000,2,4,2,4,29548000000000,29551500000000,3,5,3,5,29547750000000,29551750000000,1,5,1,5,29547500000000,29552000000000,3,7,3,7,29547000000000,29552250000000,1,4,1,4,29546750000000,29552500000000,1,3,1,3,NQ.c.0
2026-05-14 12:02:00+00:00,1778760179964520104,10,1,42004058,A,A,6,29550500000000,1,128,15328,303287397,29548000000000,29549000000000,2,1,2,1,29547750000000,29549250000000,3,2,3,2,29547500000000,29549500000000,3,3,3,3,29547250000000,29549750000000,3,2,3,2,29547000000000,29550000000000,5,2,5,2,29546750000000,29550250000000,3,2,3,2,29546250000000,29550500000000,3,2,3,2,29546000000000,29550750000000,3,1,3,1,29545750000000,29551000000000,3,2,3,2,29545500000000,29551250000000,3,2,3,2,NQ.c.0
2026-05-14 12:03:00+00:00,1778760239818792969,10,1,42004058,C,B,0,29548750000000,1,128,11337,303317696,29548500000000,29549500000000,2,1,2,1,29548250000000,29549750000000,1,2,1,2,29548000000000,29550000000000,2,3,2,3,29547750000000,29550250000000,3,3,3,3,29547500000000,29550500000000,2,2,2,2,29547250000000,29550750000000,3,4,3,4,29547000000000,29551000000000,4,3,4,3,29546750000000,29551250000000,4,3,4,3,29546500000000,29551500000000,3,3,3,3,29546250000000,29551750000000,3,4,3,4,NQ.c.0
2026-05-14 12:04:00+00:00,1778760299823398347,10,1,42004058,A,B,0,29552500000000,1,128,10024,303339180,29552500000000,29553500000000,2,1,2,1,29552000000000,29553750000000,3,3,3,3,29551750000000,29554000000000,1,2,1,2,29551500000000,29554250000000,3,3,3,3,29551250000000,29554500000000,2,2,2,2,29551000000000,29554750000000,2,4,2,4,29550750000000,29555000000000,2,4,2,4,29550500000000,29555250000000,2,3,2,3,29550250000000,29555500000000,2,3,2,3,29549750000000,29555750000000,2,3,2,3,NQ.c.0
2026-05-14 12:05:00+00:00,1778760359981890575,10,1,42004058,A,B,0,29556500000000,1,128,12979,303361801,29556500000000,29557250000000,3,1,3,1,29556250000000,29557500000000,3,1,3,1,29556000000000,29557750000000,3,4,3,4,29555750000000,29558000000000,4,5,4,5,29555500000000,29558250000000,3,5,3,5,29555250000000,29558500000000,4,2,4,2,29555000000000,29558750000000,2,3,2,3,29554500000000,29559000000000,3,3,3,3,29554250000000,29559250000000,3,1,3,1,29554000000000,29559500000000,3,2,3,2,NQ.c.0
2026-05-14 12:06:00+00:00,1778760419953912239,10,1,42004058,C,A,3,29561500000000,1,128,12795,303393706,29560000000000,29560750000000,1,1,1,1,29559750000000,29561000000000,2,1,2,1,29559500000000,29561250000000,1,3,1,3,29559250000000,29561750000000,4,2,2,2,29559000000000,29562000000000,3,3,3,3,29558750000000,29562250000000,3,4,3,4,29558500000000,29562500000000,3,3,3,3,29558250000000,29562750000000,3,2,3,2,29558000000000,29563000000000,4,3,4,3,29557750000000,29563250000000,3,5,3,5,NQ.c.0
2026-05-14 12:07:00+00:00,1778760479973311631,10,1,42004058,M,A,5,29558250000000,1,128,12210,303417311,29556250000000,29557000000000,2,1,2,1,29556000000000,29557250000000,2,2,2,2,29555750000000,29557500000000,3,3,3,3,29555500000000,29557750000000,2,2,2,2,29555250000000,29558000000000,5,2,5,2,29554750000000,29558250000000,4,5,4,5,29554500000000,29558500000000,10,3,3,3,29554250000000,29558750000000,1,4,1,4,29554000000000,29559000000000,5,4,4,4,29553500000000,29559250000000,1,4,1,4,NQ.c.0
2026-05-14 12:08:00+00:00,1778760539864512466,10,1,42004058,C,A,1,29562750000000,1,128,14767,303438545,29561250000000,29562500000000,3,2,3,2,29561000000000,29562750000000,3,3,3,3,29560750000000,29563000000000,3,3,3,3,29560500000000,29563250000000,3,4,3,4,29560250000000,29563500000000,2,4,2,4,29560000000000,29563750000000,3,4,3,4,29559750000000,29564000000000,1,8,1,8,29559500000000,29564250000000,2,4,2,4,29559250000000,29564500000000,3,4,3,4,29559000000000,29564750000000,3,4,3,4,NQ.c.0
2026-05-14 12:09:00+00:00,1778760599964859870,10,1,42004058,A,B,0,29560000000000,1,128,10892,303457027,29560000000000,29560750000000,2,1,2,1,29559750000000,29561000000000,2,2,2,2,29559500000000,29561250000000,2,2,2,2,29559250000000,29561500000000,2,4,2,4,29559000000000,29561750000000,4,2,4,2,29558750000000,29562000000000,3,4,3,4,29558500000000,29562250000000,2,5,2,5,29558250000000,29562500000000,3,4,3,4,29558000000000,29562750000000,3,3,3,3,29557750000000,29563000000000,4,14,4,6,NQ.c.0
