ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-30 12:00:00+00:00,1774872059976967728,10,1,42004058,A,B,0,23446750000000,1,128,20516,27343199,23446750000000,23447750000000,1,1,1,1,23446500000000,23448000000000,1,3,1,3,23446250000000,23448250000000,1,2,1,2,23446000000000,23448500000000,3,2,3,2,23445750000000,23448750000000,1,3,1,3,23445500000000,23449000000000,3,4,3,4,23445250000000,23449500000000,2,4,2,4,23445000000000,23449750000000,3,3,3,3,23444750000000,23450000000000,3,3,3,3,23444500000000,23450250000000,2,3,2,3,NQ.c.0
2026-03-30 12:01:00+00:00,1774872119996590491,10,1,42004058,C,A,0,23449000000000,1,128,11194,27389106,23448000000000,23449250000000,2,2,1,1,23447500000000,23449500000000,3,5,3,5,23447250000000,23450000000000,2,1,2,1,23447000000000,23450250000000,3,3,3,3,23446750000000,23450500000000,3,6,3,6,23446500000000,23450750000000,3,3,3,3,23446250000000,23451000000000,2,4,2,4,23446000000000,23451250000000,5,3,4,3,23445750000000,23451500000000,2,3,2,3,23445500000000,23451750000000,4,3,4,3,NQ.c.0
2026-03-30 12:02:00+00:00,1774872179950504292,10,1,42004058,A,A,5,23451250000000,1,128,12620,27436258,23448750000000,23449750000000,1,1,1,1,23448500000000,23450000000000,3,4,3,4,23448250000000,23450500000000,3,3,3,3,23448000000000,23450750000000,4,4,4,4,23447750000000,23451000000000,2,5,2,5,23447000000000,23451250000000,1,4,1,4,23446750000000,23451500000000,2,3,2,3,23446500000000,23451750000000,3,2,3,2,23446250000000,23452000000000,2,4,2,4,23446000000000,23452250000000,3,2,3,2,NQ.c.0
2026-03-30 12:03:00+00:00,1774872239989834287,10,1,42004058,M,B,0,23439750000000,1,128,18499,27468374,23439750000000,23440750000000,3,1,3,1,23439500000000,23441000000000,4,4,4,4,23439250000000,23441250000000,2,3,2,3,23439000000000,23441500000000,4,3,4,3,23438750000000,23441750000000,5,2,5,2,23438500000000,23442000000000,4,5,4,5,23438250000000,23442250000000,4,4,4,4,23438000000000,23442500000000,8,3,8,3,23437750000000,23442750000000,6,3,6,3,23437500000000,23443000000000,2,4,2,4,NQ.c.0
2026-03-30 12:04:00+00:00,1774872299775538780,10,1,42004058,C,A,0,23452750000000,1,128,12722,27501455,23451750000000,23453000000000,1,1,1,1,23451500000000,23453250000000,2,1,2,1,23451250000000,23453500000000,3,3,3,3,23451000000000,23453750000000,3,2,3,2,23450750000000,23454000000000,4,4,4,4,23450500000000,23454250000000,3,4,3,4,23450250000000,23454500000000,2,4,2,4,23450000000000,23454750000000,3,5,3,5,23449750000000,23455000000000,2,3,2,3,23449500000000,23455250000000,4,4,4,4,NQ.c.0
2026-03-30 12:05:00+00:00,1774872359889222689,10,1,42004058,M,A,0,23463000000000,1,128,12927,27547486,23462000000000,23463000000000,1,2,1,2,23461750000000,23463250000000,1,4,1,4,23461500000000,23463500000000,2,2,2,2,23461250000000,23464000000000,1,3,1,3,23461000000000,23464250000000,2,2,2,2,23460500000000,23464500000000,2,4,2,4,23460250000000,23465000000000,4,3,4,3,23460000000000,23465250000000,7,3,6,3,23459750000000,23465500000000,4,2,4,2,23459250000000,23465750000000,2,3,2,3,NQ.c.0
2026-03-30 12:06:00+00:00,1774872419986870878,10,1,42004058,A,B,0,23461750000000,1,128,11346,27581493,23461750000000,23462500000000,1,1,1,1,23461500000000,23462750000000,1,2,1,2,23461250000000,23463000000000,2,3,2,3,23461000000000,23463250000000,3,1,3,1,23460750000000,23463500000000,3,2,3,2,23460500000000,23464000000000,3,3,3,3,23460250000000,23464250000000,4,4,4,4,23460000000000,23464500000000,7,3,6,3,23459750000000,23464750000000,3,3,3,3,23459500000000,23465000000000,3,15,3,6,NQ.c.0
2026-03-30 12:07:00+00:00,1774872479538406026,10,1,42004058,A,A,0,23462000000000,1,128,12674,27608381,23461250000000,23462000000000,1,1,1,1,23461000000000,23462250000000,2,1,2,1,23460750000000,23462500000000,3,3,3,3,23460500000000,23462750000000,3,3,3,3,23460000000000,23463000000000,5,4,4,4,23459750000000,23463250000000,3,3,3,3,23459500000000,23463500000000,2,3,2,3,23459250000000,23463750000000,2,3,2,3,23458750000000,23464000000000,2,4,2,4,23458500000000,23464250000000,1,5,1,5,NQ.c.0
2026-03-30 12:08:00+00:00,1774872539879188757,10,1,42004058,A,A,0,23459750000000,1,128,12951,27638410,23458750000000,23459750000000,1,1,1,1,23458500000000,23460000000000,1,2,1,2,23458250000000,23460250000000,3,2,3,2,23458000000000,23460500000000,2,3,2,3,23457750000000,23460750000000,3,2,3,2,23457500000000,23461000000000,3,3,3,3,23457250000000,23461250000000,3,3,3,3,23457000000000,23461500000000,2,2,2,2,23456750000000,23461750000000,3,4,3,4,23456500000000,23462000000000,3,4,3,4,NQ.c.0
2026-03-30 12:09:00+00:00,1774872599998968556,10,1,42004058,A,A,5,23458250000000,1,128,13001,27680555,23456000000000,23457000000000,1,1,1,1,23455750000000,23457250000000,3,3,3,3,23455500000000,23457500000000,5,3,5,3,23455250000000,23457750000000,4,2,4,2,23455000000000,23458000000000,6,2,6,2,23454750000000,23458250000000,2,3,2,3,23454500000000,23458500000000,4,2,4,2,23454250000000,23458750000000,3,1,3,1,23454000000000,23459000000000,2,3,2,3,23453750000000,23459250000000,2,2,2,2,NQ.c.0
2026-03-30 12:10:00+00:00,1774872659687097601,10,1,42004058,A,A,0,23467000000000,1,128,13487,27719656,23465750000000,23467000000000,1,2,1,2,23465500000000,23467250000000,2,4,2,4,23465250000000,23467500000000,2,2,2,2,23465000000000,23467750000000,2,1,2,1,23464750000000,23468000000000,2,4,2,4,23464500000000,23468250000000,3,3,3,3,23464250000000,23468500000000,3,4,3,4,23464000000000,23468750000000,5,2,5,2,23463750000000,23469000000000,2,5,2,5,23463500000000,23469250000000,3,3,3,3,NQ.c.0
2026-03-30 12:11:00+00:00,1774872719848937614,10,1,42004058,C,B,1,23458750000000,1,128,12464,27751674,23459000000000,23460250000000,1,2,1,2,23458750000000,23460500000000,1,2,1,2,23458500000000,23460750000000,6,2,6,2,23458250000000,23461000000000,2,4,2,4,23458000000000,23461250000000,4,4,4,4,23457750000000,23461500000000,3,2,3,2,23457500000000,23461750000000,3,4,3,4,23457250000000,23462000000000,3,3,3,3,23457000000000,23462250000000,3,3,3,3,23456750000000,23462500000000,3,1,3,1,NQ.c.0
2026-03-30 12:12:00+00:00,1774872779919940243,10,1,42004058,A,B,0,23463500000000,1,128,11001,27779893,23463500000000,23464500000000,1,1,1,1,23463250000000,23465000000000,1,2,1,2,23463000000000,23465750000000,2,2,2,2,23462750000000,23466000000000,3,2,3,2,23462500000000,23466250000000,2,3,2,3,23462250000000,23466500000000,2,3,2,3,23462000000000,23466750000000,2,3,2,3,23461750000000,23467000000000,3,2,3,2,23461500000000,23467250000000,5,3,5,3,23461250000000,23467500000000,3,2,3,2,NQ.c.0
2026-03-30 12:13:00+00:00,1774872839936909982,10,1,42004058,C,A,0,23470000000000,1,128,11332,27814078,23469250000000,23470250000000,1,1,1,1,23469000000000,23470500000000,3,3,3,3,23468750000000,23470750000000,3,3,3,3,23468500000000,23471000000000,3,4,3,4,23468250000000,23471250000000,2,2,2,2,23468000000000,23471500000000,5,3,5,3,23467750000000,23471750000000,3,4,3,4,23467500000000,23472000000000,2,3,2,3,23467250000000,23472250000000,3,4,3,4,23467000000000,23472500000000,2,3,2,3,NQ.c.0
2026-03-30 12:14:00+00:00,1774872899658471787,10,1,42004058,A,B,0,23465500000000,1,128,14591,27839558,23465500000000,23466500000000,1,2,1,2,23465250000000,23466750000000,1,1,1,1,23465000000000,23467000000000,3,2,3,2,23464750000000,23467250000000,2,3,2,3,23464500000000,23467500000000,3,3,3,3,23464250000000,23468000000000,4,3,4,3,23464000000000,23468250000000,4,3,4,3,23463750000000,23468500000000,3,3,3,3,23463500000000,23468750000000,2,4,2,4,23463250000000,23469000000000,3,4,3,4,NQ.c.0
