ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-26 12:00:00+00:00,1782475259726560889,10,1,42004177,A,B,0,29353000000000,1,128,10961,655213035,29353000000000,29354750000000,1,1,1,1,29352750000000,29355000000000,2,1,2,1,29352250000000,29355250000000,8,3,3,3,29352000000000,29355500000000,5,1,5,1,29351750000000,29355750000000,4,3,4,3,29351500000000,29356000000000,3,3,3,3,29351250000000,29356250000000,3,3,3,3,29350500000000,29356500000000,1,2,1,2,29350000000000,29356750000000,2,3,2,3,29349750000000,29357000000000,2,1,2,1,NQ.c.0
2026-06-26 12:01:00+00:00,1782475319990325879,10,1,42004177,A,B,0,29364500000000,1,128,10838,655256223,29364500000000,29365500000000,2,3,2,2,29364250000000,29365750000000,2,1,2,1,29364000000000,29366000000000,4,2,4,2,29363750000000,29366250000000,4,2,4,2,29363500000000,29366500000000,5,3,5,3,29363250000000,29366750000000,3,2,3,2,29363000000000,29367000000000,4,2,4,2,29362750000000,29367250000000,2,1,2,1,29362500000000,29367500000000,1,3,1,3,29362250000000,29367750000000,1,7,1,5,NQ.c.0
2026-06-26 12:02:00+00:00,1782475379969900446,10,1,42004177,C,B,0,29374000000000,1,128,11261,655312280,29374000000000,29375750000000,1,1,1,1,29373750000000,29376000000000,3,1,3,1,29373500000000,29376250000000,4,2,4,2,29373250000000,29376500000000,3,3,3,3,29373000000000,29376750000000,3,4,3,4,29372750000000,29377000000000,4,4,4,4,29372500000000,29377250000000,3,4,3,4,29372250000000,29377500000000,2,4,2,4,29372000000000,29377750000000,4,3,4,3,29371750000000,29378000000000,4,4,4,4,NQ.c.0
2026-06-26 12:03:00+00:00,1782475439993553686,10,1,42004177,A,B,1,29378750000000,1,128,13035,655354031,29379000000000,29381000000000,2,1,2,1,29378750000000,29381250000000,5,3,5,3,29378500000000,29381500000000,3,3,3,3,29378250000000,29381750000000,4,4,4,4,29378000000000,29382000000000,3,4,3,4,29377750000000,29382250000000,3,1,3,1,29377500000000,29382500000000,2,2,2,2,29377250000000,29383000000000,2,1,2,1,29377000000000,29383250000000,1,3,1,3,29376750000000,29383500000000,3,3,3,3,NQ.c.0
2026-06-26 12:04:00+00:00,1782475499854609958,10,1,42004177,A,B,3,29379500000000,1,128,13021,655387473,29380250000000,29381750000000,1,1,1,1,29380000000000,29382000000000,8,1,1,1,29379750000000,29382250000000,1,2,1,2,29379500000000,29382500000000,4,3,4,3,29379250000000,29382750000000,3,3,3,3,29379000000000,29383000000000,2,1,2,1,29378750000000,29383250000000,2,2,2,2,29378250000000,29383500000000,2,3,2,3,29378000000000,29383750000000,3,4,3,4,29377750000000,29384000000000,3,3,3,3,NQ.c.0
2026-06-26 12:05:00+00:00,1782475559995411572,10,1,42004177,C,B,0,29413500000000,1,128,10834,655467776,29413500000000,29415000000000,1,1,1,1,29413250000000,29415250000000,3,3,3,3,29413000000000,29415500000000,3,4,3,4,29412750000000,29415750000000,3,6,3,6,29412500000000,29416000000000,4,4,4,4,29412250000000,29416250000000,3,3,3,3,29412000000000,29416500000000,4,4,4,4,29411750000000,29416750000000,5,3,5,3,29411500000000,29417000000000,2,2,2,2,29411250000000,29417250000000,1,4,1,4,NQ.c.0
2026-06-26 12:06:00+00:00,1782475619999543377,10,1,42004177,C,A,0,29401750000000,1,128,12429,655522944,29400250000000,29402000000000,1,1,1,1,29400000000000,29402250000000,3,3,3,3,29399750000000,29402500000000,4,3,4,3,29399500000000,29402750000000,2,2,2,2,29399250000000,29403000000000,1,2,1,2,29399000000000,29403250000000,1,3,1,3,29398750000000,29403500000000,1,3,1,3,29398250000000,29403750000000,2,3,2,3,29398000000000,29404000000000,3,3,3,3,29397750000000,29404250000000,2,1,2,1,NQ.c.0
2026-06-26 12:07:00+00:00,1782475679930334794,10,1,42004177,C,B,6,29395500000000,1,128,15635,655561976,29397250000000,29399000000000,2,1,2,1,29397000000000,29399250000000,2,2,2,2,29396750000000,29399500000000,3,1,3,1,29396500000000,29399750000000,2,2,2,2,29396000000000,29400000000000,3,5,3,5,29395750000000,29400250000000,4,3,4,3,29395500000000,29400500000000,2,4,2,4,29395250000000,29401000000000,2,4,2,4,29395000000000,29401250000000,4,4,4,4,29394750000000,29401500000000,3,3,3,3,NQ.c.0
2026-06-26 12:08:00+00:00,1782475739919891006,10,1,42004177,A,A,2,29410250000000,1,128,13039,655604719,29408000000000,29409750000000,1,1,1,1,29407750000000,29410000000000,3,2,3,2,29407500000000,29410250000000,3,3,3,3,29407250000000,29410500000000,3,2,2,2,29406750000000,29411000000000,4,3,4,3,29406500000000,29411250000000,3,2,3,2,29406250000000,29411500000000,3,2,3,2,29406000000000,29411750000000,3,3,3,3,29405500000000,29412000000000,3,3,3,3,29405250000000,29412250000000,2,3,2,3,NQ.c.0
2026-06-26 12:09:00+00:00,1782475799850992011,10,1,42004177,A,B,1,29412250000000,1,128,13184,655662850,29412500000000,29414250000000,1,1,1,1,29412250000000,29414500000000,3,3,3,3,29412000000000,29414750000000,4,3,4,3,29411750000000,29415000000000,4,3,4,3,29411500000000,29415500000000,2,2,2,2,29411250000000,29415750000000,3,4,3,4,29411000000000,29416000000000,3,4,3,4,29410750000000,29416250000000,2,3,2,3,29410500000000,29416500000000,3,3,3,3,29410250000000,29416750000000,4,3,4,3,NQ.c.0
2026-06-26 12:10:00+00:00,1782475859931304105,10,1,42004177,M,A,1,29403750000000,1,128,13203,655704497,29401750000000,29403500000000,1,1,1,1,29401500000000,29403750000000,1,4,1,4,29401000000000,29404000000000,3,1,3,1,29400500000000,29404250000000,1,2,1,2,29400250000000,29404500000000,2,3,2,3,29400000000000,29404750000000,3,3,3,3,29399750000000,29405250000000,4,3,4,3,29399500000000,29405500000000,3,3,3,3,29399250000000,29406000000000,3,3,3,3,29399000000000,29406500000000,2,4,2,4,NQ.c.0
2026-06-26 12:11:00+00:00,1782475919996468920,10,1,42004177,M,A,2,29410000000000,1,128,12301,655740226,29407750000000,29409500000000,1,1,1,1,29407500000000,29409750000000,2,2,2,2,29407000000000,29410000000000,3,4,3,4,29406750000000,29410250000000,4,3,4,3,29406500000000,29410500000000,4,1,4,1,29406000000000,29410750000000,2,2,2,2,29405750000000,29411000000000,3,3,3,3,29405500000000,29411250000000,3,2,3,2,29405250000000,29411750000000,2,4,2,4,29405000000000,29412000000000,3,4,3,4,NQ.c.0
2026-06-26 12:12:00+00:00,1782475979958049742,10,1,42004177,M,B,1,29416000000000,1,128,12405,655787523,29416250000000,29418000000000,2,1,2,1,29416000000000,29418250000000,2,4,2,4,29415750000000,29418750000000,3,2,3,2,29415500000000,29419000000000,1,3,1,3,29415250000000,29419250000000,2,4,2,4,29415000000000,29419500000000,4,2,4,2,29414750000000,29419750000000,3,3,3,3,29414500000000,29420000000000,4,5,4,5,29414250000000,29420250000000,3,3,3,3,29414000000000,29420500000000,1,2,1,2,NQ.c.0
2026-06-26 12:13:00+00:00,1782476039809086983,10,1,42004177,A,B,0,29430750000000,1,128,11357,655845243,29430750000000,29432750000000,5,1,5,1,29430500000000,29433000000000,3,3,3,3,29430250000000,29433250000000,2,3,2,3,29430000000000,29433500000000,1,2,1,2,29429750000000,29433750000000,3,3,3,3,29429500000000,29434000000000,1,1,1,1,29429250000000,29434250000000,2,2,2,2,29429000000000,29434500000000,5,3,5,3,29428750000000,29434750000000,4,1,4,1,29428500000000,29435000000000,2,8,2,2,NQ.c.0
2026-06-26 12:14:00+00:00,1782476099875912126,10,1,42004177,M,B,1,29418000000000,1,128,12304,655887338,29418250000000,29420000000000,4,1,3,1,29418000000000,29420250000000,4,2,4,2,29417750000000,29420500000000,1,2,1,2,29417500000000,29420750000000,3,1,3,1,29417250000000,29421000000000,2,1,2,1,29417000000000,29421250000000,2,2,2,1,29416750000000,29421750000000,3,1,3,1,29416500000000,29422000000000,2,1,2,1,29416250000000,29422250000000,2,1,2,1,29416000000000,29422500000000,3,2,3,2,NQ.c.0
2026-06-26 12:15:00+00:00,1782476159998684924,10,1,42004177,A,A,2,29444500000000,1,128,13295,655945442,29442500000000,29444000000000,2,1,2,1,29442250000000,29444250000000,4,2,4,2,29442000000000,29444500000000,3,3,3,3,29441750000000,29444750000000,2,4,2,4,29441500000000,29445000000000,2,3,2,3,29441250000000,29445500000000,2,3,2,3,29441000000000,29445750000000,3,3,3,3,29440750000000,29446000000000,2,3,2,3,29440500000000,29446500000000,2,4,2,3,29440250000000,29446750000000,2,1,2,1,NQ.c.0
2026-06-26 12:16:00+00:00,1782476219649757121,10,1,42004177,M,A,2,29439000000000,1,128,11036,656018995,29437000000000,29438500000000,1,1,1,1,29436750000000,29438750000000,1,1,1,1,29436500000000,29439000000000,2,3,2,3,29436250000000,29439250000000,2,1,2,1,29436000000000,29439500000000,2,2,2,2,29435750000000,29439750000000,4,4,4,3,29435500000000,29440000000000,4,5,4,5,29435250000000,29440500000000,3,3,3,3,29435000000000,29440750000000,3,3,3,3,29434750000000,29441000000000,2,3,2,3,NQ.c.0
2026-06-26 12:17:00+00:00,1782476279913232851,10,1,42004177,M,A,5,29518250000000,1,128,10973,656071448,29441500000000,29443000000000,1,2,1,2,29441250000000,29443250000000,2,1,2,1,29440750000000,29443500000000,4,3,4,3,29440500000000,29443750000000,4,4,4,4,29440250000000,29444000000000,3,6,3,6,29440000000000,29444250000000,5,3,5,3,29439750000000,29444500000000,4,2,4,2,29439500000000,29444750000000,3,2,3,2,29439250000000,29445000000000,3,8,3,2,29438750000000,29445250000000,3,2,3,2,NQ.c.0
2026-06-26 12:18:00+00:00,1782476339671392500,10,1,42004177,A,A,2,29419750000000,1,128,12688,656133316,29418000000000,29419000000000,1,2,1,1,29417750000000,29419500000000,2,2,2,2,29417500000000,29419750000000,2,3,2,3,29417250000000,29420000000000,2,4,2,4,29417000000000,29420250000000,5,4,5,4,29416750000000,29420500000000,5,2,5,2,29416500000000,29420750000000,5,3,5,3,29416250000000,29421000000000,7,5,7,5,29416000000000,29421250000000,5,3,5,3,29415750000000,29421500000000,7,2,7,2,NQ.c.0
2026-06-26 12:19:00+00:00,1782476399955727198,10,1,42004177,M,A,0,29487250000000,1,128,12468,656194190,29410250000000,29412000000000,2,2,2,2,29410000000000,29412250000000,2,3,2,3,29409750000000,29412500000000,4,3,4,3,29409500000000,29412750000000,6,4,2,4,29409250000000,29413000000000,3,3,3,3,29409000000000,29413250000000,1,3,1,3,29408750000000,29413500000000,4,3,4,3,29408500000000,29413750000000,4,3,4,3,29408250000000,29414000000000,4,2,4,2,29408000000000,29414250000000,6,2,6,2,NQ.c.0
2026-06-26 12:20:00+00:00,1782476459980003253,10,1,42004177,M,B,0,29332250000000,1,128,12567,656251605,29407500000000,29409250000000,1,1,1,1,29407250000000,29409500000000,2,2,2,2,29407000000000,29409750000000,3,2,3,2,29406750000000,29410000000000,3,1,3,1,29406500000000,29410250000000,3,2,3,2,29406250000000,29410500000000,2,2,2,2,29406000000000,29410750000000,3,1,3,1,29405750000000,29411000000000,3,2,3,2,29405500000000,29411250000000,2,2,2,2,29405250000000,29411500000000,2,4,2,4,NQ.c.0
2026-06-26 12:21:00+00:00,1782476519978475884,10,1,42004177,A,B,3,29388500000000,1,128,13446,656319002,29389250000000,29391000000000,1,2,1,2,29389000000000,29391250000000,5,4,5,4,29388750000000,29391500000000,4,4,4,4,29388500000000,29391750000000,3,5,3,5,29388250000000,29392000000000,3,4,3,4,29388000000000,29392250000000,3,4,3,4,29387750000000,29392500000000,4,3,4,3,29387250000000,29393000000000,2,4,2,4,29387000000000,29393250000000,4,3,4,3,29386750000000,29393500000000,2,4,2,4,NQ.c.0
2026-06-26 12:22:00+00:00,1782476579613696095,10,1,42004177,M,A,4,29470500000000,1,128,11009,656361899,29393000000000,29395000000000,2,2,2,2,29392750000000,29395250000000,3,2,3,2,29392500000000,29395500000000,4,5,4,5,29392250000000,29395750000000,3,3,3,3,29392000000000,29396000000000,3,6,3,6,29391750000000,29396250000000,3,2,3,2,29391500000000,29396500000000,2,5,2,5,29391250000000,29396750000000,1,2,1,2,29391000000000,29397000000000,2,4,2,4,29390750000000,29397250000000,1,3,1,3,NQ.c.0
