ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-03 12:00:00+00:00,1775217659448066820,10,1,42004058,M,B,0,24078250000000,1,128,10425,474097995,24153750000000,24154750000000,1,1,1,1,24153500000000,24155000000000,3,5,3,5,24153250000000,24155250000000,3,2,3,2,24153000000000,24155500000000,1,1,1,1,24152750000000,24156000000000,3,1,3,1,24152500000000,24156250000000,1,4,1,4,24152250000000,24156500000000,2,4,2,4,24152000000000,24156750000000,2,5,2,5,24151750000000,24157000000000,4,3,4,3,24151500000000,24157250000000,2,1,2,1,NQ.c.0
2026-04-03 12:01:00+00:00,1775217719866621924,10,1,42004058,C,A,0,24157750000000,1,128,12641,474107306,24156750000000,24158000000000,1,1,1,1,24156500000000,24158250000000,5,4,5,4,24156250000000,24158500000000,1,3,1,3,24156000000000,24158750000000,1,2,1,2,24155500000000,24159000000000,3,3,3,3,24155250000000,24159250000000,3,3,3,3,24155000000000,24159500000000,2,2,2,2,24154750000000,24159750000000,4,4,4,4,24154500000000,24160000000000,3,1,3,1,24154250000000,24160250000000,4,17,4,3,NQ.c.0
2026-04-03 12:02:00+00:00,1775217779946480860,10,1,42004058,A,A,0,24165750000000,1,128,11098,474119088,24164750000000,24165750000000,2,1,2,1,24164500000000,24166000000000,2,2,2,2,24164250000000,24166250000000,3,3,3,3,24164000000000,24166500000000,1,4,1,2,24163750000000,24166750000000,2,1,2,1,24163500000000,24167000000000,3,3,3,3,24163250000000,24167250000000,3,3,3,3,24163000000000,24167500000000,4,3,4,3,24162750000000,24167750000000,3,2,3,2,24162500000000,24168250000000,2,1,2,1,NQ.c.0
2026-04-03 12:03:00+00:00,1775217839970495540,10,1,42004058,A,B,1,24178000000000,1,128,13213,474143083,24178250000000,24179500000000,1,1,1,1,24178000000000,24179750000000,4,2,4,2,24177750000000,24180000000000,4,3,4,3,24177500000000,24180250000000,5,1,5,1,24177000000000,24180500000000,4,3,4,3,24176750000000,24180750000000,2,1,2,1,24176500000000,24181000000000,3,1,3,1,24176250000000,24181250000000,2,2,2,2,24176000000000,24181500000000,2,3,2,3,24175750000000,24181750000000,4,1,4,1,NQ.c.0
2026-04-03 12:04:00+00:00,1775217899396986217,10,1,42004058,A,A,0,24178500000000,1,128,12585,474155749,24177500000000,24178500000000,1,1,1,1,24177250000000,24178750000000,2,1,2,1,24177000000000,24179000000000,2,1,2,1,24176750000000,24179250000000,2,2,2,2,24176500000000,24179500000000,2,3,2,3,24176250000000,24179750000000,3,2,3,2,24176000000000,24180000000000,2,2,2,2,24175750000000,24180250000000,4,4,4,4,24175500000000,24180500000000,2,2,2,2,24175250000000,24180750000000,3,1,3,1,NQ.c.0
2026-04-03 12:05:00+00:00,1775217959260179284,10,1,42004058,A,B,0,24175250000000,1,128,12524,474169937,24175250000000,24176250000000,1,1,1,1,24175000000000,24176500000000,2,2,2,2,24174750000000,24176750000000,3,3,3,3,24174500000000,24177000000000,1,1,1,1,24174250000000,24177250000000,2,1,2,1,24174000000000,24177500000000,1,1,1,1,24173500000000,24177750000000,1,1,1,1,24173250000000,24178000000000,3,2,3,2,24173000000000,24178500000000,3,2,3,2,24172750000000,24178750000000,4,2,4,2,NQ.c.0
2026-04-03 12:06:00+00:00,1775218019465523142,10,1,42004058,M,B,1,24174250000000,1,128,12832,474179248,24174500000000,24175500000000,1,1,1,1,24174250000000,24175750000000,4,1,4,1,24174000000000,24176000000000,1,2,1,2,24173750000000,24176250000000,2,1,2,1,24173500000000,24176500000000,3,2,3,2,24173250000000,24176750000000,5,3,1,2,24173000000000,24177000000000,1,1,1,1,24172750000000,24177250000000,3,2,3,2,24172500000000,24177500000000,1,2,1,2,24172250000000,24177750000000,1,1,1,1,NQ.c.0
2026-04-03 12:07:00+00:00,1775218079855463301,10,1,42004058,C,A,0,24164500000000,1,128,11368,474192669,24163750000000,24164750000000,1,1,1,1,24163500000000,24165000000000,1,3,1,3,24163250000000,24165250000000,3,3,3,3,24163000000000,24165500000000,3,2,3,2,24162750000000,24165750000000,3,2,3,2,24162250000000,24166000000000,3,1,3,1,24162000000000,24166250000000,4,1,4,1,24161750000000,24166500000000,4,2,4,2,24161500000000,24166750000000,4,4,4,4,24161250000000,24167000000000,3,2,3,2,NQ.c.0
2026-04-03 12:08:00+00:00,1775218139735932511,10,1,42004058,A,B,0,24163250000000,1,128,15630,474203001,24163250000000,24164250000000,1,1,1,1,24163000000000,24164500000000,1,2,1,2,24162750000000,24164750000000,2,3,2,3,24162500000000,24165000000000,2,1,2,1,24162250000000,24165250000000,4,2,4,2,24162000000000,24165500000000,3,3,3,3,24161750000000,24165750000000,4,2,4,2,24161500000000,24166000000000,3,2,3,2,24161250000000,24166250000000,3,2,3,2,24161000000000,24166500000000,5,2,5,2,NQ.c.0
2026-04-03 12:09:00+00:00,1775218198595407586,10,1,42004058,A,A,1,24162250000000,1,128,12971,474213651,24161000000000,24162000000000,2,1,2,1,24160750000000,24162250000000,2,4,2,4,24160500000000,24162500000000,1,1,1,1,24160250000000,24162750000000,2,2,2,2,24160000000000,24163000000000,4,2,4,2,24159750000000,24163250000000,2,2,2,2,24159500000000,24163500000000,1,1,1,1,24159250000000,24163750000000,4,3,4,3,24159000000000,24164000000000,1,4,1,4,24158750000000,24164250000000,3,2,3,2,NQ.c.0
