ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-06 12:00:00+00:00,1778068859999894231,10,1,42004058,A,B,0,28538500000000,1,128,13356,189513681,28538500000000,28539500000000,1,2,1,2,28538250000000,28539750000000,2,3,2,3,28538000000000,28540000000000,3,5,3,5,28537750000000,28540250000000,2,3,2,3,28537500000000,28540500000000,3,3,3,3,28537250000000,28540750000000,4,2,4,2,28537000000000,28541000000000,2,4,2,4,28536750000000,28541250000000,2,4,2,4,28536500000000,28541500000000,4,5,4,5,28536250000000,28541750000000,3,4,3,4,NQ.c.0
2026-05-06 12:01:00+00:00,1778068919792556598,10,1,42004058,C,A,0,28524000000000,1,128,14970,189572106,28523250000000,28524250000000,2,2,2,2,28523000000000,28524500000000,2,4,2,4,28522750000000,28524750000000,3,3,3,3,28522500000000,28525000000000,7,2,4,2,28522250000000,28525250000000,4,2,4,2,28522000000000,28525500000000,3,3,3,3,28521750000000,28525750000000,1,4,1,4,28521500000000,28526000000000,2,3,2,3,28521250000000,28526250000000,3,4,3,4,28521000000000,28526500000000,18,4,3,4,NQ.c.0
2026-05-06 12:02:00+00:00,1778068979932663102,10,1,42004058,A,B,1,28517500000000,1,128,12775,189633040,28517750000000,28518750000000,2,1,2,1,28517500000000,28519000000000,3,3,3,3,28517250000000,28519250000000,2,1,2,1,28516500000000,28519500000000,2,2,2,2,28516250000000,28520000000000,4,4,4,4,28516000000000,28520250000000,5,4,5,4,28515750000000,28520500000000,4,4,4,4,28515500000000,28520750000000,3,3,3,3,28515250000000,28521000000000,3,4,3,4,28515000000000,28521500000000,3,4,3,4,NQ.c.0
2026-05-06 12:03:00+00:00,1778069039982670229,10,1,42004058,A,B,0,28501000000000,1,128,13159,189708523,28501000000000,28502000000000,3,4,3,1,28500750000000,28502500000000,3,2,3,2,28500500000000,28503000000000,2,2,2,2,28500250000000,28503250000000,25,4,1,4,28500000000000,28503500000000,1,3,1,3,28499750000000,28503750000000,1,2,1,2,28499500000000,28504000000000,1,4,1,4,28499000000000,28504250000000,3,2,3,2,28498750000000,28504500000000,2,1,2,1,28498500000000,28504750000000,1,1,1,1,NQ.c.0
2026-05-06 12:04:00+00:00,1778069099947200664,10,1,42004058,A,B,2,28501000000000,1,128,12961,189772945,28501500000000,28502250000000,2,2,2,1,28501250000000,28502500000000,2,1,2,1,28501000000000,28502750000000,4,3,4,3,28500750000000,28503000000000,1,3,1,3,28500500000000,28503250000000,2,4,2,4,28500250000000,28503500000000,2,4,2,4,28500000000000,28503750000000,3,3,3,3,28499750000000,28504000000000,3,5,3,5,28499500000000,28504250000000,4,4,4,4,28499250000000,28504750000000,2,3,2,3,NQ.c.0
2026-05-06 12:05:00+00:00,1778069159986184007,10,1,42004058,M,A,3,28572750000000,1,128,12784,189847348,28494250000000,28495000000000,1,2,1,2,28494000000000,28495250000000,2,5,2,4,28493750000000,28495500000000,4,4,4,3,28493500000000,28495750000000,3,2,3,2,28493250000000,28496000000000,1,5,1,5,28493000000000,28496250000000,2,1,2,1,28492750000000,28496500000000,1,3,1,3,28492500000000,28496750000000,4,2,4,2,28492250000000,28497000000000,4,3,4,3,28492000000000,28497250000000,4,4,4,3,NQ.c.0
2026-05-06 12:06:00+00:00,1778069219997815305,10,1,42004058,C,B,0,28477750000000,1,128,12609,189983033,28477750000000,28478500000000,1,1,1,1,28477500000000,28478750000000,1,1,1,1,28477250000000,28479000000000,6,1,1,1,28477000000000,28479250000000,4,3,4,3,28476750000000,28479500000000,3,3,3,3,28476500000000,28479750000000,3,10,3,5,28476250000000,28480000000000,3,3,3,3,28476000000000,28480250000000,3,2,3,2,28475750000000,28480500000000,2,3,2,3,28475500000000,28480750000000,2,3,2,3,NQ.c.0
2026-05-06 12:07:00+00:00,1778069279998075304,10,1,42004058,M,A,0,28497750000000,1,128,13647,190062333,28496500000000,28497750000000,2,3,2,3,28496250000000,28498000000000,4,3,4,3,28496000000000,28498250000000,6,2,6,2,28495750000000,28498500000000,5,2,5,2,28495500000000,28498750000000,2,1,2,1,28495250000000,28499000000000,3,5,3,5,28495000000000,28499250000000,3,4,3,4,28494750000000,28499500000000,3,3,3,3,28494500000000,28499750000000,2,3,2,3,28494250000000,28500000000000,3,7,3,6,NQ.c.0
2026-05-06 12:08:00+00:00,1778069339836532155,10,1,42004058,M,B,0,28505500000000,1,128,10115,190132560,28505500000000,28506000000000,2,6,2,1,28505250000000,28506250000000,1,2,1,2,28505000000000,28506500000000,1,1,1,1,28504750000000,28507000000000,3,4,3,4,28504500000000,28507250000000,2,3,2,3,28504250000000,28507500000000,1,4,1,4,28504000000000,28507750000000,3,4,3,4,28503750000000,28508000000000,5,4,5,4,28503500000000,28508250000000,7,3,7,3,28503250000000,28508500000000,6,2,6,2,NQ.c.0
2026-05-06 12:09:00+00:00,1778069399947420150,10,1,42004058,M,A,1,28493250000000,1,128,10899,190187769,28492000000000,28493000000000,2,1,2,1,28491750000000,28493250000000,3,5,3,5,28491500000000,28493500000000,2,2,2,2,28491250000000,28493750000000,2,1,2,1,28491000000000,28494000000000,2,2,2,2,28490750000000,28494250000000,3,1,3,1,28490500000000,28494500000000,5,3,5,3,28490250000000,28494750000000,5,1,5,1,28490000000000,28495000000000,4,1,4,1,28489750000000,28495250000000,2,3,2,3,NQ.c.0
2026-05-06 12:10:00+00:00,1778069459983332742,10,1,42004058,M,A,0,28501000000000,1,128,13131,190253064,28500000000000,28501000000000,1,2,1,2,28499750000000,28501250000000,2,2,2,2,28499500000000,28501500000000,2,3,2,3,28499250000000,28501750000000,4,2,4,2,28499000000000,28502000000000,4,2,4,2,28498750000000,28502250000000,4,3,4,3,28498500000000,28502500000000,4,1,4,1,28498250000000,28502750000000,3,2,3,2,28498000000000,28503000000000,2,3,2,3,28497750000000,28503250000000,2,1,2,1,NQ.c.0
2026-05-06 12:11:00+00:00,1778069519947190364,10,1,42004058,C,B,1,28511500000000,1,128,14730,190319097,28511750000000,28512750000000,2,2,2,2,28511500000000,28513000000000,2,3,2,3,28511250000000,28513250000000,3,3,3,3,28511000000000,28513500000000,3,2,3,2,28510750000000,28513750000000,2,4,2,4,28510500000000,28514000000000,2,4,2,4,28510250000000,28514250000000,2,5,2,5,28510000000000,28514500000000,3,4,3,4,28509750000000,28514750000000,4,4,4,4,28509500000000,28515000000000,8,6,4,5,NQ.c.0
2026-05-06 12:12:00+00:00,1778069579956263303,10,1,42004058,M,B,0,28422750000000,1,128,12395,190380544,28498500000000,28499500000000,2,1,2,1,28498250000000,28499750000000,3,3,3,3,28498000000000,28500000000000,1,4,1,4,28497750000000,28500250000000,1,2,1,2,28497500000000,28500500000000,3,2,3,2,28497250000000,28500750000000,2,3,1,3,28497000000000,28501000000000,1,3,1,3,28496750000000,28501250000000,1,2,1,2,28496500000000,28501500000000,2,2,2,2,28496250000000,28501750000000,2,2,2,2,NQ.c.0
