ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-29 12:00:00+00:00,1782734459831337537,10,1,42004177,M,A,1,29700500000000,1,128,12688,37412334,29698500000000,29700250000000,2,3,2,3,29698000000000,29700500000000,3,2,3,2,29697750000000,29700750000000,2,3,2,3,29697500000000,29701000000000,2,1,2,1,29697250000000,29701250000000,3,1,3,1,29697000000000,29701500000000,2,1,2,1,29696750000000,29701750000000,2,2,2,2,29696500000000,29702000000000,2,2,2,2,29696000000000,29702500000000,1,1,1,1,29695750000000,29703000000000,3,2,3,2,NQ.c.0
2026-06-29 12:01:00+00:00,1782734519966829508,10,1,42004177,C,B,2,29697500000000,1,128,11746,37453764,29698000000000,29699500000000,1,1,1,1,29697750000000,29699750000000,4,2,4,2,29697250000000,29700000000000,1,4,1,4,29697000000000,29700250000000,2,2,2,2,29696750000000,29700500000000,1,2,1,2,29696500000000,29700750000000,2,1,2,1,29696250000000,29701000000000,2,2,2,2,29696000000000,29701250000000,3,3,3,3,29695750000000,29701500000000,2,2,2,2,29695500000000,29701750000000,2,3,2,3,NQ.c.0
2026-06-29 12:02:00+00:00,1782734579499836827,10,1,42004177,C,B,0,29703750000000,1,128,10993,37486726,29703500000000,29705250000000,1,2,1,2,29703250000000,29705500000000,2,2,2,2,29703000000000,29705750000000,2,2,2,2,29702750000000,29706000000000,1,6,1,2,29702500000000,29706250000000,2,4,2,4,29702250000000,29706500000000,2,2,2,2,29702000000000,29706750000000,3,3,3,3,29701500000000,29707000000000,4,3,4,3,29701250000000,29707500000000,2,3,2,3,29700750000000,29707750000000,3,3,3,3,NQ.c.0
2026-06-29 12:03:00+00:00,1782734639828229134,10,1,42004177,M,B,1,29711000000000,1,128,12247,37527334,29711250000000,29713000000000,2,1,2,1,29711000000000,29713250000000,5,1,5,1,29710750000000,29713500000000,2,3,2,3,29710500000000,29713750000000,2,2,2,2,29710000000000,29714000000000,1,1,1,1,29709750000000,29714250000000,1,3,1,3,29709500000000,29714500000000,2,2,2,2,29708750000000,29714750000000,2,1,2,1,29708500000000,29715000000000,2,3,2,3,29708000000000,29715250000000,4,2,4,2,NQ.c.0
2026-06-29 12:04:00+00:00,1782734699530572995,10,1,42004177,A,A,2,29712750000000,1,128,13321,37563103,29710500000000,29712250000000,1,1,1,1,29710250000000,29712500000000,2,2,2,2,29710000000000,29712750000000,1,3,1,3,29709750000000,29713000000000,15,1,1,1,29709500000000,29713250000000,1,1,1,1,29709000000000,29713500000000,1,1,1,1,29708750000000,29713750000000,1,3,1,3,29708500000000,29714250000000,1,2,1,2,29708250000000,29714500000000,2,1,2,1,29708000000000,29714750000000,3,1,3,1,NQ.c.0
2026-06-29 12:05:00+00:00,1782734759734839130,10,1,42004177,C,A,0,29712500000000,1,128,11123,37594465,29711000000000,29712750000000,1,3,1,3,29710750000000,29713000000000,3,3,3,3,29710500000000,29713250000000,2,3,2,3,29710250000000,29713500000000,1,2,1,2,29710000000000,29714000000000,1,1,1,1,29709750000000,29714250000000,1,2,1,2,29708750000000,29715000000000,2,2,2,2,29708500000000,29715250000000,3,2,3,2,29708250000000,29715500000000,1,2,1,2,29708000000000,29715750000000,3,3,3,3,NQ.c.0
2026-06-29 12:06:00+00:00,1782734819853492479,10,1,42004177,A,A,0,29721750000000,1,128,11693,37629543,29720250000000,29721750000000,1,2,1,2,29720000000000,29722000000000,1,5,1,5,29719750000000,29722250000000,4,4,4,4,29719500000000,29722500000000,2,4,2,4,29719250000000,29723000000000,1,2,1,2,29719000000000,29723250000000,2,2,2,2,29718750000000,29723500000000,2,3,2,3,29718500000000,29723750000000,3,3,3,3,29718250000000,29724000000000,2,5,2,5,29718000000000,29724250000000,2,1,2,1,NQ.c.0
2026-06-29 12:07:00+00:00,1782734879977745692,10,1,42004177,C,A,0,29716250000000,1,128,11334,37661596,29714750000000,29716250000000,1,1,1,1,29714500000000,29716500000000,1,2,1,2,29714250000000,29716750000000,1,4,1,3,29714000000000,29718000000000,3,1,3,1,29713750000000,29718250000000,3,4,2,4,29713000000000,29718500000000,3,3,3,3,29712750000000,29718750000000,4,3,4,3,29712500000000,29719000000000,2,3,2,3,29712250000000,29719250000000,3,2,3,2,29712000000000,29719500000000,4,4,4,4,NQ.c.0
2026-06-29 12:08:00+00:00,1782734939845236038,10,1,42004177,C,A,0,29721750000000,1,128,12450,37691772,29720250000000,29722000000000,1,1,1,1,29720000000000,29722250000000,2,1,2,1,29719750000000,29722500000000,2,2,2,2,29719500000000,29722750000000,3,2,3,2,29719250000000,29723000000000,4,1,3,1,29719000000000,29723250000000,3,1,3,1,29718750000000,29723500000000,2,4,2,4,29718500000000,29723750000000,4,2,4,2,29718250000000,29724000000000,2,4,2,4,29718000000000,29724250000000,2,3,2,3,NQ.c.0
2026-06-29 12:09:00+00:00,1782734999929531057,10,1,42004177,A,A,0,29719750000000,1,128,12427,37725328,29718000000000,29719750000000,1,1,1,1,29717750000000,29720000000000,3,2,3,2,29717500000000,29720250000000,1,2,1,2,29717250000000,29720500000000,1,1,1,1,29717000000000,29720750000000,3,2,3,2,29716750000000,29721000000000,4,1,4,1,29716500000000,29721250000000,3,2,3,2,29716250000000,29721500000000,2,1,2,1,29716000000000,29721750000000,4,1,4,1,29715750000000,29722000000000,4,1,4,1,NQ.c.0
2026-06-29 12:10:00+00:00,1782735059848931487,10,1,42004177,M,A,2,29728250000000,1,128,12523,37764137,29726250000000,29727750000000,2,1,2,1,29726000000000,29728000000000,3,1,3,1,29725500000000,29728250000000,2,2,2,2,29725250000000,29728500000000,3,1,3,1,29725000000000,29728750000000,2,2,2,2,29724750000000,29729000000000,1,3,1,3,29724000000000,29729250000000,3,4,3,4,29723750000000,29729500000000,2,4,2,4,29723500000000,29729750000000,2,2,2,2,29723250000000,29730000000000,2,3,2,3,NQ.c.0
2026-06-29 12:11:00+00:00,1782735119992304297,10,1,42004177,C,A,0,29719750000000,1,128,11413,37795153,29718250000000,29720000000000,1,2,1,2,29718000000000,29720250000000,1,1,1,1,29717750000000,29720500000000,3,1,3,1,29717500000000,29720750000000,3,2,3,2,29717250000000,29721000000000,3,1,3,1,29717000000000,29721250000000,3,2,3,2,29716750000000,29721500000000,2,1,2,1,29716500000000,29721750000000,4,2,4,2,29716250000000,29722000000000,4,2,4,2,29716000000000,29722250000000,3,1,3,1,NQ.c.0
2026-06-29 12:12:00+00:00,1782735179983073757,10,1,42004177,A,B,0,29716750000000,1,128,12723,37827205,29716750000000,29718250000000,1,1,1,1,29716500000000,29718500000000,2,2,2,2,29716250000000,29718750000000,3,3,3,3,29716000000000,29719000000000,1,2,1,2,29715750000000,29719250000000,3,1,3,1,29715500000000,29719500000000,1,3,1,3,29715000000000,29719750000000,3,3,3,3,29714750000000,29720000000000,3,3,3,3,29714500000000,29720250000000,2,1,2,1,29714250000000,29720500000000,2,3,2,3,NQ.c.0
