ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-09 12:00:00+00:00,1775736059968105214,10,1,42004058,A,B,4,25035250000000,1,128,12720,312328036,25036250000000,25036750000000,1,2,1,1,25036000000000,25037250000000,2,3,2,3,25035750000000,25037500000000,5,4,5,4,25035500000000,25037750000000,3,4,3,4,25035250000000,25038000000000,3,2,3,2,25035000000000,25038250000000,3,2,3,2,25034750000000,25038500000000,2,5,2,5,25034500000000,25038750000000,4,3,4,3,25034250000000,25039000000000,5,5,5,5,25034000000000,25039250000000,4,6,4,5,NQ.c.0
2026-04-09 12:01:00+00:00,1775736119637325181,10,1,42004058,A,B,5,25034500000000,1,128,16057,312354264,25035750000000,25036500000000,3,1,3,1,25035500000000,25036750000000,5,1,5,1,25035250000000,25037000000000,3,3,3,3,25035000000000,25037250000000,4,2,4,2,25034750000000,25037500000000,3,3,3,3,25034500000000,25037750000000,6,5,6,5,25034250000000,25038000000000,3,3,3,3,25034000000000,25038250000000,5,3,5,3,25033750000000,25038500000000,3,4,3,4,25033500000000,25038750000000,4,3,4,3,NQ.c.0
2026-04-09 12:02:00+00:00,1775736179696463859,10,1,42004058,C,B,2,25037750000000,1,128,12960,312381263,25038250000000,25039250000000,1,2,1,2,25038000000000,25039500000000,4,4,4,4,25037750000000,25039750000000,3,3,3,3,25037500000000,25040000000000,2,5,2,5,25037250000000,25040250000000,2,2,2,2,25037000000000,25040500000000,2,2,2,2,25036750000000,25040750000000,4,3,4,3,25036500000000,25041000000000,3,2,3,2,25036250000000,25041250000000,22,4,3,4,25036000000000,25041500000000,9,4,5,4,NQ.c.0
2026-04-09 12:03:00+00:00,1775736239566380481,10,1,42004058,A,A,2,25038750000000,1,128,12444,312402944,25037500000000,25038250000000,1,1,1,1,25037250000000,25038500000000,1,2,1,2,25037000000000,25038750000000,3,1,3,1,25036750000000,25039000000000,2,4,2,4,25036500000000,25039250000000,3,4,3,4,25036250000000,25039500000000,4,4,4,4,25036000000000,25039750000000,5,5,5,4,25035750000000,25040000000000,5,6,5,6,25035500000000,25040250000000,5,5,5,5,25035250000000,25040500000000,3,3,3,3,NQ.c.0
2026-04-09 12:04:00+00:00,1775736299951698547,10,1,42004058,A,B,3,25032000000000,1,128,11317,312426614,25032750000000,25033250000000,2,1,2,1,25032500000000,25033500000000,3,1,3,1,25032250000000,25033750000000,5,3,5,3,25032000000000,25034000000000,9,3,9,3,25031750000000,25034250000000,2,10,2,5,25031500000000,25034500000000,2,3,2,3,25031250000000,25034750000000,4,2,4,2,25031000000000,25035000000000,4,4,4,4,25030750000000,25035250000000,4,2,4,2,25030500000000,25035500000000,2,6,2,6,NQ.c.0
2026-04-09 12:05:00+00:00,1775736359708190297,10,1,42004058,A,B,3,25032500000000,1,128,12764,312449116,25033250000000,25033750000000,1,1,1,1,25033000000000,25034000000000,4,1,4,1,25032750000000,25034250000000,3,2,3,2,25032500000000,25034500000000,4,2,4,2,25032250000000,25034750000000,6,3,6,3,25032000000000,25035000000000,7,4,7,4,25031750000000,25035250000000,2,4,2,4,25031500000000,25035500000000,2,4,2,4,25031250000000,25035750000000,3,5,3,5,25031000000000,25036000000000,4,6,4,6,NQ.c.0
2026-04-09 12:06:00+00:00,1775736419921713705,10,1,42004058,C,A,0,25038750000000,1,128,11748,312474465,25038250000000,25039000000000,1,1,1,1,25038000000000,25039250000000,1,2,1,2,25037750000000,25039500000000,2,3,2,3,25037500000000,25039750000000,4,5,4,4,25037250000000,25040000000000,3,4,3,4,25037000000000,25040250000000,4,4,4,4,25036750000000,25040500000000,5,3,5,3,25036500000000,25040750000000,5,4,5,4,25036250000000,25041000000000,6,24,6,5,25036000000000,25041250000000,5,4,5,4,NQ.c.0
2026-04-09 12:07:00+00:00,1775736479938080795,10,1,42004058,M,A,1,25042500000000,1,128,12580,312500136,25041500000000,25042250000000,1,3,1,3,25041250000000,25042500000000,2,6,2,5,25041000000000,25042750000000,4,4,4,4,25040750000000,25043000000000,5,4,3,4,25040500000000,25043250000000,4,3,3,3,25040250000000,25043500000000,4,14,4,5,25040000000000,25043750000000,5,6,5,5,25039750000000,25044000000000,5,4,5,4,25039500000000,25044250000000,3,1,3,1,25039250000000,25044500000000,4,2,4,2,NQ.c.0
2026-04-09 12:08:00+00:00,1775736539737096267,10,1,42004058,C,B,0,25043500000000,1,128,12823,312526498,25043250000000,25044000000000,3,1,3,1,25043000000000,25044250000000,4,2,4,2,25042750000000,25044500000000,3,1,3,1,25042500000000,25044750000000,4,1,4,1,25042250000000,25045000000000,2,3,2,3,25042000000000,25045250000000,5,5,5,5,25041750000000,25045500000000,4,4,4,4,25041500000000,25045750000000,5,5,5,5,25041250000000,25046000000000,5,4,5,4,25041000000000,25046250000000,3,3,3,3,NQ.c.0
2026-04-09 12:09:00+00:00,1775736599997156307,10,1,42004058,A,A,1,25046750000000,1,128,11030,312549566,25045500000000,25046500000000,3,2,3,2,25045250000000,25046750000000,1,5,1,5,25045000000000,25047000000000,3,2,3,2,25044750000000,25047250000000,6,3,5,3,25044500000000,25047500000000,3,4,3,4,25044250000000,25047750000000,3,3,3,3,25044000000000,25048000000000,4,4,4,4,25043750000000,25048250000000,3,3,3,3,25043500000000,25048500000000,5,2,5,2,25043250000000,25048750000000,2,8,2,6,NQ.c.0
2026-04-09 12:10:00+00:00,1775736659881561548,10,1,42004058,C,B,0,25049250000000,1,128,11566,312579322,25049250000000,25049750000000,2,1,1,1,25049000000000,25050000000000,3,2,3,2,25048750000000,25050250000000,3,3,3,3,25048500000000,25050500000000,3,4,3,4,25048250000000,25050750000000,4,4,4,4,25048000000000,25051000000000,5,3,5,3,25047750000000,25051250000000,3,3,3,3,25047500000000,25051500000000,6,3,6,3,25047250000000,25051750000000,5,3,5,3,25047000000000,25052000000000,2,7,2,7,NQ.c.0
2026-04-09 12:11:00+00:00,1775736719990979393,10,1,42004058,A,A,0,25044750000000,1,128,12486,312600687,25044000000000,25044750000000,1,2,1,2,25043750000000,25045000000000,6,3,6,3,25043500000000,25045250000000,3,4,3,3,25043250000000,25045500000000,24,4,3,4,25043000000000,25045750000000,11,5,7,5,25042750000000,25046000000000,5,5,5,5,25042500000000,25046250000000,3,3,3,3,25042250000000,25046500000000,2,4,2,4,25042000000000,25046750000000,6,2,6,2,25041750000000,25047000000000,2,3,2,3,NQ.c.0
2026-04-09 12:12:00+00:00,1775736779726159687,10,1,42004058,C,B,0,25039250000000,1,128,10943,312624320,25039250000000,25040000000000,1,2,1,2,25039000000000,25040250000000,6,2,4,2,25038750000000,25040500000000,1,2,1,2,25038500000000,25040750000000,4,7,4,3,25038250000000,25041000000000,2,8,2,4,25038000000000,25041250000000,4,3,4,3,25037750000000,25041500000000,5,1,5,1,25037500000000,25041750000000,3,3,3,3,25037250000000,25042000000000,2,3,2,3,25037000000000,25042250000000,3,2,3,2,NQ.c.0
2026-04-09 12:13:00+00:00,1775736839940445234,10,1,42004058,A,A,0,25041000000000,1,128,12289,312649932,25040250000000,25041000000000,1,2,1,2,25040000000000,25041250000000,3,3,3,3,25039750000000,25041500000000,3,4,3,4,25039500000000,25041750000000,5,5,4,5,25039250000000,25042000000000,4,3,4,3,25039000000000,25042250000000,4,3,4,3,25038750000000,25042500000000,2,3,2,3,25038500000000,25042750000000,5,4,4,4,25038250000000,25043000000000,4,5,4,5,25038000000000,25043500000000,4,4,4,4,NQ.c.0
2026-04-09 12:14:00+00:00,1775736899898663387,10,1,42004058,A,B,6,25033000000000,1,128,13136,312674032,25034500000000,25035250000000,1,1,1,1,25034250000000,25035500000000,4,4,4,4,25034000000000,25035750000000,3,2,3,2,25033750000000,25036000000000,4,4,4,4,25033500000000,25036250000000,4,3,4,3,25033250000000,25036500000000,3,2,3,2,25033000000000,25036750000000,4,5,4,2,25032750000000,25037000000000,6,3,6,3,25032500000000,25037250000000,3,2,3,2,25032250000000,25037500000000,1,3,1,3,NQ.c.0
2026-04-09 12:15:00+00:00,1775736959806732453,10,1,42004058,C,A,1,25038250000000,1,128,13039,312697737,25037000000000,25038000000000,2,2,2,2,25036750000000,25038250000000,4,3,4,3,25036500000000,25038500000000,5,4,5,4,25036250000000,25038750000000,3,3,3,3,25036000000000,25039000000000,4,6,4,6,25035750000000,25039250000000,4,4,4,4,25035500000000,25039500000000,5,2,5,2,25035250000000,25039750000000,4,4,4,4,25035000000000,25040000000000,5,4,5,4,25034750000000,25040250000000,3,3,3,3,NQ.c.0
2026-04-09 12:16:00+00:00,1775737019655909414,10,1,42004058,A,B,1,25032750000000,1,128,12495,312725322,25033000000000,25033750000000,1,1,1,1,25032750000000,25034000000000,4,2,4,2,25032500000000,25034250000000,3,1,3,1,25032250000000,25034500000000,3,3,3,3,25032000000000,25034750000000,5,2,5,2,25031750000000,25035000000000,5,2,5,2,25031500000000,25035250000000,4,3,4,3,25031250000000,25035500000000,4,4,4,4,25031000000000,25035750000000,5,4,5,4,25030750000000,25036000000000,3,6,3,6,NQ.c.0
2026-04-09 12:17:00+00:00,1775737079962246147,10,1,42004058,A,B,5,25032500000000,1,128,12773,312739852,25034000000000,25034750000000,2,3,2,3,25033500000000,25035000000000,1,2,1,2,25033250000000,25035250000000,3,1,3,1,25033000000000,25035500000000,2,4,2,4,25032750000000,25035750000000,2,5,2,5,25032500000000,25036000000000,4,6,4,6,25032250000000,25036250000000,4,4,4,4,25032000000000,25036500000000,7,3,7,3,25031750000000,25036750000000,5,5,5,5,25031500000000,25037000000000,4,2,4,2,NQ.c.0
2026-04-09 12:18:00+00:00,1775737139737722866,10,1,42004058,M,B,0,25039750000000,1,128,13600,312763885,25039750000000,25040500000000,2,1,2,1,25039500000000,25040750000000,3,2,3,2,25039250000000,25041000000000,2,4,2,4,25039000000000,25041250000000,3,4,3,4,25038750000000,25041500000000,4,4,4,4,25038500000000,25041750000000,4,5,4,5,25038250000000,25042000000000,3,8,3,8,25038000000000,25042250000000,4,4,4,4,25037750000000,25042500000000,5,4,5,4,25037500000000,25042750000000,6,5,6,4,NQ.c.0
2026-04-09 12:19:00+00:00,1775737199957285710,10,1,42004058,C,A,0,25039750000000,1,128,11150,312799345,25039000000000,25039750000000,1,1,1,1,25038750000000,25040000000000,1,3,1,3,25038500000000,25040250000000,2,4,2,4,25038250000000,25040750000000,2,1,2,1,25038000000000,25041000000000,6,1,6,1,25037750000000,25041250000000,4,2,4,2,25037500000000,25041500000000,5,4,5,4,25037250000000,25041750000000,5,3,5,3,25037000000000,25042000000000,4,5,4,5,25036750000000,25042500000000,5,3,5,3,NQ.c.0
2026-04-09 12:20:00+00:00,1775737259979387927,10,1,42004058,C,A,0,25040000000000,1,128,12080,312825715,25039250000000,25040250000000,1,3,1,3,25039000000000,25040500000000,2,2,2,2,25038750000000,25040750000000,4,2,4,2,25038500000000,25041250000000,2,2,2,2,25038250000000,25041500000000,5,5,5,5,25038000000000,25041750000000,6,4,6,4,25037750000000,25042000000000,3,6,3,6,25037500000000,25042500000000,5,4,5,4,25037250000000,25042750000000,4,3,4,3,25037000000000,25043000000000,4,6,4,6,NQ.c.0
2026-04-09 12:21:00+00:00,1775737319994964551,10,1,42004058,A,A,2,25034500000000,1,128,13606,312848869,25033250000000,25034000000000,3,1,3,1,25033000000000,25034250000000,3,2,3,2,25032750000000,25034500000000,3,3,3,3,25032500000000,25034750000000,3,5,1,5,25032250000000,25035000000000,1,4,1,4,25032000000000,25035250000000,4,3,4,3,25031750000000,25035500000000,2,3,2,3,25031250000000,25035750000000,2,5,2,5,25031000000000,25036000000000,4,4,4,4,25030750000000,25036250000000,6,2,6,2,NQ.c.0
2026-04-09 12:22:00+00:00,1775737379922722097,10,1,42004058,M,B,1,24953250000000,1,128,13547,312875916,25028500000000,25029250000000,1,1,1,1,25028250000000,25029500000000,3,1,3,1,25028000000000,25029750000000,7,5,5,5,25027750000000,25030000000000,5,2,5,2,25027500000000,25030250000000,3,4,3,4,25027250000000,25030500000000,4,3,4,3,25027000000000,25030750000000,5,4,5,4,25026750000000,25031000000000,4,5,4,5,25026500000000,25031250000000,6,3,6,3,25026250000000,25031500000000,4,5,4,5,NQ.c.0
2026-04-09 12:23:00+00:00,1775737439906780875,10,1,42004058,C,B,2,25028250000000,1,128,10897,312898622,25028750000000,25029500000000,1,1,1,1,25028500000000,25029750000000,4,2,4,2,25028250000000,25030000000000,3,5,3,5,25028000000000,25030250000000,5,1,5,1,25027750000000,25030500000000,5,2,5,2,25027500000000,25030750000000,3,3,3,3,25027250000000,25031000000000,3,5,3,5,25027000000000,25031250000000,6,1,6,1,25026750000000,25031500000000,3,2,3,2,25026500000000,25031750000000,4,4,4,4,NQ.c.0
2026-04-09 12:24:00+00:00,1775737499742527119,10,1,42004058,A,A,0,25033750000000,1,128,13038,312916021,25033000000000,25033750000000,1,2,1,2,25032750000000,25034000000000,2,2,2,2,25032500000000,25034250000000,1,3,1,3,25032250000000,25034500000000,1,4,1,4,25032000000000,25034750000000,5,3,5,3,25031750000000,25035000000000,4,4,4,4,25031500000000,25035250000000,2,3,2,3,25031250000000,25035500000000,2,4,2,4,25031000000000,25035750000000,3,3,3,3,25030750000000,25036000000000,3,5,3,5,NQ.c.0
2026-04-09 12:25:00+00:00,1775737559935753524,10,1,42004058,A,B,4,25035000000000,1,128,12516,312936592,25036000000000,25036500000000,1,1,1,1,25035750000000,25036750000000,3,1,3,1,25035500000000,25037000000000,3,3,3,3,25035250000000,25037250000000,3,3,3,3,25035000000000,25037500000000,5,3,5,3,25034750000000,25037750000000,2,4,2,4,25034500000000,25038000000000,2,4,2,4,25034250000000,25038250000000,3,3,3,3,25034000000000,25038500000000,5,2,5,2,25033750000000,25038750000000,3,3,3,3,NQ.c.0
2026-04-09 12:26:00+00:00,1775737619900398211,10,1,42004058,C,B,0,25033750000000,1,128,11446,312956873,25033500000000,25034500000000,2,2,2,2,25033250000000,25034750000000,4,2,4,2,25033000000000,25035000000000,4,2,4,2,25032750000000,25035250000000,2,4,2,4,25032500000000,25035500000000,4,4,4,4,25032250000000,25035750000000,4,6,4,6,25032000000000,25036000000000,5,8,5,8,25031750000000,25036250000000,4,5,4,5,25031500000000,25036500000000,2,3,2,3,25031250000000,25036750000000,3,3,3,3,NQ.c.0
2026-04-09 12:27:00+00:00,1775737679856869830,10,1,42004058,C,B,0,25032750000000,1,128,10929,312973790,25032500000000,25033500000000,1,2,1,2,25032250000000,25033750000000,2,2,2,2,25032000000000,25034000000000,4,5,4,5,25031750000000,25034250000000,3,4,3,4,25031500000000,25034500000000,9,4,2,4,25031250000000,25034750000000,2,2,2,2,25031000000000,25035000000000,4,4,4,4,25030750000000,25035250000000,3,2,3,2,25030500000000,25035500000000,1,5,1,5,25030250000000,25035750000000,2,4,2,4,NQ.c.0
