ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-23 12:00:00+00:00,1774267259992642831,10,1,42004058,M,A,0,24369500000000,1,128,12800,48935731,24366750000000,24369500000000,2,2,2,2,24366500000000,24369750000000,4,1,4,1,24366250000000,24370000000000,2,3,2,3,24365500000000,24370750000000,2,2,2,2,24365250000000,24371000000000,2,2,2,2,24365000000000,24371250000000,1,3,1,3,24364750000000,24371500000000,2,3,2,3,24364250000000,24371750000000,3,3,3,3,24363250000000,24372000000000,3,2,3,2,24363000000000,24372250000000,4,2,3,2,NQ.c.0
2026-03-23 12:01:00+00:00,1774267319935827526,10,1,42004058,A,B,0,24379500000000,1,128,14166,49104245,24379500000000,24382000000000,3,4,3,3,24379250000000,24382500000000,1,4,1,4,24379000000000,24383000000000,1,2,1,2,24378750000000,24384750000000,1,4,1,4,24378500000000,24385500000000,1,2,1,2,24378250000000,24386250000000,2,3,2,3,24378000000000,24386750000000,3,4,3,4,24377750000000,24387250000000,3,5,3,5,24377500000000,24387750000000,3,2,3,2,24376500000000,24388000000000,2,2,2,2,NQ.c.0
2026-03-23 12:02:00+00:00,1774267379958199495,10,1,42004058,A,B,0,24378000000000,1,128,12743,49243953,24378000000000,24380250000000,3,3,3,3,24376250000000,24380500000000,1,1,1,1,24374750000000,24381000000000,2,3,2,3,24373000000000,24381250000000,4,2,4,2,24372750000000,24382000000000,2,3,2,3,24371750000000,24382250000000,5,4,5,4,24371500000000,24382500000000,3,3,3,3,24371250000000,24383750000000,5,1,5,1,24370750000000,24384250000000,2,2,2,2,24370250000000,24384750000000,2,1,2,1,NQ.c.0
2026-03-23 12:03:00+00:00,1774267439978081857,10,1,42004058,C,B,1,24404750000000,1,128,14288,49388906,24405000000000,24408000000000,2,1,2,1,24404750000000,24408250000000,1,1,1,1,24404500000000,24409250000000,3,1,3,1,24404250000000,24411250000000,4,3,4,3,24403750000000,24411750000000,4,1,4,1,24402750000000,24412000000000,2,2,2,2,24402000000000,24412250000000,2,4,2,4,24401750000000,24413250000000,2,4,2,1,24401500000000,24414250000000,2,1,2,1,24401250000000,24414750000000,7,2,3,2,NQ.c.0
2026-03-23 12:04:00+00:00,1774267499944089863,10,1,42004058,C,B,1,24430750000000,1,128,11000,49506568,24431000000000,24433500000000,2,1,2,1,24430750000000,24435000000000,1,2,1,2,24430500000000,24436000000000,3,2,3,2,24430250000000,24436250000000,1,2,1,2,24430000000000,24436500000000,2,1,2,1,24429750000000,24437000000000,2,1,2,1,24429500000000,24438500000000,3,2,2,2,24428000000000,24438750000000,4,1,4,1,24427750000000,24439000000000,1,1,1,1,24427500000000,24439500000000,1,2,1,1,NQ.c.0
2026-03-23 12:05:00+00:00,1774267559978512103,10,1,42004058,A,B,2,24400500000000,1,128,11134,49634993,24401000000000,24403750000000,1,1,1,1,24400750000000,24404000000000,2,1,2,1,24400500000000,24404250000000,3,1,3,1,24399750000000,24404500000000,4,1,4,1,24398750000000,24404750000000,1,2,1,2,24398000000000,24405750000000,3,2,3,2,24397500000000,24406250000000,3,1,3,1,24397250000000,24406500000000,2,2,2,2,24396250000000,24407000000000,2,2,2,2,24396000000000,24408500000000,3,2,3,2,NQ.c.0
2026-03-23 12:06:00+00:00,1774267619916084265,10,1,42004058,A,B,0,24410000000000,1,128,11340,49748814,24410000000000,24412750000000,2,1,2,1,24409750000000,24413000000000,2,5,2,1,24409500000000,24413250000000,1,3,1,3,24409250000000,24413500000000,2,2,2,2,24409000000000,24413750000000,3,2,3,2,24408750000000,24414000000000,2,2,2,2,24408500000000,24414250000000,2,1,2,1,24408250000000,24415250000000,2,2,2,2,24408000000000,24415500000000,1,4,1,4,24407750000000,24415750000000,1,2,1,2,NQ.c.0
2026-03-23 12:07:00+00:00,1774267679946291511,10,1,42004058,A,A,2,24399500000000,1,128,12936,49863871,24395500000000,24398250000000,2,1,2,1,24395250000000,24398500000000,2,2,2,2,24395000000000,24399500000000,1,1,1,1,24394500000000,24399750000000,1,3,1,3,24394000000000,24400000000000,1,6,1,2,24393750000000,24401500000000,3,7,3,2,24393000000000,24401750000000,1,1,1,1,24392500000000,24403500000000,2,1,2,1,24392250000000,24403750000000,2,3,2,3,24391750000000,24404250000000,2,1,2,1,NQ.c.0
2026-03-23 12:08:00+00:00,1774267739844673909,10,1,42004058,A,B,1,24431250000000,1,128,11380,49988986,24431500000000,24433750000000,1,1,1,1,24431250000000,24434250000000,4,3,4,3,24431000000000,24434500000000,1,2,1,2,24430500000000,24434750000000,3,2,3,2,24430250000000,24435000000000,3,3,3,3,24430000000000,24435250000000,5,3,5,3,24429750000000,24435750000000,2,3,2,3,24429500000000,24436000000000,3,2,3,2,24428000000000,24436750000000,5,2,5,2,24427750000000,24437000000000,2,3,2,3,NQ.c.0
2026-03-23 12:09:00+00:00,1774267799986671406,10,1,42004058,A,B,0,24475250000000,1,128,11353,50108140,24475250000000,24477750000000,2,2,2,2,24475000000000,24478500000000,2,2,2,2,24474750000000,24478750000000,2,2,2,2,24474500000000,24479500000000,2,4,2,3,24474250000000,24480000000000,2,3,2,3,24474000000000,24480250000000,2,3,2,3,24473750000000,24481750000000,1,2,1,2,24473500000000,24482750000000,1,2,1,2,24473250000000,24485000000000,3,2,3,2,24473000000000,24485500000000,2,1,2,1,NQ.c.0
