ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-12 12:00:00+00:00,1773316859972927890,10,1,42002475,C,B,1,24854000000000,1,128,12564,457107378,24854250000000,24855000000000,2,1,2,1,24854000000000,24855500000000,3,1,3,1,24853750000000,24855750000000,2,2,2,2,24853500000000,24856000000000,3,3,3,3,24853250000000,24856250000000,3,1,3,1,24853000000000,24856500000000,4,2,4,2,24852500000000,24856750000000,4,2,4,2,24852250000000,24857000000000,2,3,2,3,24852000000000,24857250000000,6,4,6,4,24851750000000,24857750000000,2,3,2,3,NQ.c.0
2026-03-12 12:01:00+00:00,1773316919963784739,10,1,42002475,A,B,0,24840250000000,1,128,11888,457183166,24840250000000,24841000000000,1,2,1,2,24840000000000,24841250000000,1,3,1,3,24839750000000,24841500000000,2,2,2,2,24839500000000,24841750000000,5,2,5,2,24839250000000,24842000000000,2,4,2,4,24839000000000,24842250000000,3,1,3,1,24838750000000,24842750000000,3,3,3,3,24838500000000,24843000000000,3,1,3,1,24838250000000,24843250000000,3,1,3,1,24838000000000,24843750000000,7,1,7,1,NQ.c.0
2026-03-12 12:02:00+00:00,1773316979848461624,10,1,42002475,C,A,0,24840250000000,1,128,11210,457257650,24839500000000,24840500000000,1,4,1,1,24839250000000,24840750000000,2,1,2,1,24839000000000,24841000000000,4,1,4,1,24838750000000,24841250000000,2,1,2,1,24838500000000,24841500000000,2,3,2,3,24838250000000,24841750000000,3,3,3,3,24838000000000,24842000000000,5,4,5,4,24837750000000,24842250000000,2,5,2,5,24837500000000,24842500000000,3,2,3,2,24836750000000,24843000000000,3,3,3,3,NQ.c.0
2026-03-12 12:03:00+00:00,1773317039983529437,10,1,42002475,M,B,1,24840500000000,1,128,12846,457329025,24840750000000,24841500000000,1,1,1,1,24840500000000,24841750000000,3,4,3,4,24840250000000,24842000000000,5,5,5,5,24840000000000,24842250000000,3,3,3,3,24839750000000,24842500000000,3,4,3,4,24839500000000,24842750000000,3,4,3,4,24839250000000,24843000000000,3,4,3,4,24839000000000,24843250000000,3,4,3,4,24838750000000,24843500000000,2,5,2,5,24838500000000,24843750000000,2,6,2,5,NQ.c.0
2026-03-12 12:04:00+00:00,1773317099971859443,10,1,42002475,A,B,1,24836250000000,1,128,12474,457384099,24836500000000,24837500000000,1,1,1,1,24836250000000,24837750000000,3,3,3,3,24836000000000,24838000000000,3,6,3,6,24835750000000,24838250000000,3,2,3,2,24835500000000,24838500000000,3,3,3,3,24835250000000,24838750000000,1,1,1,1,24834750000000,24839500000000,3,2,3,2,24834500000000,24839750000000,1,4,1,4,24834250000000,24840000000000,1,6,1,6,24834000000000,24840250000000,4,3,4,3,NQ.c.0
2026-03-12 12:05:00+00:00,1773317159997783467,10,1,42002475,A,B,3,24825250000000,1,128,12391,457436809,24826000000000,24826750000000,1,1,1,1,24825750000000,24827000000000,2,1,2,1,24825500000000,24827250000000,4,2,4,2,24825250000000,24827500000000,2,3,2,3,24825000000000,24827750000000,4,3,4,3,24824750000000,24828000000000,3,5,3,5,24824500000000,24828250000000,6,7,4,4,24824000000000,24828500000000,6,4,6,4,24823500000000,24828750000000,3,3,3,3,24823250000000,24829000000000,2,3,2,3,NQ.c.0
2026-03-12 12:06:00+00:00,1773317219992782078,10,1,42002475,M,A,3,24888000000000,1,128,11098,457531930,24812000000000,24812750000000,1,1,1,1,24811750000000,24813000000000,3,1,3,1,24811500000000,24813250000000,2,3,2,3,24811250000000,24813500000000,3,2,3,2,24811000000000,24813750000000,6,3,6,3,24810750000000,24814000000000,2,5,2,5,24810500000000,24814500000000,3,3,3,3,24810000000000,24814750000000,9,2,9,2,24809750000000,24815000000000,1,8,1,8,24809500000000,24815250000000,1,4,1,4,NQ.c.0
2026-03-12 12:07:00+00:00,1773317279942850520,10,1,42002475,C,B,1,24812000000000,1,128,11120,457615764,24812250000000,24813250000000,1,1,1,1,24812000000000,24813500000000,3,5,1,4,24811750000000,24813750000000,2,1,2,1,24811500000000,24814000000000,2,3,2,3,24811250000000,24814250000000,3,2,3,2,24811000000000,24814500000000,3,3,3,3,24810500000000,24814750000000,3,1,3,1,24810000000000,24815000000000,7,1,7,1,24809750000000,24815250000000,2,1,2,1,24809500000000,24815500000000,4,2,4,2,NQ.c.0
2026-03-12 12:08:00+00:00,1773317339937647373,10,1,42002475,C,B,1,24821750000000,1,128,12327,457697725,24822000000000,24823000000000,1,1,1,1,24821750000000,24823250000000,4,2,4,2,24821500000000,24823500000000,4,2,4,2,24821250000000,24823750000000,4,2,4,2,24821000000000,24824000000000,3,3,3,3,24820750000000,24824250000000,2,1,2,1,24820250000000,24824500000000,3,6,3,4,24820000000000,24824750000000,5,3,5,3,24819750000000,24825000000000,4,5,4,4,24819500000000,24825250000000,3,2,3,2,NQ.c.0
2026-03-12 12:09:00+00:00,1773317399971699741,10,1,42002475,C,A,0,24822000000000,1,128,11432,457762919,24821250000000,24822250000000,1,1,1,1,24821000000000,24822500000000,1,5,1,5,24820750000000,24822750000000,1,5,1,5,24820500000000,24823000000000,3,4,3,4,24820000000000,24823250000000,4,4,4,4,24819250000000,24823500000000,3,4,3,4,24819000000000,24823750000000,4,2,4,2,24818750000000,24824000000000,5,4,5,4,24818500000000,24824250000000,1,3,1,3,24818250000000,24824500000000,3,1,3,1,NQ.c.0
