ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-13 12:00:00+00:00,1773403259958179906,10,1,42002475,A,A,0,24665000000000,1,128,13020,605467914,24663750000000,24665000000000,3,2,3,2,24663500000000,24665250000000,2,4,2,4,24663250000000,24665500000000,4,4,4,4,24663000000000,24665750000000,3,4,3,4,24662750000000,24666000000000,2,5,2,5,24662500000000,24666250000000,2,4,2,4,24662250000000,24666500000000,3,3,3,3,24662000000000,24666750000000,6,2,6,2,24661750000000,24667000000000,2,2,2,2,24661500000000,24667250000000,3,2,3,2,NQ.c.0
2026-03-13 12:01:00+00:00,1773403319826596534,10,1,42002475,A,A,1,24669750000000,1,128,12362,605512256,24668500000000,24669250000000,3,1,3,1,24668250000000,24669750000000,3,3,3,3,24668000000000,24670000000000,3,6,3,6,24667750000000,24670250000000,2,3,2,3,24667500000000,24670500000000,2,4,2,4,24667250000000,24670750000000,1,4,1,4,24667000000000,24671000000000,1,3,1,3,24666750000000,24671250000000,2,5,2,5,24666500000000,24671500000000,3,3,3,3,24666250000000,24671750000000,4,4,4,3,NQ.c.0
2026-03-13 12:02:00+00:00,1773403379973890618,10,1,42002475,A,B,0,24672250000000,1,128,10889,605557768,24672250000000,24673000000000,1,1,1,1,24672000000000,24673250000000,1,1,1,1,24671750000000,24673500000000,5,2,5,2,24671500000000,24673750000000,5,2,5,2,24671250000000,24674000000000,4,4,4,4,24671000000000,24674250000000,5,3,5,3,24670750000000,24674500000000,2,1,2,1,24670500000000,24674750000000,2,5,2,5,24670250000000,24675000000000,3,7,3,3,24670000000000,24675250000000,4,3,4,3,NQ.c.0
2026-03-13 12:03:00+00:00,1773403439972884005,10,1,42002475,A,A,0,24668000000000,1,128,13756,605599575,24667000000000,24668000000000,1,2,1,2,24666750000000,24668250000000,1,3,1,3,24666500000000,24668500000000,1,2,1,2,24666250000000,24668750000000,3,2,3,2,24666000000000,24669000000000,7,3,7,3,24665750000000,24669250000000,3,3,3,3,24665500000000,24669500000000,2,2,2,2,24665250000000,24670000000000,2,5,2,5,24665000000000,24670250000000,2,3,2,3,24664750000000,24670500000000,2,3,2,3,NQ.c.0
2026-03-13 12:04:00+00:00,1773403499997269999,10,1,42002475,C,A,2,24655500000000,1,128,11096,605644383,24654250000000,24655000000000,1,1,1,1,24654000000000,24655250000000,4,2,4,2,24653750000000,24655500000000,3,1,3,1,24653500000000,24655750000000,3,3,3,3,24653250000000,24656000000000,2,4,2,4,24652750000000,24656250000000,3,1,3,1,24652250000000,24656500000000,1,1,1,1,24652000000000,24656750000000,5,2,5,2,24651750000000,24657000000000,2,1,2,1,24651250000000,24657500000000,4,2,4,2,NQ.c.0
2026-03-13 12:05:00+00:00,1773403559983988447,10,1,42002475,C,A,0,24648750000000,1,128,13202,605684606,24648000000000,24649000000000,1,1,1,1,24647750000000,24649250000000,2,4,2,4,24647500000000,24649500000000,5,1,5,1,24647250000000,24649750000000,4,1,4,1,24647000000000,24650000000000,3,3,3,3,24646750000000,24650500000000,3,3,3,3,24646500000000,24650750000000,3,3,3,3,24646250000000,24651000000000,2,5,2,5,24646000000000,24651250000000,4,2,4,2,24645750000000,24651500000000,6,3,6,3,NQ.c.0
2026-03-13 12:06:00+00:00,1773403619894890491,10,1,42002475,C,B,0,24642750000000,1,128,11121,605730613,24642500000000,24643500000000,1,1,1,1,24642250000000,24643750000000,3,4,3,4,24642000000000,24644000000000,4,4,4,4,24641750000000,24644250000000,4,3,4,3,24641500000000,24644500000000,4,4,4,4,24641250000000,24644750000000,4,2,4,2,24641000000000,24645000000000,3,4,3,4,24640750000000,24645250000000,2,3,2,3,24640500000000,24645500000000,3,3,3,3,24640250000000,24645750000000,2,3,2,3,NQ.c.0
2026-03-13 12:07:00+00:00,1773403679985580143,10,1,42002475,A,B,0,24651000000000,1,128,12520,605775130,24651000000000,24651750000000,1,1,1,1,24650750000000,24652000000000,1,5,1,5,24650500000000,24652250000000,4,4,4,4,24650250000000,24652500000000,2,2,2,2,24650000000000,24652750000000,5,4,5,4,24649750000000,24653000000000,3,5,3,5,24649500000000,24653250000000,1,6,1,6,24649250000000,24653500000000,3,6,2,6,24649000000000,24653750000000,1,7,1,7,24648750000000,24654000000000,1,7,1,7,NQ.c.0
2026-03-13 12:08:00+00:00,1773403739967760623,10,1,42002475,C,B,0,24651500000000,1,128,13842,605815344,24651250000000,24652250000000,2,1,2,1,24651000000000,24652500000000,3,2,3,2,24650750000000,24652750000000,2,3,2,3,24650500000000,24653000000000,2,5,2,4,24650250000000,24653250000000,3,2,3,2,24650000000000,24653500000000,4,4,4,4,24649750000000,24653750000000,3,4,3,4,24649500000000,24654000000000,2,5,2,5,24649250000000,24654250000000,2,3,2,3,24649000000000,24654500000000,2,3,2,3,NQ.c.0
2026-03-13 12:09:00+00:00,1773403799958885399,10,1,42002475,C,B,0,24644250000000,1,128,14357,605848763,24644000000000,24645000000000,1,1,1,1,24643750000000,24645250000000,3,1,3,1,24643500000000,24645500000000,3,3,3,3,24643250000000,24645750000000,3,1,3,1,24643000000000,24646000000000,2,1,2,1,24642000000000,24646250000000,6,3,6,3,24641750000000,24646500000000,3,1,3,1,24641250000000,24646750000000,2,3,2,3,24640750000000,24647000000000,4,2,4,2,24640500000000,24647250000000,3,1,3,1,NQ.c.0
