ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-18 12:00:00+00:00,1779105659994941326,10,1,42004058,A,A,0,29194000000000,1,128,12521,41412727,29193250000000,29194000000000,1,1,1,1,29193000000000,29194250000000,1,2,1,2,29192750000000,29194500000000,4,4,4,4,29192500000000,29194750000000,2,4,2,3,29192250000000,29195000000000,2,3,2,3,29192000000000,29195250000000,4,6,3,5,29191750000000,29195500000000,3,5,2,4,29191500000000,29195750000000,2,4,2,3,29191250000000,29196000000000,5,7,4,6,29191000000000,29196250000000,6,2,6,2,NQ.c.0
2026-05-18 12:01:00+00:00,1779105719720002469,10,1,42004058,A,B,5,29192500000000,1,128,12434,41471337,29193750000000,29194750000000,1,2,1,2,29193500000000,29195000000000,2,3,2,3,29193250000000,29195250000000,3,4,3,4,29193000000000,29195500000000,2,6,2,5,29192750000000,29195750000000,2,5,2,4,29192500000000,29196000000000,3,6,3,5,29192250000000,29196250000000,5,5,4,4,29192000000000,29196500000000,6,3,5,3,29191500000000,29196750000000,4,3,3,3,29191250000000,29197000000000,2,4,2,3,NQ.c.0
2026-05-18 12:02:00+00:00,1779105779919742756,10,1,42004058,C,B,3,29178500000000,1,128,18403,41524507,29179250000000,29180500000000,2,1,2,1,29179000000000,29180750000000,1,1,1,1,29178750000000,29181000000000,2,3,2,3,29178500000000,29181250000000,1,2,1,2,29178250000000,29181500000000,4,2,3,2,29178000000000,29181750000000,4,2,3,2,29177750000000,29182000000000,5,4,4,4,29177500000000,29182250000000,4,6,3,5,29177250000000,29182500000000,5,5,3,4,29177000000000,29182750000000,80,3,1,3,NQ.c.0
2026-05-18 12:03:00+00:00,1779105839925138218,10,1,42004058,A,B,0,29186000000000,1,128,11386,41560753,29186000000000,29187000000000,1,1,1,1,29185750000000,29187250000000,2,1,2,1,29185500000000,29187500000000,4,4,4,3,29185000000000,29187750000000,3,4,2,4,29184750000000,29188000000000,5,4,4,4,29184500000000,29188250000000,4,4,3,4,29184250000000,29188500000000,4,4,3,3,29184000000000,29188750000000,5,3,4,3,29183750000000,29189000000000,4,6,3,5,29183500000000,29189250000000,4,5,3,4,NQ.c.0
2026-05-18 12:04:00+00:00,1779105899919791721,10,1,42004058,A,B,3,29193250000000,1,128,13308,41604485,29194000000000,29194750000000,1,2,1,2,29193750000000,29195000000000,3,2,3,2,29193500000000,29195250000000,2,1,2,1,29193250000000,29195500000000,2,4,2,3,29193000000000,29195750000000,2,5,2,4,29192750000000,29196000000000,4,6,4,5,29192500000000,29196250000000,1,6,1,5,29192250000000,29196500000000,3,3,3,3,29192000000000,29196750000000,4,2,4,2,29191750000000,29197000000000,1,2,1,2,NQ.c.0
2026-05-18 12:05:00+00:00,1779105959671171567,10,1,42004058,A,A,0,29207750000000,1,128,12631,41659084,29206750000000,29207750000000,1,2,1,2,29206500000000,29208000000000,1,2,1,2,29206250000000,29208250000000,3,3,3,2,29206000000000,29208500000000,3,3,3,3,29205750000000,29208750000000,3,4,2,3,29205500000000,29209000000000,3,5,3,4,29205250000000,29209250000000,4,4,3,3,29205000000000,29209500000000,4,13,3,3,29204750000000,29209750000000,3,3,2,2,29204500000000,29210000000000,4,4,4,4,NQ.c.0
2026-05-18 12:06:00+00:00,1779106019960601997,10,1,42004058,A,A,5,29208000000000,1,128,13001,41719965,29205750000000,29206750000000,1,1,1,1,29205500000000,29207000000000,4,1,3,1,29205250000000,29207250000000,2,1,2,1,29205000000000,29207500000000,3,3,2,3,29204750000000,29207750000000,3,3,2,3,29204500000000,29208000000000,3,4,3,4,29204250000000,29208250000000,2,3,2,3,29204000000000,29208750000000,6,3,5,3,29203500000000,29209000000000,4,3,3,3,29203250000000,29209250000000,5,2,4,2,NQ.c.0
2026-05-18 12:07:00+00:00,1779106079919797103,10,1,42004058,A,B,3,29226250000000,1,128,13687,41765367,29227000000000,29227500000000,1,1,1,1,29226750000000,29227750000000,3,1,3,1,29226500000000,29228000000000,3,10,3,1,29226250000000,29228250000000,7,3,6,3,29226000000000,29228500000000,4,9,3,9,29225750000000,29228750000000,2,1,2,1,29225500000000,29229000000000,3,5,3,4,29225250000000,29229250000000,4,4,3,3,29225000000000,29229500000000,5,5,4,4,29224500000000,29229750000000,2,3,2,2,NQ.c.0
2026-05-18 12:08:00+00:00,1779106139919976519,10,1,42004058,C,B,0,29217500000000,1,128,10951,41822366,29217500000000,29218500000000,3,1,3,1,29217250000000,29218750000000,4,1,4,1,29217000000000,29219000000000,4,1,3,1,29216750000000,29219250000000,4,2,3,2,29216000000000,29219500000000,5,5,4,4,29215750000000,29220000000000,3,5,3,4,29215500000000,29220250000000,4,3,3,2,29215250000000,29220500000000,5,4,4,4,29215000000000,29220750000000,7,4,6,3,29214750000000,29221000000000,4,4,4,3,NQ.c.0
2026-05-18 12:09:00+00:00,1779106199939898612,10,1,42004058,A,B,0,29224000000000,1,128,10944,41861009,29224000000000,29224750000000,1,1,1,1,29223750000000,29225250000000,2,2,2,2,29223500000000,29225750000000,3,4,3,4,29223250000000,29226000000000,2,4,2,3,29223000000000,29226250000000,5,5,5,4,29222750000000,29226500000000,3,4,2,3,29222500000000,29226750000000,3,5,2,4,29222250000000,29227250000000,5,3,4,3,29222000000000,29227500000000,5,3,5,3,29221750000000,29227750000000,7,3,6,3,NQ.c.0
2026-05-18 12:10:00+00:00,1779106259980220250,10,1,42004058,C,B,0,29228250000000,1,128,11238,41911700,29228250000000,29229000000000,1,1,1,1,29228000000000,29229250000000,2,3,2,3,29227750000000,29229500000000,1,5,1,4,29227500000000,29229750000000,2,4,2,3,29227250000000,29230000000000,2,4,2,3,29227000000000,29230250000000,2,5,2,4,29226750000000,29230500000000,2,1,2,1,29226500000000,29230750000000,2,4,2,3,29226250000000,29231000000000,4,6,4,5,29226000000000,29231250000000,4,6,3,5,NQ.c.0
2026-05-18 12:11:00+00:00,1779106319806173093,10,1,42004058,M,B,1,29218500000000,1,128,13683,41971160,29218750000000,29219750000000,1,1,1,1,29218500000000,29220000000000,6,1,6,1,29218250000000,29220250000000,4,3,3,3,29218000000000,29220500000000,5,1,4,1,29217500000000,29220750000000,3,2,2,2,29217250000000,29221000000000,4,3,3,3,29217000000000,29221250000000,7,2,5,2,29216750000000,29221500000000,4,3,3,3,29216500000000,29222000000000,2,1,2,1,29216250000000,29222250000000,1,4,1,3,NQ.c.0
2026-05-18 12:12:00+00:00,1779106379876265363,10,1,42004058,A,B,1,29212500000000,1,128,12346,42017160,29212750000000,29213750000000,1,1,1,1,29212500000000,29214000000000,4,3,4,3,29212250000000,29214250000000,2,1,2,1,29212000000000,29214500000000,3,2,3,2,29211750000000,29214750000000,3,2,3,2,29211500000000,29215000000000,2,4,2,4,29211250000000,29215250000000,4,2,4,2,29211000000000,29215500000000,3,5,3,4,29210750000000,29215750000000,4,3,3,2,29210250000000,29216000000000,3,7,2,6,NQ.c.0
2026-05-18 12:13:00+00:00,1779106439995621393,10,1,42004058,A,A,2,29215250000000,1,128,11467,42055320,29213750000000,29214750000000,4,1,4,1,29213500000000,29215000000000,6,1,6,1,29213250000000,29215250000000,5,2,4,2,29213000000000,29215500000000,4,3,3,2,29212750000000,29215750000000,3,4,2,3,29212500000000,29216000000000,4,8,3,7,29212250000000,29216250000000,4,5,3,4,29212000000000,29216500000000,5,4,4,2,29211750000000,29216750000000,6,1,5,1,29211500000000,29217000000000,2,1,2,1,NQ.c.0
2026-05-18 12:14:00+00:00,1779106499967078537,10,1,42004058,C,B,0,29219000000000,1,128,11006,42098183,29218750000000,29219750000000,2,1,2,1,29218500000000,29220000000000,3,2,3,2,29218250000000,29220250000000,1,3,1,3,29218000000000,29220500000000,3,2,3,2,29217750000000,29220750000000,2,1,2,1,29217500000000,29221000000000,2,1,2,1,29217250000000,29221250000000,2,3,2,3,29217000000000,29221500000000,2,3,2,3,29216750000000,29221750000000,2,1,2,1,29216500000000,29222000000000,2,4,2,3,NQ.c.0
2026-05-18 12:15:00+00:00,1779106559969950326,10,1,42004058,M,A,4,29201000000000,1,128,10849,42145574,29198750000000,29200000000000,2,2,2,2,29198500000000,29200250000000,6,2,5,2,29198000000000,29200500000000,3,2,2,2,29197750000000,29200750000000,3,1,2,1,29197500000000,29201000000000,4,5,3,4,29197250000000,29201250000000,4,6,4,5,29197000000000,29201500000000,2,4,2,3,29196500000000,29201750000000,2,6,2,5,29196250000000,29202000000000,2,3,2,2,29196000000000,29202250000000,3,4,3,3,NQ.c.0
