ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-09 12:00:00+00:00,1781006459106921410,10,1,42004058,A,B,0,29681250000000,1,128,14563,201083543,29681250000000,29682000000000,1,1,1,1,29681000000000,29682750000000,2,3,2,3,29680750000000,29683000000000,3,3,3,3,29680500000000,29683250000000,3,2,3,2,29680250000000,29683500000000,3,2,3,2,29680000000000,29683750000000,3,5,3,5,29679750000000,29684000000000,3,5,3,5,29679500000000,29684250000000,2,3,2,3,29679250000000,29684500000000,4,2,4,2,29679000000000,29685000000000,3,3,3,3,NQ.c.0
2026-06-09 12:01:00+00:00,1781006519745791660,10,1,42004058,M,A,1,29680500000000,1,128,13046,201121293,29679250000000,29680250000000,3,1,2,1,29679000000000,29680500000000,2,5,2,4,29678750000000,29680750000000,2,5,2,4,29678500000000,29681000000000,1,4,1,4,29678250000000,29681250000000,2,4,2,4,29678000000000,29681500000000,2,5,2,5,29677500000000,29681750000000,2,3,2,3,29677250000000,29682000000000,3,12,3,3,29677000000000,29682250000000,2,3,2,3,29676750000000,29682500000000,2,1,2,1,NQ.c.0
2026-06-09 12:02:00+00:00,1781006579879913750,10,1,42004058,C,B,8,29687500000000,1,128,12466,201156999,29689750000000,29690750000000,1,1,1,1,29689500000000,29691000000000,4,2,3,2,29689250000000,29691250000000,2,5,2,5,29689000000000,29691500000000,1,2,1,2,29688750000000,29691750000000,2,3,2,3,29688500000000,29692000000000,2,6,2,6,29688000000000,29692250000000,3,6,3,6,29687750000000,29692500000000,4,4,4,4,29687500000000,29692750000000,2,5,2,5,29687250000000,29693000000000,3,2,3,2,NQ.c.0
2026-06-09 12:03:00+00:00,1781006639706804588,10,1,42004058,A,A,8,29701250000000,1,128,13305,201192600,29698000000000,29699000000000,1,1,1,1,29696750000000,29699250000000,5,4,5,4,29696500000000,29699500000000,5,3,5,3,29696250000000,29699750000000,3,4,3,4,29696000000000,29700000000000,4,3,4,3,29695750000000,29700250000000,3,3,3,3,29695500000000,29700750000000,4,3,4,3,29695250000000,29701000000000,3,4,3,4,29695000000000,29701250000000,3,4,3,4,29694750000000,29701500000000,4,3,4,3,NQ.c.0
2026-06-09 12:04:00+00:00,1781006699616726620,10,1,42004058,M,A,0,29694000000000,1,128,11040,201222922,29693000000000,29694000000000,1,3,1,3,29692750000000,29694250000000,3,3,3,3,29692500000000,29694500000000,4,4,4,4,29692250000000,29694750000000,4,3,4,3,29692000000000,29695000000000,4,6,4,6,29691750000000,29695250000000,3,3,3,3,29691500000000,29695500000000,4,4,4,4,29691250000000,29695750000000,3,3,3,3,29691000000000,29696000000000,3,3,3,3,29690500000000,29696250000000,2,2,2,2,NQ.c.0
2026-06-09 12:05:00+00:00,1781006759729541998,10,1,42004058,C,A,0,29680500000000,1,128,12387,201261358,29679750000000,29680750000000,2,1,2,1,29679500000000,29681000000000,4,5,4,5,29679250000000,29681250000000,3,4,3,4,29679000000000,29681500000000,4,4,4,4,29678750000000,29681750000000,5,2,5,2,29678500000000,29682000000000,4,2,4,2,29678250000000,29682250000000,3,1,3,1,29677500000000,29682750000000,4,2,4,2,29677250000000,29683000000000,2,2,2,2,29677000000000,29683250000000,3,2,3,2,NQ.c.0
2026-06-09 12:06:00+00:00,1781006819888936071,10,1,42004058,C,A,0,29685250000000,1,128,11689,201296857,29684250000000,29685500000000,1,1,1,1,29684000000000,29685750000000,3,4,3,4,29683750000000,29686000000000,2,2,2,2,29683500000000,29686250000000,4,4,3,4,29683250000000,29686500000000,1,3,1,3,29683000000000,29686750000000,2,4,2,4,29682750000000,29687000000000,2,3,2,3,29682500000000,29687250000000,3,3,3,3,29682000000000,29687500000000,4,3,4,3,29681750000000,29687750000000,4,3,4,3,NQ.c.0
2026-06-09 12:07:00+00:00,1781006879833298377,10,1,42004058,A,A,0,29688750000000,1,128,14585,201335666,29688000000000,29688750000000,1,2,1,2,29687500000000,29689000000000,2,4,2,2,29687250000000,29689250000000,4,4,3,4,29687000000000,29689500000000,1,3,1,3,29686750000000,29689750000000,3,4,3,4,29686500000000,29690000000000,3,8,3,4,29686250000000,29690250000000,3,3,3,3,29685750000000,29690500000000,1,5,1,4,29685500000000,29690750000000,3,2,3,2,29685000000000,29691000000000,3,5,3,5,NQ.c.0
2026-06-09 12:08:00+00:00,1781006939931912673,10,1,42004058,A,A,1,29687750000000,1,128,12987,201358602,29686250000000,29687500000000,1,1,1,1,29686000000000,29687750000000,3,3,2,3,29685750000000,29688000000000,3,4,3,4,29685500000000,29688250000000,3,2,3,2,29685250000000,29688500000000,2,3,2,3,29685000000000,29688750000000,2,3,2,3,29684750000000,29689000000000,2,5,2,5,29684500000000,29689250000000,2,3,2,3,29684250000000,29689500000000,5,3,5,3,29684000000000,29689750000000,5,3,5,3,NQ.c.0
2026-06-09 12:09:00+00:00,1781006999689996671,10,1,42004058,A,B,0,29695500000000,1,128,14834,201391424,29695500000000,29696750000000,2,1,2,1,29695250000000,29697000000000,3,2,3,2,29695000000000,29697250000000,2,1,2,1,29694750000000,29697500000000,2,1,2,1,29694500000000,29697750000000,4,2,4,2,29694250000000,29698000000000,4,1,4,1,29694000000000,29698250000000,3,1,3,1,29693750000000,29698500000000,4,2,4,2,29693500000000,29698750000000,3,3,3,3,29693250000000,29699000000000,3,4,3,4,NQ.c.0
