ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-10 13:00:00+00:00,1770728459925424192,10,1,42002475,A,A,3,25332000000000,1,128,10970,105136395,25330500000000,25331250000000,2,1,2,1,25330250000000,25331500000000,3,2,3,2,25330000000000,25331750000000,3,2,3,2,25329750000000,25332000000000,1,4,1,4,25329250000000,25332250000000,4,5,4,5,25329000000000,25332500000000,4,2,4,2,25328750000000,25332750000000,3,2,3,2,25328500000000,25333000000000,4,2,4,2,25328250000000,25333250000000,4,6,4,6,25328000000000,25333500000000,3,4,3,4,NQ.c.0
2026-02-10 13:01:00+00:00,1770728519909369328,10,1,42002475,C,B,0,25333250000000,1,128,12484,105195786,25333000000000,25334000000000,2,1,2,1,25332750000000,25334250000000,2,1,2,1,25332500000000,25334500000000,2,2,2,2,25332250000000,25334750000000,2,2,2,2,25332000000000,25335000000000,3,1,3,1,25331750000000,25335250000000,5,1,5,1,25331500000000,25335500000000,3,2,3,2,25331250000000,25335750000000,6,5,4,5,25331000000000,25336000000000,3,5,3,5,25330750000000,25336250000000,4,6,4,6,NQ.c.0
2026-02-10 13:02:00+00:00,1770728579969948512,10,1,42002475,A,B,0,25335500000000,1,128,11105,105239233,25335500000000,25336250000000,1,4,1,4,25335250000000,25336500000000,2,2,2,2,25335000000000,25336750000000,4,1,4,1,25334750000000,25337000000000,3,3,3,3,25334500000000,25337250000000,4,8,4,8,25334250000000,25337500000000,9,6,3,6,25334000000000,25337750000000,4,3,4,3,25333750000000,25338000000000,4,5,4,5,25333500000000,25338250000000,3,4,3,4,25333250000000,25338500000000,3,5,3,5,NQ.c.0
2026-02-10 13:03:00+00:00,1770728639760727315,10,1,42002475,C,A,0,25337000000000,1,128,12498,105289929,25336500000000,25337000000000,1,1,1,1,25336250000000,25337250000000,2,3,2,3,25336000000000,25337500000000,1,3,1,3,25335750000000,25337750000000,1,3,1,3,25335500000000,25338000000000,3,4,3,4,25335250000000,25338250000000,5,3,5,3,25335000000000,25338500000000,5,3,5,3,25334750000000,25338750000000,5,2,5,2,25334500000000,25339000000000,6,2,6,2,25334250000000,25339250000000,3,4,3,4,NQ.c.0
2026-02-10 13:04:00+00:00,1770728699915317035,10,1,42002475,C,A,0,25337250000000,1,128,11343,105330104,25336750000000,25337500000000,1,1,1,1,25336500000000,25337750000000,1,2,1,2,25336250000000,25338000000000,2,6,2,5,25336000000000,25338250000000,3,3,3,3,25335750000000,25338500000000,2,4,2,4,25335500000000,25338750000000,2,3,2,3,25335250000000,25339000000000,3,3,3,3,25335000000000,25339250000000,3,3,3,3,25334750000000,25339500000000,2,3,2,3,25334500000000,25339750000000,3,3,3,3,NQ.c.0
2026-02-10 13:05:00+00:00,1770728759984500695,10,1,42002475,C,B,0,25320250000000,1,128,11015,105397393,25320250000000,25321250000000,1,1,1,1,25320000000000,25321500000000,3,9,3,3,25319750000000,25321750000000,5,2,5,2,25319500000000,25322000000000,6,4,6,4,25319250000000,25322250000000,4,1,4,1,25319000000000,25322500000000,3,2,3,2,25318750000000,25322750000000,3,1,3,1,25318500000000,25323000000000,4,3,4,3,25318250000000,25323500000000,4,3,4,3,25318000000000,25323750000000,6,2,6,1,NQ.c.0
2026-02-10 13:06:00+00:00,1770728819984004541,10,1,42002475,C,B,0,25316750000000,1,128,15869,105473915,25316750000000,25317750000000,2,2,2,2,25316500000000,25318000000000,2,3,2,3,25316250000000,25318250000000,2,2,2,2,25316000000000,25318500000000,3,4,3,4,25315750000000,25318750000000,2,8,2,8,25315500000000,25319000000000,2,7,2,7,25315250000000,25319250000000,2,6,2,5,25315000000000,25319500000000,4,5,4,5,25314750000000,25319750000000,1,9,1,5,25314250000000,25320000000000,3,5,3,5,NQ.c.0
2026-02-10 13:07:00+00:00,1770728879995102348,10,1,42002475,C,B,0,25314500000000,1,128,11254,105529214,25314250000000,25315250000000,2,1,2,1,25314000000000,25315500000000,3,1,3,1,25313750000000,25315750000000,1,2,1,2,25313500000000,25316000000000,2,1,2,1,25313250000000,25316250000000,1,2,1,2,25313000000000,25316500000000,2,2,2,2,25312750000000,25316750000000,2,1,2,1,25312500000000,25317000000000,2,2,2,2,25312250000000,25317250000000,2,2,2,2,25312000000000,25317500000000,6,1,6,1,NQ.c.0
2026-02-10 13:08:00+00:00,1770728939998132933,10,1,42002475,M,B,2,25312000000000,1,128,12587,105580612,25312500000000,25313250000000,1,1,1,1,25312250000000,25313500000000,2,3,2,3,25312000000000,25313750000000,3,2,3,2,25311750000000,25314000000000,2,4,2,4,25311500000000,25314250000000,2,4,2,4,25311250000000,25314500000000,2,4,2,4,25311000000000,25314750000000,3,4,3,4,25310750000000,25315000000000,3,5,3,5,25310500000000,25315250000000,4,2,4,2,25310250000000,25315500000000,3,4,3,4,NQ.c.0
2026-02-10 13:09:00+00:00,1770728999891963771,10,1,42002475,A,B,0,25304750000000,1,128,12798,105655165,25304750000000,25305750000000,2,1,2,1,25304500000000,25306000000000,1,1,1,1,25304000000000,25306250000000,3,3,3,3,25303750000000,25306500000000,4,2,4,2,25303500000000,25306750000000,3,3,3,3,25303250000000,25307000000000,5,2,5,2,25303000000000,25307250000000,4,4,4,4,25302750000000,25307500000000,2,5,2,5,25302500000000,25307750000000,4,5,4,5,25302250000000,25308000000000,5,4,5,4,NQ.c.0
2026-02-10 13:10:00+00:00,1770729059777679757,10,1,42002475,C,B,1,25304500000000,1,128,10913,105708743,25304750000000,25305750000000,1,3,1,3,25304500000000,25306000000000,2,3,2,3,25304250000000,25306250000000,1,3,1,3,25304000000000,25306500000000,2,2,2,2,25303750000000,25306750000000,3,3,3,3,25303500000000,25307000000000,4,3,4,3,25303250000000,25307250000000,5,2,5,2,25303000000000,25307500000000,4,5,4,5,25302750000000,25307750000000,4,4,4,4,25302500000000,25308000000000,4,5,4,5,NQ.c.0
2026-02-10 13:11:00+00:00,1770729119984092349,10,1,42002475,C,A,2,25297250000000,1,128,13699,105762438,25296000000000,25296750000000,2,1,2,1,25295750000000,25297000000000,3,1,3,1,25295500000000,25297250000000,3,2,3,2,25295250000000,25297500000000,4,4,4,4,25295000000000,25297750000000,10,1,6,1,25294750000000,25298000000000,6,4,6,4,25294500000000,25298250000000,4,4,4,4,25294250000000,25298500000000,3,4,3,4,25294000000000,25298750000000,5,6,5,6,25293750000000,25299000000000,3,5,3,5,NQ.c.0
2026-02-10 13:12:00+00:00,1770729179982863154,10,1,42002475,C,A,3,25314500000000,1,128,11046,105821482,25313000000000,25313750000000,1,1,1,1,25312750000000,25314000000000,2,3,2,3,25312500000000,25314250000000,3,3,2,3,25312250000000,25314500000000,2,1,2,1,25312000000000,25314750000000,4,3,4,3,25311750000000,25315000000000,4,7,4,7,25311500000000,25315250000000,4,4,4,4,25311250000000,25315500000000,4,5,4,5,25311000000000,25315750000000,5,5,5,5,25310750000000,25316000000000,4,11,4,7,NQ.c.0
2026-02-10 13:13:00+00:00,1770729239999999323,10,1,42002475,A,B,0,25315500000000,1,128,12368,105862724,25315500000000,25316500000000,2,1,2,1,25315250000000,25316750000000,3,2,3,2,25315000000000,25317000000000,3,3,3,3,25314750000000,25317250000000,3,5,3,5,25314500000000,25317500000000,4,3,4,3,25314250000000,25317750000000,4,5,4,5,25314000000000,25318000000000,3,8,3,8,25313750000000,25318250000000,3,5,3,5,25313500000000,25318500000000,3,4,3,4,25313250000000,25318750000000,4,5,4,5,NQ.c.0
2026-02-10 13:14:00+00:00,1770729299686071208,10,1,42002475,A,B,0,25320000000000,1,128,13709,105909133,25320000000000,25321000000000,2,1,2,1,25319750000000,25321250000000,4,2,4,2,25319500000000,25322000000000,1,1,1,1,25319000000000,25322500000000,2,1,2,1,25318750000000,25323000000000,3,1,3,1,25318500000000,25323500000000,4,1,4,1,25318250000000,25324000000000,5,2,4,2,25318000000000,25324250000000,5,1,5,1,25317750000000,25324500000000,3,9,3,5,25317500000000,25324750000000,3,2,3,2,NQ.c.0
