ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-05 12:00:00+00:00,1780660859996391174,10,1,42004058,A,B,3,30143500000000,1,128,12994,411912907,30144250000000,30145250000000,1,1,1,1,30144000000000,30145500000000,1,2,1,2,30143750000000,30145750000000,1,2,1,2,30143500000000,30146250000000,1,1,1,1,30143250000000,30146500000000,3,2,3,2,30143000000000,30146750000000,3,3,3,3,30142750000000,30147000000000,3,3,3,3,30142500000000,30147250000000,3,2,3,2,30142250000000,30147750000000,3,2,3,2,30142000000000,30148000000000,2,4,2,4,NQ.c.0
2026-06-05 12:01:00+00:00,1780660919866305607,10,1,42004058,C,B,0,30139000000000,1,128,13087,411952964,30138750000000,30139750000000,2,1,2,1,30138500000000,30140000000000,3,5,3,5,30138250000000,30140500000000,2,2,2,2,30138000000000,30140750000000,2,3,2,3,30137750000000,30141000000000,3,3,3,3,30137500000000,30141250000000,3,2,3,2,30137250000000,30141750000000,2,4,2,4,30137000000000,30142000000000,2,2,2,2,30136750000000,30142250000000,7,1,3,1,30136500000000,30142500000000,1,1,1,1,NQ.c.0
2026-06-05 12:02:00+00:00,1780660979945463740,10,1,42004058,A,A,2,30143500000000,1,128,13324,411992889,30142000000000,30143000000000,1,2,1,2,30141750000000,30143250000000,2,1,2,1,30141500000000,30143500000000,3,3,3,3,30141250000000,30143750000000,2,5,2,5,30141000000000,30144000000000,3,2,3,2,30140500000000,30144250000000,2,4,2,4,30140250000000,30144500000000,6,3,6,3,30140000000000,30145000000000,2,3,2,3,30139500000000,30145500000000,3,1,3,1,30139250000000,30145750000000,4,1,4,1,NQ.c.0
2026-06-05 12:03:00+00:00,1780661039989190028,10,1,42004058,A,B,0,30126750000000,1,128,10839,412040254,30126750000000,30127500000000,2,1,2,1,30126500000000,30127750000000,3,3,3,3,30126250000000,30128000000000,3,2,3,2,30126000000000,30128250000000,3,2,3,2,30125750000000,30128500000000,7,5,7,5,30125500000000,30128750000000,3,3,3,3,30125250000000,30129000000000,2,5,2,4,30125000000000,30129250000000,5,3,5,3,30124750000000,30129500000000,4,4,4,4,30124500000000,30129750000000,4,3,4,3,NQ.c.0
2026-06-05 12:04:00+00:00,1780661099362608439,10,1,42004058,A,A,0,30124500000000,1,128,12586,412079831,30123750000000,30124500000000,2,1,2,1,30123500000000,30124750000000,4,2,4,2,30123250000000,30125000000000,4,3,4,3,30123000000000,30125250000000,3,2,3,2,30122750000000,30125500000000,2,19,2,2,30122500000000,30125750000000,4,3,4,3,30122250000000,30126000000000,4,2,4,2,30122000000000,30126250000000,4,1,4,1,30121750000000,30126500000000,7,1,3,1,30121500000000,30127000000000,6,2,6,2,NQ.c.0
2026-06-05 12:05:00+00:00,1780661159999370254,10,1,42004058,A,B,2,30123000000000,1,128,11180,412112453,30123500000000,30124250000000,1,2,1,2,30123250000000,30124500000000,1,3,1,3,30123000000000,30124750000000,4,3,4,3,30122750000000,30125000000000,3,3,3,3,30122500000000,30125250000000,3,9,3,2,30122250000000,30125500000000,5,2,5,2,30122000000000,30125750000000,4,2,4,2,30121750000000,30126000000000,8,1,4,1,30121500000000,30126250000000,6,1,6,1,30121250000000,30126500000000,5,1,5,1,NQ.c.0
2026-06-05 12:06:00+00:00,1780661219957053566,10,1,42004058,M,B,1,30130500000000,1,128,13335,412148470,30130750000000,30131500000000,2,1,2,1,30130500000000,30131750000000,3,4,3,4,30130250000000,30132000000000,3,4,3,4,30130000000000,30132250000000,1,2,1,2,30129750000000,30132500000000,2,1,2,1,30129500000000,30132750000000,2,3,2,3,30129250000000,30133000000000,3,4,3,4,30129000000000,30133250000000,1,2,1,2,30128750000000,30133500000000,2,4,2,4,30128500000000,30133750000000,2,3,2,3,NQ.c.0
2026-06-05 12:07:00+00:00,1780661279985245542,10,1,42004058,A,A,2,30132250000000,1,128,11408,412176219,30131000000000,30131750000000,1,1,1,1,30130750000000,30132000000000,2,1,2,1,30130500000000,30132250000000,3,4,3,4,30130250000000,30132500000000,2,3,2,3,30130000000000,30132750000000,1,4,1,4,30129750000000,30133000000000,1,5,1,5,30129500000000,30133250000000,1,2,1,2,30129000000000,30133500000000,2,4,2,4,30128750000000,30133750000000,2,4,2,4,30128500000000,30134000000000,2,3,2,3,NQ.c.0
2026-06-05 12:08:00+00:00,1780661339947332606,10,1,42004058,M,A,0,30129000000000,1,128,12972,412213206,30128000000000,30129000000000,1,2,1,2,30127750000000,30129250000000,1,5,1,5,30127500000000,30129500000000,3,3,3,3,30127250000000,30129750000000,4,4,4,4,30127000000000,30130000000000,4,3,4,3,30126750000000,30130250000000,3,5,3,5,30126500000000,30130500000000,2,3,2,3,30126250000000,30130750000000,2,6,2,6,30126000000000,30131000000000,2,3,2,3,30125750000000,30131250000000,2,2,2,2,NQ.c.0
2026-06-05 12:09:00+00:00,1780661399738975623,10,1,42004058,C,A,0,30127250000000,1,128,11045,412234673,30126500000000,30127500000000,1,3,1,3,30126250000000,30127750000000,2,3,2,3,30126000000000,30128000000000,3,1,3,1,30125750000000,30128250000000,3,3,3,3,30125500000000,30128500000000,4,2,4,2,30125250000000,30128750000000,4,3,4,3,30125000000000,30129000000000,3,3,3,3,30124750000000,30129250000000,3,2,3,2,30124500000000,30129500000000,2,2,2,2,30124250000000,30129750000000,3,3,3,3,NQ.c.0
2026-06-05 12:10:00+00:00,1780661459995679079,10,1,42004058,M,B,1,30047000000000,1,128,11162,412267608,30122500000000,30123500000000,1,2,1,2,30122250000000,30123750000000,4,4,4,4,30122000000000,30124000000000,2,3,2,3,30121750000000,30124250000000,2,4,2,4,30121500000000,30124500000000,4,4,4,4,30121250000000,30124750000000,4,5,4,5,30121000000000,30125000000000,2,4,2,4,30120750000000,30125250000000,2,5,2,5,30120500000000,30125500000000,3,1,3,1,30120250000000,30125750000000,4,3,4,3,NQ.c.0
2026-06-05 12:11:00+00:00,1780661520000310078,10,1,42004058,C,B,0,30123500000000,1,128,12535,412297864,30123250000000,30124250000000,2,2,2,2,30123000000000,30124500000000,3,2,3,2,30122750000000,30124750000000,3,3,3,3,30122500000000,30125000000000,5,3,5,3,30122250000000,30125250000000,5,4,5,4,30122000000000,30125500000000,4,3,4,3,30121750000000,30125750000000,3,4,3,4,30121500000000,30126000000000,5,2,5,2,30121250000000,30126250000000,4,4,4,4,30121000000000,30126500000000,2,4,2,4,NQ.c.0
2026-06-05 12:12:00+00:00,1780661579757633006,10,1,42004058,C,B,0,30113500000000,1,128,11000,412337944,30113500000000,30114250000000,2,1,2,1,30113250000000,30114500000000,5,2,5,2,30113000000000,30114750000000,3,3,3,3,30112750000000,30115000000000,5,3,5,3,30112500000000,30115250000000,4,3,4,3,30112250000000,30115500000000,3,3,3,3,30112000000000,30115750000000,5,4,5,4,30111750000000,30116000000000,3,3,3,3,30111500000000,30116250000000,3,4,3,4,30111250000000,30116500000000,1,3,1,3,NQ.c.0
2026-06-05 12:13:00+00:00,1780661639912641127,10,1,42004058,C,A,0,30111750000000,1,128,12795,412379281,30111000000000,30112000000000,1,2,1,2,30110750000000,30112250000000,2,1,2,1,30110500000000,30112500000000,2,3,2,3,30110250000000,30112750000000,3,4,3,4,30110000000000,30113000000000,9,4,5,4,30109750000000,30113250000000,3,3,3,3,30109500000000,30113500000000,4,5,4,5,30109000000000,30114000000000,2,5,2,5,30108750000000,30114250000000,3,3,3,3,30108500000000,30114500000000,1,1,1,1,NQ.c.0
2026-06-05 12:14:00+00:00,1780661700000186823,10,1,42004058,C,N,0,30112250000000,3,128,12759,412419187,30111250000000,30112750000000,1,2,1,2,30111000000000,30113000000000,3,1,3,1,30110750000000,30113250000000,3,2,3,2,30110250000000,30113500000000,2,4,2,4,30110000000000,30113750000000,3,1,3,1,30109750000000,30114000000000,3,2,3,2,30109500000000,30114250000000,2,3,2,2,30109250000000,30114500000000,4,2,4,2,30109000000000,30114750000000,4,3,4,3,30108750000000,30115000000000,2,4,2,4,NQ.c.0
2026-06-05 12:15:00+00:00,1780661759880511640,10,1,42004058,A,B,1,30115000000000,1,128,13593,412458033,30115250000000,30116000000000,1,2,1,2,30115000000000,30116250000000,3,4,3,4,30114750000000,30116500000000,3,3,3,3,30114500000000,30116750000000,3,3,3,3,30114250000000,30117000000000,1,2,1,2,30114000000000,30117250000000,2,3,2,3,30113750000000,30117500000000,3,6,3,6,30113500000000,30117750000000,4,2,4,2,30112750000000,30118000000000,3,4,3,4,30112500000000,30118250000000,4,3,4,3,NQ.c.0
2026-06-05 12:16:00+00:00,1780661819892928447,10,1,42004058,A,B,1,30114500000000,1,128,11045,412493890,30114750000000,30115500000000,1,1,1,1,30114500000000,30115750000000,3,4,3,4,30114250000000,30116000000000,4,3,4,3,30114000000000,30116250000000,4,3,4,3,30113750000000,30116500000000,3,4,3,4,30113500000000,30116750000000,5,3,5,3,30113250000000,30117000000000,4,2,4,2,30113000000000,30117250000000,2,4,2,4,30112750000000,30117500000000,4,8,4,8,30112500000000,30117750000000,4,4,4,4,NQ.c.0
2026-06-05 12:17:00+00:00,1780661879981000151,10,1,42004058,A,B,1,30139500000000,1,128,13385,412550396,30139750000000,30140750000000,3,1,3,1,30139500000000,30141000000000,4,3,4,3,30139250000000,30141250000000,4,4,4,4,30139000000000,30141500000000,11,6,5,4,30138750000000,30141750000000,3,5,3,5,30138500000000,30142000000000,4,5,4,5,30138250000000,30142250000000,3,5,3,5,30138000000000,30142500000000,4,7,4,3,30137750000000,30142750000000,5,7,5,5,30137500000000,30143000000000,4,5,4,5,NQ.c.0
2026-06-05 12:18:00+00:00,1780661939966445030,10,1,42004058,C,B,2,30137250000000,1,128,11753,412587488,30137750000000,30138500000000,1,3,1,3,30137500000000,30138750000000,2,2,2,2,30137250000000,30139000000000,3,2,3,2,30137000000000,30139250000000,4,5,4,5,30136750000000,30139500000000,4,3,4,3,30136500000000,30139750000000,5,3,5,3,30136250000000,30140000000000,5,2,5,2,30136000000000,30140250000000,4,4,4,4,30135750000000,30140500000000,4,6,4,6,30135500000000,30140750000000,1,9,1,7,NQ.c.0
2026-06-05 12:19:00+00:00,1780661999836045939,10,1,42004058,M,A,1,30153750000000,1,128,12631,412636627,30152750000000,30153500000000,1,3,1,3,30152500000000,30153750000000,4,3,4,3,30152250000000,30154000000000,4,3,4,3,30152000000000,30154250000000,2,3,2,3,30151750000000,30154500000000,5,5,5,5,30151500000000,30154750000000,4,5,4,5,30151250000000,30155000000000,5,4,5,4,30151000000000,30155250000000,5,6,5,6,30150750000000,30155500000000,4,4,4,4,30150500000000,30155750000000,2,3,2,3,NQ.c.0
2026-06-05 12:20:00+00:00,1780662059994667646,10,1,42004058,C,A,0,30151000000000,1,128,12680,412681525,30150250000000,30151000000000,1,1,1,1,30150000000000,30151250000000,1,3,1,3,30149750000000,30151500000000,4,4,4,4,30149500000000,30151750000000,5,2,4,2,30149250000000,30152000000000,2,3,2,3,30149000000000,30152250000000,2,4,2,4,30148750000000,30152500000000,3,3,3,3,30148500000000,30152750000000,3,5,3,5,30148000000000,30153000000000,5,5,2,5,30147250000000,30153250000000,4,4,4,4,NQ.c.0
2026-06-05 12:21:00+00:00,1780662119850027891,10,1,42004058,C,B,1,30143500000000,1,128,11064,412723925,30143750000000,30144500000000,2,1,2,1,30143500000000,30144750000000,3,3,3,3,30143250000000,30145000000000,4,3,4,3,30143000000000,30145250000000,6,3,6,3,30142750000000,30145500000000,6,1,6,1,30142500000000,30145750000000,4,3,4,3,30142250000000,30146000000000,5,3,5,3,30142000000000,30146250000000,3,2,3,2,30141750000000,30146500000000,4,5,4,4,30141500000000,30146750000000,4,2,4,2,NQ.c.0
2026-06-05 12:22:00+00:00,1780662179986475026,10,1,42004058,M,A,0,30145750000000,1,128,11770,412761811,30145000000000,30145750000000,5,3,1,3,30144750000000,30146000000000,3,1,2,1,30144500000000,30146250000000,3,5,3,5,30144250000000,30146500000000,3,1,3,1,30144000000000,30146750000000,4,3,3,3,30143750000000,30147000000000,1,3,1,3,30143500000000,30147250000000,1,2,1,2,30143250000000,30147500000000,1,3,1,3,30143000000000,30147750000000,3,2,3,2,30142750000000,30148000000000,1,2,1,2,NQ.c.0
2026-06-05 12:23:00+00:00,1780662239767225182,10,1,42004058,A,A,0,30139000000000,1,128,12631,412792941,30138250000000,30139000000000,1,1,1,1,30138000000000,30139250000000,2,1,2,1,30137750000000,30139500000000,3,2,3,2,30137500000000,30139750000000,3,3,3,3,30137250000000,30140000000000,2,3,2,3,30137000000000,30140250000000,3,1,3,1,30136750000000,30140500000000,1,2,1,2,30136500000000,30140750000000,3,2,3,2,30136250000000,30141000000000,2,3,2,3,30136000000000,30141250000000,2,3,2,3,NQ.c.0
2026-06-05 12:24:00+00:00,1780662299750775623,10,1,42004058,M,A,0,30223250000000,1,128,13957,412826949,30146000000000,30147000000000,1,1,1,1,30145750000000,30147250000000,3,3,3,3,30145500000000,30147500000000,2,4,2,3,30145250000000,30147750000000,5,4,4,4,30145000000000,30148000000000,3,1,3,1,30144750000000,30148250000000,3,4,3,4,30144500000000,30148500000000,3,4,3,4,30144250000000,30148750000000,4,3,4,3,30144000000000,30149000000000,3,3,3,3,30143750000000,30149250000000,1,4,1,4,NQ.c.0
2026-06-05 12:25:00+00:00,1780662359997963449,10,1,42004058,C,A,0,30135000000000,1,128,11913,412874190,30134000000000,30135000000000,1,1,1,1,30133750000000,30135250000000,1,2,1,2,30133500000000,30135500000000,2,1,2,1,30133250000000,30135750000000,1,1,1,1,30133000000000,30136000000000,3,1,3,1,30132750000000,30136250000000,3,1,3,1,30132500000000,30136500000000,1,1,1,1,30132250000000,30136750000000,2,2,2,2,30132000000000,30137000000000,2,2,2,2,30131750000000,30137250000000,2,3,2,1,NQ.c.0
2026-06-05 12:26:00+00:00,1780662419965645849,10,1,42004058,C,A,0,30131000000000,1,128,11002,412909303,30129750000000,30131250000000,1,1,1,1,30129500000000,30131500000000,2,2,2,2,30129250000000,30131750000000,1,2,1,2,30129000000000,30132000000000,1,2,1,2,30128750000000,30132250000000,1,2,1,2,30128500000000,30132500000000,1,2,1,2,30128250000000,30132750000000,1,2,1,2,30127500000000,30133000000000,1,2,1,2,30127250000000,30133500000000,2,2,2,2,30127000000000,30133750000000,1,2,1,2,NQ.c.0
2026-06-05 12:27:00+00:00,1780662479955220539,10,1,42004058,C,A,0,30121000000000,1,128,11667,412937932,30119750000000,30121250000000,1,1,1,1,30119500000000,30121500000000,2,2,2,2,30119250000000,30121750000000,2,1,2,1,30119000000000,30122000000000,3,1,3,1,30118750000000,30122250000000,3,2,3,2,30118500000000,30122500000000,2,2,2,2,30118000000000,30122750000000,3,2,3,2,30117750000000,30123000000000,2,2,2,2,30117500000000,30123250000000,1,1,1,1,30117250000000,30123500000000,3,2,3,2,NQ.c.0
2026-06-05 12:28:00+00:00,1780662539955385694,10,1,42004058,C,B,2,30122000000000,1,128,13293,412967795,30122500000000,30124500000000,1,2,1,2,30122250000000,30125500000000,1,2,1,2,30121750000000,30125750000000,1,2,1,2,30121500000000,30126000000000,1,2,1,2,30121250000000,30126750000000,1,2,1,2,30121000000000,30127250000000,1,7,1,3,30120750000000,30128500000000,1,2,1,2,30120500000000,30129250000000,1,2,1,2,30120250000000,30130000000000,1,4,1,4,30119750000000,30130250000000,1,3,1,3,NQ.c.0
2026-06-05 12:29:00+00:00,1780662599865492849,10,1,42004058,C,B,0,30111500000000,1,128,13899,413017735,30111000000000,30116750000000,1,1,1,1,30110500000000,30117000000000,1,16,1,2,30110000000000,30119500000000,2,1,1,1,30104000000000,30119750000000,2,1,1,1,30103250000000,30120250000000,4,1,2,1,30102500000000,30120500000000,1,1,1,1,30102000000000,30120750000000,2,1,2,1,30101750000000,30121000000000,2,1,2,1,30101500000000,30122000000000,2,1,2,1,30101250000000,30124250000000,2,1,2,1,NQ.c.0
2026-06-05 12:30:00+00:00,1780662659989117841,10,1,42004058,A,A,0,30097250000000,1,128,14533,413209701,30095500000000,30097250000000,1,2,1,2,30095250000000,30097500000000,1,2,1,2,30095000000000,30097750000000,2,3,2,3,30094750000000,30098000000000,1,3,1,3,30094500000000,30098250000000,1,3,1,3,30094250000000,30098500000000,2,3,2,3,30094000000000,30099250000000,1,2,1,2,30093750000000,30099750000000,2,3,2,3,30093500000000,30100000000000,1,4,1,4,30093250000000,30100250000000,1,4,1,4,NQ.c.0
2026-06-05 12:31:00+00:00,1780662719995239669,10,1,42004058,C,B,1,30087250000000,1,128,10967,413364301,30087500000000,30089000000000,2,1,2,1,30087250000000,30089250000000,2,1,2,1,30087000000000,30089500000000,2,1,2,1,30086750000000,30089750000000,3,2,3,2,30086500000000,30090000000000,3,3,3,3,30086250000000,30090500000000,2,11,2,2,30086000000000,30090750000000,3,2,3,2,30085750000000,30091250000000,3,3,3,3,30085250000000,30091500000000,3,3,3,3,30085000000000,30091750000000,1,2,1,2,NQ.c.0
2026-06-05 12:32:00+00:00,1780662780000049476,10,1,42004058,A,A,1,30078250000000,1,128,14645,413503232,30076750000000,30078000000000,2,4,2,4,30076250000000,30078250000000,1,2,1,2,30076000000000,30078500000000,26,3,2,3,30075750000000,30078750000000,3,1,3,1,30075500000000,30079000000000,4,4,4,4,30075250000000,30079250000000,3,4,3,4,30075000000000,30079500000000,3,5,3,5,30074750000000,30079750000000,2,4,2,4,30074500000000,30080000000000,2,5,2,5,30074250000000,30080250000000,2,1,2,1,NQ.c.0
2026-06-05 12:33:00+00:00,1780662839996696355,10,1,42004058,A,A,2,30072000000000,1,128,12500,413619262,30070250000000,30071500000000,1,1,1,1,30070000000000,30071750000000,2,1,2,1,30069500000000,30072000000000,2,5,2,5,30069250000000,30072250000000,1,2,1,2,30069000000000,30072500000000,2,3,2,3,30068750000000,30072750000000,1,3,1,3,30068500000000,30073000000000,2,4,2,4,30068250000000,30073250000000,3,3,3,3,30068000000000,30073500000000,4,3,4,3,30067750000000,30073750000000,3,2,3,2,NQ.c.0
