ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-24 12:00:00+00:00,1782302459999859543,10,1,42004177,M,B,5,29837750000000,1,128,11399,319053076,29839750000000,29841000000000,1,1,1,1,29839000000000,29841250000000,1,2,1,2,29838750000000,29841500000000,4,4,4,4,29838500000000,29841750000000,2,5,2,5,29838250000000,29842000000000,1,2,1,2,29838000000000,29842250000000,4,2,4,2,29837750000000,29842750000000,4,2,4,2,29837500000000,29843000000000,4,2,4,2,29837250000000,29843250000000,3,2,3,2,29837000000000,29843500000000,3,3,3,3,NQ.c.0
2026-06-24 12:01:00+00:00,1782302519977437403,10,1,42004177,A,A,2,29843250000000,1,128,11899,319127464,29841500000000,29842750000000,1,1,1,1,29841250000000,29843000000000,1,2,1,2,29841000000000,29843250000000,3,3,3,3,29840750000000,29843500000000,3,4,3,4,29840500000000,29843750000000,4,2,4,2,29840250000000,29844000000000,3,6,3,6,29840000000000,29844250000000,4,5,4,5,29839750000000,29844500000000,2,4,2,4,29839500000000,29844750000000,2,2,2,2,29839250000000,29845000000000,1,2,1,2,NQ.c.0
2026-06-24 12:02:00+00:00,1782302579898402284,10,1,42004177,C,A,0,29849500000000,1,128,15211,319189035,29848000000000,29849500000000,1,2,1,2,29847750000000,29849750000000,3,2,3,2,29847500000000,29850000000000,3,3,3,3,29847250000000,29850250000000,2,3,2,3,29847000000000,29850500000000,2,4,2,4,29846750000000,29850750000000,3,3,3,3,29846500000000,29851000000000,4,3,4,3,29846250000000,29851250000000,3,3,3,3,29846000000000,29851500000000,3,8,3,4,29845750000000,29851750000000,1,4,1,4,NQ.c.0
2026-06-24 12:03:00+00:00,1782302639999021209,10,1,42004177,C,B,1,29838750000000,1,128,10084,319237986,29839000000000,29840500000000,3,1,3,1,29838750000000,29840750000000,3,2,3,2,29838250000000,29841000000000,1,1,1,1,29838000000000,29841250000000,4,1,4,1,29837750000000,29841500000000,3,1,3,1,29837250000000,29841750000000,2,1,2,1,29837000000000,29842000000000,3,3,3,3,29836750000000,29842250000000,2,4,2,4,29836500000000,29842500000000,5,4,5,4,29836250000000,29842750000000,4,3,4,3,NQ.c.0
2026-06-24 12:04:00+00:00,1782302699975322919,10,1,42004177,C,A,8,29841500000000,1,128,11294,319277374,29837750000000,29839500000000,1,2,1,2,29837500000000,29839750000000,3,5,3,5,29837250000000,29840000000000,3,3,3,3,29837000000000,29840250000000,4,3,4,3,29836750000000,29840500000000,2,3,2,3,29836500000000,29840750000000,3,3,3,3,29836250000000,29841000000000,5,4,5,4,29836000000000,29841250000000,6,3,6,3,29835750000000,29841750000000,3,2,3,2,29835500000000,29842000000000,4,2,4,2,NQ.c.0
2026-06-24 12:05:00+00:00,1782302759914411162,10,1,42004177,A,A,1,29846000000000,1,128,12947,319316136,29844000000000,29845750000000,1,2,1,2,29843750000000,29846000000000,2,5,2,5,29843500000000,29846250000000,1,3,1,3,29843250000000,29846500000000,3,2,3,2,29843000000000,29847000000000,3,2,3,2,29842750000000,29847250000000,2,2,2,2,29842500000000,29847500000000,2,7,2,3,29842000000000,29847750000000,1,3,1,3,29841750000000,29848000000000,3,3,3,3,29841500000000,29848250000000,1,2,1,2,NQ.c.0
2026-06-24 12:06:00+00:00,1782302819967347935,10,1,42004177,A,B,0,29843000000000,1,128,14221,319370702,29843000000000,29844750000000,2,1,2,1,29842500000000,29845000000000,4,1,4,1,29842250000000,29845250000000,3,2,3,2,29842000000000,29845500000000,4,2,4,2,29841750000000,29846000000000,2,4,2,4,29841500000000,29846250000000,3,3,3,3,29841250000000,29846500000000,2,4,2,4,29841000000000,29846750000000,2,3,2,3,29840750000000,29847000000000,3,3,3,3,29840500000000,29847250000000,4,3,4,3,NQ.c.0
2026-06-24 12:07:00+00:00,1782302879892773107,10,1,42004177,A,A,0,29837750000000,1,128,11078,319415827,29837000000000,29837750000000,1,1,1,1,29836750000000,29838000000000,3,2,3,2,29836500000000,29838250000000,1,4,1,2,29836250000000,29838500000000,2,1,2,1,29836000000000,29838750000000,3,2,3,2,29835500000000,29839000000000,1,4,1,4,29835250000000,29839250000000,2,2,2,2,29835000000000,29839500000000,2,3,2,3,29834750000000,29839750000000,4,4,4,4,29834500000000,29840000000000,5,4,5,4,NQ.c.0
2026-06-24 12:08:00+00:00,1782302939978748747,10,1,42004177,C,B,1,29836250000000,1,128,11147,319460134,29836500000000,29837750000000,2,1,2,1,29836250000000,29838000000000,1,2,1,2,29836000000000,29838250000000,4,3,4,3,29835750000000,29838500000000,7,3,7,3,29835500000000,29838750000000,5,4,5,4,29835000000000,29839000000000,1,2,1,2,29834750000000,29839250000000,2,2,2,2,29834250000000,29839500000000,2,2,2,2,29834000000000,29839750000000,2,2,2,2,29833750000000,29840000000000,2,2,2,2,NQ.c.0
2026-06-24 12:09:00+00:00,1782303000000363369,10,1,42004177,C,B,7,29844750000000,1,128,13419,319493376,29846750000000,29848500000000,3,3,3,3,29846500000000,29848750000000,2,3,2,3,29846250000000,29849500000000,2,2,2,2,29846000000000,29849750000000,2,3,2,3,29845750000000,29850000000000,1,3,1,3,29845250000000,29850250000000,2,2,2,2,29845000000000,29850500000000,2,2,2,2,29844750000000,29850750000000,1,2,1,2,29844500000000,29851000000000,2,1,2,1,29844250000000,29851250000000,1,1,1,1,NQ.c.0
2026-06-24 12:10:00+00:00,1782303059910467758,10,1,42004177,A,A,0,29847250000000,1,128,11394,319543923,29846000000000,29847250000000,1,1,1,1,29845750000000,29847500000000,4,2,4,2,29845500000000,29847750000000,2,2,2,2,29845250000000,29848000000000,3,1,3,1,29845000000000,29848250000000,4,1,4,1,29844750000000,29848500000000,1,2,1,2,29844500000000,29848750000000,3,4,3,4,29844250000000,29849000000000,2,2,2,2,29844000000000,29849250000000,4,2,4,2,29843750000000,29849500000000,1,1,1,1,NQ.c.0
