ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-25 12:00:00+00:00,1774440059998424355,10,1,42004058,C,B,1,24508500000000,1,128,12391,305958622,24508750000000,24509500000000,1,1,1,1,24508500000000,24509750000000,1,2,1,2,24508250000000,24510000000000,4,2,4,2,24508000000000,24510250000000,6,3,6,3,24507750000000,24510500000000,2,2,2,2,24507500000000,24510750000000,1,9,1,5,24507250000000,24511000000000,1,3,1,3,24507000000000,24511250000000,5,3,5,3,24506750000000,24511500000000,4,4,4,4,24506500000000,24511750000000,5,4,5,4,NQ.c.0
2026-03-25 12:01:00+00:00,1774440119554928742,10,1,42004058,A,B,1,24505750000000,1,128,13265,306006306,24506000000000,24507000000000,2,1,2,1,24505750000000,24507250000000,3,3,3,3,24505500000000,24507500000000,2,2,2,2,24505250000000,24507750000000,3,2,3,2,24505000000000,24508000000000,3,5,3,5,24504750000000,24508250000000,5,2,5,2,24504500000000,24508500000000,4,3,4,3,24504250000000,24508750000000,3,1,3,1,24504000000000,24509250000000,5,5,5,5,24503750000000,24509500000000,5,3,5,3,NQ.c.0
2026-03-25 12:02:00+00:00,1774440179911116948,10,1,42004058,M,B,1,24431250000000,1,128,11113,306050199,24506500000000,24507250000000,1,1,1,1,24506250000000,24507500000000,2,2,2,2,24506000000000,24507750000000,5,2,5,2,24505750000000,24508000000000,2,3,2,3,24505500000000,24508250000000,3,2,3,2,24505250000000,24508500000000,2,4,2,4,24505000000000,24508750000000,2,3,2,3,24504750000000,24509000000000,4,2,4,2,24504500000000,24509250000000,2,3,2,3,24504250000000,24509500000000,2,1,2,1,NQ.c.0
2026-03-25 12:03:00+00:00,1774440240000092252,10,1,42004058,C,A,3,24507750000000,1,128,10874,306092993,24506250000000,24507000000000,1,2,1,2,24506000000000,24507250000000,2,2,2,2,24505750000000,24507500000000,3,3,3,3,24505500000000,24507750000000,3,5,3,5,24505250000000,24508000000000,1,8,1,8,24505000000000,24508250000000,1,4,1,4,24504750000000,24508500000000,4,5,4,5,24504500000000,24508750000000,2,3,2,3,24504250000000,24509000000000,3,3,3,3,24504000000000,24509250000000,3,2,3,2,NQ.c.0
2026-03-25 12:04:00+00:00,1774440299906247793,10,1,42004058,A,B,2,24503250000000,1,128,14737,306138361,24503750000000,24504500000000,1,1,1,1,24503500000000,24504750000000,1,2,1,2,24503250000000,24505000000000,3,2,3,2,24503000000000,24505250000000,3,3,3,3,24502750000000,24505500000000,3,4,2,4,24502500000000,24505750000000,3,2,3,2,24502250000000,24506000000000,4,5,4,5,24502000000000,24506250000000,5,2,5,2,24501750000000,24506500000000,2,4,2,4,24501500000000,24506750000000,2,2,2,2,NQ.c.0
2026-03-25 12:05:00+00:00,1774440359956528075,10,1,42004058,C,A,0,24511250000000,1,128,11149,306181204,24510500000000,24511500000000,1,2,1,2,24510250000000,24511750000000,2,3,2,3,24510000000000,24512000000000,2,3,2,3,24509750000000,24512250000000,1,3,1,3,24509500000000,24512500000000,1,3,1,3,24509250000000,24512750000000,1,4,1,4,24509000000000,24513000000000,2,5,2,5,24508750000000,24513500000000,3,11,3,7,24508500000000,24513750000000,4,7,4,3,24508250000000,24514000000000,3,8,3,7,NQ.c.0
2026-03-25 12:06:00+00:00,1774440419798911581,10,1,42004058,A,A,0,24528000000000,1,128,11060,306236547,24527250000000,24528000000000,2,1,2,1,24527000000000,24528250000000,1,2,1,2,24526750000000,24528500000000,3,3,3,3,24526500000000,24528750000000,1,3,1,3,24526000000000,24529000000000,2,5,2,5,24525750000000,24529250000000,2,4,2,4,24525500000000,24529500000000,1,6,1,6,24525000000000,24529750000000,1,4,1,4,24524750000000,24530000000000,1,20,1,14,24524250000000,24530250000000,3,2,3,2,NQ.c.0
2026-03-25 12:07:00+00:00,1774440479953161398,10,1,42004058,A,B,0,24536000000000,1,128,11085,306288840,24536000000000,24536750000000,1,2,1,2,24535750000000,24537000000000,1,3,1,3,24535500000000,24537250000000,1,3,1,3,24535250000000,24537500000000,2,2,2,2,24535000000000,24537750000000,3,4,3,4,24534750000000,24538000000000,3,5,3,5,24534500000000,24538250000000,3,4,3,4,24534250000000,24538500000000,3,12,3,3,24534000000000,24538750000000,5,2,5,2,24533750000000,24539000000000,2,3,2,3,NQ.c.0
2026-03-25 12:08:00+00:00,1774440539943865211,10,1,42004058,C,A,0,24529750000000,1,128,12627,306334968,24529250000000,24530000000000,1,2,1,2,24529000000000,24530250000000,2,4,2,4,24528750000000,24530500000000,3,3,3,3,24528500000000,24530750000000,2,4,2,4,24528250000000,24531000000000,2,3,2,3,24528000000000,24531250000000,5,2,5,2,24527750000000,24531500000000,5,1,5,1,24527500000000,24531750000000,3,5,3,5,24527250000000,24532000000000,6,5,6,5,24527000000000,24532250000000,4,1,4,1,NQ.c.0
2026-03-25 12:09:00+00:00,1774440599879847707,10,1,42004058,A,A,0,24525250000000,1,128,12514,306373538,24524500000000,24525250000000,1,1,1,1,24524250000000,24525500000000,1,2,1,2,24524000000000,24525750000000,3,1,3,1,24523750000000,24526000000000,5,5,5,5,24523500000000,24526250000000,3,2,3,2,24523250000000,24526500000000,5,1,4,1,24523000000000,24526750000000,2,2,2,2,24522750000000,24527250000000,2,2,2,2,24522500000000,24527750000000,3,4,3,4,24522250000000,24528000000000,3,6,3,6,NQ.c.0
