ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-17 12:00:00+00:00,1773748859988692282,10,1,42002475,A,A,1,24606000000000,1,128,12974,177692761,24603000000000,24605500000000,1,2,1,2,24602750000000,24606000000000,3,3,3,3,24602500000000,24606250000000,2,2,2,2,24602250000000,24606500000000,2,2,2,2,24602000000000,24606750000000,2,6,2,2,24601750000000,24607000000000,7,1,3,1,24601500000000,24607500000000,1,3,1,3,24601250000000,24607750000000,1,2,1,2,24601000000000,24608000000000,2,1,2,1,24600750000000,24608250000000,2,1,2,1,NQ.c.0
2026-03-17 12:01:00+00:00,1773748919960970701,10,1,42002475,A,B,0,24600750000000,1,128,12977,177740032,24600750000000,24603000000000,1,1,1,1,24600500000000,24603250000000,3,1,3,1,24600250000000,24603500000000,3,1,3,1,24600000000000,24603750000000,2,2,2,2,24599500000000,24604000000000,6,1,2,1,24599000000000,24604250000000,3,1,2,1,24598750000000,24604500000000,1,2,1,2,24598500000000,24604750000000,1,6,1,2,24598250000000,24605000000000,2,1,2,1,24598000000000,24605250000000,3,2,3,2,NQ.c.0
2026-03-17 12:02:00+00:00,1773748979908692237,10,1,42002475,M,A,7,24613250000000,2,128,10974,177780751,24608500000000,24610750000000,1,1,1,1,24608000000000,24611000000000,1,2,1,2,24607750000000,24611250000000,2,2,2,2,24607500000000,24611500000000,7,1,3,1,24607250000000,24612000000000,1,3,1,3,24607000000000,24612250000000,1,6,1,2,24606750000000,24612750000000,1,1,1,1,24606250000000,24613250000000,2,2,2,1,24606000000000,24613500000000,3,2,3,2,24605750000000,24613750000000,1,1,1,1,NQ.c.0
2026-03-17 12:03:00+00:00,1773749039993549757,10,1,42002475,C,B,0,24615250000000,1,128,13400,177828665,24615250000000,24617500000000,1,1,1,1,24615000000000,24617750000000,2,1,2,1,24614750000000,24618000000000,2,2,2,2,24614500000000,24618250000000,2,1,2,1,24614250000000,24618500000000,5,2,1,2,24614000000000,24618750000000,1,7,1,3,24613750000000,24619000000000,1,2,1,2,24613000000000,24619250000000,2,1,2,1,24612750000000,24619750000000,1,2,1,2,24612250000000,24620000000000,1,1,1,1,NQ.c.0
2026-03-17 12:04:00+00:00,1773749099879092399,10,1,42002475,M,B,7,24628500000000,1,128,12949,177891025,24630750000000,24633000000000,1,2,1,2,24630500000000,24633250000000,3,3,3,3,24630250000000,24633500000000,2,1,2,1,24629750000000,24633750000000,6,4,2,4,24629500000000,24634000000000,1,2,1,2,24629000000000,24634250000000,1,2,1,2,24628750000000,24634500000000,2,7,2,3,24628500000000,24634750000000,2,1,2,1,24628250000000,24635000000000,1,1,1,1,24628000000000,24635250000000,2,2,2,2,NQ.c.0
2026-03-17 12:05:00+00:00,1773749159930551675,10,1,42002475,A,B,1,24635500000000,1,128,12291,177950464,24636000000000,24638250000000,2,2,2,2,24635500000000,24638750000000,4,2,4,2,24635250000000,24639000000000,2,2,2,2,24635000000000,24639250000000,2,2,2,2,24634750000000,24639500000000,1,5,1,1,24634500000000,24640250000000,6,1,2,1,24634250000000,24640500000000,1,3,1,3,24633750000000,24640750000000,2,1,2,1,24633500000000,24641000000000,1,1,1,1,24633250000000,24641500000000,2,1,2,1,NQ.c.0
2026-03-17 12:06:00+00:00,1773749219960597355,10,1,42002475,A,A,8,24645750000000,1,128,13504,178001619,24641000000000,24643500000000,1,2,1,2,24640750000000,24643750000000,1,2,1,2,24640500000000,24644000000000,1,2,1,2,24640250000000,24644250000000,2,3,2,3,24640000000000,24644500000000,2,1,2,1,24639750000000,24644750000000,6,6,2,2,24638500000000,24645250000000,3,2,3,2,24638250000000,24645500000000,1,1,1,1,24637750000000,24645750000000,1,3,1,3,24637250000000,24646000000000,1,1,1,1,NQ.c.0
2026-03-17 12:07:00+00:00,1773749279876979419,10,1,42002475,A,B,0,24640250000000,1,128,10928,178059744,24640250000000,24642000000000,1,1,1,1,24640000000000,24642250000000,2,1,2,1,24639500000000,24642500000000,1,3,1,3,24639250000000,24643000000000,3,6,3,2,24639000000000,24643250000000,4,2,4,1,24638750000000,24644000000000,1,3,1,3,24638500000000,24644250000000,6,1,2,1,24638250000000,24644500000000,1,3,1,2,24638000000000,24644750000000,1,1,1,1,24637750000000,24645000000000,1,1,1,1,NQ.c.0
2026-03-17 12:08:00+00:00,1773749339325628067,10,1,42002475,A,A,1,24652500000000,1,128,12696,178118403,24650500000000,24652250000000,2,2,2,2,24650250000000,24652500000000,1,5,1,5,24649750000000,24652750000000,2,2,2,2,24649500000000,24653000000000,3,1,3,1,24649250000000,24653250000000,2,5,2,1,24649000000000,24653750000000,2,1,2,1,24648750000000,24654000000000,1,1,1,1,24648500000000,24654250000000,6,2,2,2,24648250000000,24654500000000,1,1,1,1,24647750000000,24655000000000,3,1,2,1,NQ.c.0
2026-03-17 12:09:00+00:00,1773749399999398717,10,1,42002475,M,B,0,24661000000000,1,128,10930,178183538,24661250000000,24663500000000,1,2,1,2,24661000000000,24663750000000,4,3,4,3,24660750000000,24664000000000,3,1,3,1,24660500000000,24664250000000,2,2,2,2,24660000000000,24664500000000,5,1,1,1,24659250000000,24664750000000,6,6,3,2,24659000000000,24665000000000,2,2,2,2,24658750000000,24665250000000,1,1,1,1,24658500000000,24665500000000,1,2,1,2,24658250000000,24665750000000,2,1,2,1,NQ.c.0
