ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-09 13:00:00+00:00,1770642059993809507,10,1,42002475,A,A,0,25111000000000,1,128,12860,24806204,25110250000000,25111000000000,2,1,2,1,25110000000000,25111250000000,3,3,3,2,25109750000000,25111500000000,3,3,3,3,25109250000000,25111750000000,4,6,4,4,25109000000000,25112000000000,4,4,4,4,25108750000000,25112250000000,3,3,3,3,25108500000000,25112500000000,2,2,2,2,25108250000000,25112750000000,3,3,3,3,25108000000000,25113000000000,4,4,4,4,25107750000000,25113250000000,2,2,2,2,NQ.c.0
2026-02-09 13:01:00+00:00,1770642119850748650,10,1,42002475,A,B,5,25103750000000,1,128,11725,24830780,25105000000000,25106000000000,2,1,2,1,25104750000000,25106250000000,2,2,2,2,25104500000000,25106500000000,3,1,3,1,25104250000000,25106750000000,3,1,3,1,25104000000000,25107000000000,5,1,5,1,25103750000000,25107500000000,4,4,4,4,25103500000000,25107750000000,2,3,2,3,25103250000000,25108000000000,3,4,3,4,25103000000000,25108250000000,2,3,2,3,25102750000000,25108500000000,1,3,1,3,NQ.c.0
2026-02-09 13:02:00+00:00,1770642179904172432,10,1,42002475,C,A,0,25105000000000,1,128,12529,24858153,25104250000000,25105000000000,1,1,1,1,25104000000000,25105250000000,2,2,2,2,25103750000000,25105500000000,2,4,2,4,25103500000000,25105750000000,3,3,3,3,25103250000000,25106000000000,4,5,4,5,25103000000000,25106250000000,4,2,4,2,25102750000000,25106500000000,3,2,3,2,25102500000000,25106750000000,2,2,2,2,25102250000000,25107000000000,2,1,2,1,25102000000000,25107250000000,5,2,5,2,NQ.c.0
2026-02-09 13:03:00+00:00,1770642239927754387,10,1,42002475,A,A,0,25114500000000,1,128,11042,24886501,25113750000000,25114500000000,1,1,1,1,25113500000000,25114750000000,2,3,2,3,25113250000000,25115000000000,2,3,2,3,25113000000000,25115250000000,4,3,4,3,25112750000000,25115500000000,2,2,2,2,25112500000000,25115750000000,2,3,2,3,25112250000000,25116000000000,4,3,4,3,25112000000000,25116250000000,6,2,6,2,25111750000000,25116500000000,4,3,4,3,25111500000000,25116750000000,2,2,2,2,NQ.c.0
2026-02-09 13:04:00+00:00,1770642299885883629,10,1,42002475,C,B,0,25111750000000,1,128,11217,24914712,25111750000000,25112500000000,1,2,1,2,25111500000000,25112750000000,2,1,2,1,25111250000000,25113000000000,4,3,4,3,25111000000000,25113250000000,4,2,4,2,25110750000000,25113500000000,4,2,4,2,25110500000000,25113750000000,4,2,4,2,25110250000000,25114000000000,4,2,4,2,25110000000000,25114250000000,5,2,5,2,25109750000000,25114500000000,2,2,2,2,25109500000000,25114750000000,1,3,1,3,NQ.c.0
2026-02-09 13:05:00+00:00,1770642359721625016,10,1,42002475,M,B,2,25047750000000,1,128,12537,24943626,25123250000000,25124000000000,1,1,1,1,25123000000000,25124250000000,5,33,5,3,25122750000000,25124500000000,5,3,5,3,25122500000000,25124750000000,3,3,3,3,25122250000000,25125000000000,2,4,2,4,25122000000000,25125250000000,5,5,5,4,25121750000000,25125500000000,4,2,4,2,25121500000000,25125750000000,7,3,4,3,25121250000000,25126000000000,2,8,2,7,25120750000000,25126250000000,4,3,4,3,NQ.c.0
2026-02-09 13:06:00+00:00,1770642419993812634,10,1,42002475,C,A,0,25135750000000,1,128,12210,24983905,25135250000000,25136000000000,1,1,1,1,25135000000000,25136250000000,3,3,3,3,25134750000000,25136500000000,4,3,4,3,25134500000000,25136750000000,3,3,3,3,25134250000000,25137000000000,3,3,3,3,25134000000000,25137250000000,5,3,5,3,25133750000000,25137500000000,2,2,2,2,25133500000000,25137750000000,2,5,2,5,25133250000000,25138000000000,3,4,3,4,25133000000000,25138250000000,3,3,3,3,NQ.c.0
2026-02-09 13:07:00+00:00,1770642479993402687,10,1,42002475,M,B,3,25061000000000,1,128,11018,25019899,25136500000000,25137250000000,1,1,1,1,25136250000000,25137500000000,3,4,3,4,25136000000000,25137750000000,4,3,4,3,25135750000000,25138000000000,4,3,4,3,25135500000000,25138250000000,5,4,5,4,25135250000000,25138500000000,1,3,1,3,25135000000000,25138750000000,3,5,3,5,25134750000000,25139000000000,3,3,3,3,25134500000000,25139250000000,2,5,2,5,25134250000000,25139500000000,5,4,5,3,NQ.c.0
2026-02-09 13:08:00+00:00,1770642539892846335,10,1,42002475,A,A,0,25138750000000,1,128,10854,25049791,25138000000000,25138750000000,2,1,2,1,25137750000000,25139000000000,3,1,3,1,25137500000000,25139250000000,2,3,2,3,25137250000000,25139500000000,2,4,2,4,25137000000000,25139750000000,1,3,1,3,25136750000000,25140000000000,4,3,4,3,25136500000000,25140250000000,1,7,1,4,25136250000000,25140500000000,3,3,3,3,25136000000000,25140750000000,3,3,3,3,25135750000000,25141000000000,3,4,3,4,NQ.c.0
2026-02-09 13:09:00+00:00,1770642599942081454,10,1,42002475,A,A,4,25143500000000,1,128,11068,25078648,25142000000000,25142500000000,1,1,1,1,25141750000000,25142750000000,1,2,1,2,25141500000000,25143000000000,3,4,3,4,25141250000000,25143250000000,4,1,4,1,25141000000000,25143500000000,5,3,5,2,25140750000000,25143750000000,4,3,4,3,25140500000000,25144000000000,2,4,2,4,25140250000000,25144250000000,3,3,3,3,25140000000000,25144500000000,5,4,5,4,25139750000000,25144750000000,3,3,3,3,NQ.c.0
